season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2015-2016,2015-10-04,City of Bristol,3,25 25 25 - -,Wessex,0,13 10 8 - -,division_3,women,Oasis Academy Brislington,unknown,unknown
2015-2016,2015-10-04,Black Country,3,28 25 25 - -,Northampton,0,26 22 16 - -,division_3,women,Wilnecote Leisure Centre,unknown,unknown
2015-2016,2015-10-04,Loughborough Students,1,25 14 16 20 0,York Vikings,3,21 25 25 25 0,cup,men,Loughborough University Netball Centre,unknown,unknown
2015-2016,2015-10-04,Richmond Docklands,3,27 25 25 - -,Leeds Gorse,0,25 22 18 - -,superleague,men,Sobell Leisure Centre,unknown,unknown
2015-2016,2015-10-04,Team Sunderland,2,25 22 25 20 6,Coventry & Warwick Riga,3,16 25 23 25 15,division_2,women,Sunderland University (Cityspace),unknown,unknown
2015-2016,2015-10-04,Plymouth,0,22 16 20 - -,Bristol 2,3,25 25 25 - -,division_2,women,Coombe Dean School,unknown,unknown
2015-2016,2015-10-04,Portsmouth,3,25 23 25 26 0,Cambridge ARU,1,21 25 22 24 0,division_2,women,Mountbatten Leisure Centre,unknown,unknown
2015-2016,2015-10-04,Tamworth Spartans,2,27 21 25 18 0,Northampton,3,25 25 23 25 15,division_3,women,Wilnecote Leisure Centre,unknown,unknown
2015-2016,2015-10-04,Tamworth Spartans,3,25 27 25 - -,Black Country,0,15 25 10 - -,division_3,women,Wilnecote Leisure Centre,unknown,unknown
2015-2016,2015-10-10,Coventry and Warwick Riga,3,25 26 15 25 0,Southampton,1,22 24 25 19 0,cup,men,Alan Higgs Centre,unknown,unknown
2015-2016,2015-10-10,Sheffield 2,0,22 14 18 - -,Northumbria University,3,25 25 25 - -,cup,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-10-10,Sheffield,3,25 25 25 - -,DARKSTAR Derbyshire,0,14 15 14 - -,cup,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-10-10,Team Sunderland,0,23 17 21 - -,Manchester Marvels,3,25 25 25 - -,cup,men,Sunderland University (Cityspace),unknown,unknown
2015-2016,2015-10-10,York Falcons,3,25 25 25 - -,Loughborough Students,0,18 21 16 - -,cup,women,unknown,unknown,unknown
2015-2016,2015-10-11,Portsmouth,3,25 19 25 25 0,Reading Aces,1,17 25 16 17 0,division_2,women,Priory Community Sports Centre,unknown,unknown
2015-2016,2015-10-11,Hull Thunder,0,7 16 9 - -,Durham Palatinates,3,25 25 25 - -,cup,men,Hull Holy Trinity House Academy,unknown,unknown
2015-2016,2015-10-11,Dartford Chargers,3,25 25 25 - -,Ashcombe Dorking 2,0,0 0 0 - -,cup,women,unknown,unknown,unknown
2015-2016,2015-10-11,Tamworth Spartans,3,25 25 26 - -,Ashfield Vipers,0,11 23 24 - -,cup,women,Wilnecote Leisure Centre,unknown,unknown
2015-2016,2015-10-17,Coventry & Warwick Riga,3,25 25 25 - -,Nottingham Rockets,0,23 17 22 - -,division_2,women,Alan Higgs Centre,unknown,unknown
2015-2016,2015-10-17,Ashcombe Dorking,0,15 9 16 - -,Durham Palatinates,3,25 25 25 - -,division_1,women,The Ashcombe Volleyball Centre,unknown,unknown
2015-2016,2015-10-17,Leeds Gorse,0,19 19 19 - -,Northumbria University,3,25 25 25 - -,superleague,men,Gryphon Sports Centre,unknown,unknown
2015-2016,2015-10-17,IBB Polonia London,3,25 22 25 25 0,Malory Eagles UEL,1,13 25 20 23 0,superleague,men,Brentford Fountain Leisure Centre,unknown,unknown
2015-2016,2015-10-17,Loughborough Students,1,15 25 18 23 0,Sheffield 2,3,25 22 25 25 0,division_2,men,Loughborough University Netball Centre,unknown,unknown
2015-2016,2015-10-17,Essex Blaze,1,27 21 21 22 0,Southampton,3,25 25 25 25 0,division_1,men,Boswells School,unknown,unknown
2015-2016,2015-10-17,London Aces,0,33 16 11 - -,Dartford Crossers,3,35 25 25 - -,division_3,men,St Albans Girls School,unknown,unknown
2015-2016,2015-10-17,Newcastle Staffs,3,25 25 19 29 0,DARKSTAR Derbyshire,1,11 16 25 27 0,division_2,women,Keele University Sports Centre,unknown,unknown
2015-2016,2015-10-17,Team SideOut Polonia (London),3,25 25 25 - -,Malory Eagles UEL,0,16 19 23 - -,superleague,women,St Benedicts School,unknown,unknown
2015-2016,2015-10-18,Northampton,0,24 11 15 - -,Norwich Spikers,3,26 25 25 - -,division_3,women,Moulton College,unknown,unknown
2015-2016,2015-10-18,Bristol 2,3,19 23 25 25 15,Portsmouth,2,25 25 23 23 11,division_2,women,Abbeywood School,unknown,unknown
2015-2016,2015-10-18,Leeds Gorse,2,22 25 25 22 5,Manchester Marvels Mystics,3,25 21 23 25 15,division_2,women,Gryphon Sports Centre,unknown,unknown
2015-2016,2015-10-18,Durham Palatinates,3,25 25 25 - -,Hull Thunder,0,19 21 13 - -,division_3,men,Durham University Sport (Queens Campus),unknown,unknown
2015-2016,2015-10-18,Durham Palatinates,3,25 25 25 - -,York Vikings,0,13 15 17 - -,division_3,men,Durham University Sport (Queens Campus),unknown,unknown
2015-2016,2015-10-18,Newmarket,3,25 22 25 25 0,Norwich Spikers,1,13 25 18 18 0,division_3,men,Ernest Bevin College,unknown,unknown
2015-2016,2015-10-18,Richmond Bucks,0,17 22 17 - -,Essex Rebels,3,25 25 25 - -,division_3,men,Kingston Arena,unknown,unknown
2015-2016,2015-10-18,York Vikings,0,22 22 24 - -,Hull Thunder,3,25 25 26 - -,division_3,men,Durham University Sport (Queens Campus),unknown,unknown
2015-2016,2015-10-18,Sheffield,1,17 25 17 23 0,Northumbria University,3,25 17 25 25 0,superleague,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-10-18,Richmond 2,0,19 19 9 - -,Reading Aces,3,25 25 25 - -,division_2,women,Kingston Arena,unknown,unknown
2015-2016,2015-10-18,Team South Wales,0,27 23 18 - -,Northumbria University,3,29 25 25 - -,superleague,women,USW Sport Park,unknown,unknown
2015-2016,2015-10-24,Leeds Gorse,2,25 17 22 25 12,Newcastle Staffs,3,20 25 25 14 15,division_2,women,Gryphon Sports Centre,unknown,unknown
2015-2016,2015-10-24,Malory Eagles UEL,0,20 19 25 - -,Richmond Docklands,3,25 25 27 - -,superleague,men,Ernest Bevin College,unknown,unknown
2015-2016,2015-10-24,Southampton,3,11 25 23 27 15,Black Country,2,25 21 25 25 7,division_1,men,Itchen College Sports Centre,unknown,unknown
2015-2016,2015-10-24,Manchester Marvels,3,25 25 25 - -,Coventry and Warwick Riga,0,18 23 17 - -,division_1,men,Armitage Centre,unknown,unknown
2015-2016,2015-10-24,Sheffield 2,3,25 23 25 25 0,Newcastle Staffs 2,1,13 25 16 17 0,division_2,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-10-24,Manchester Marvels Mystics,3,25 25 25 - -,Coventry & Warwick Riga,0,20 14 19 - -,division_2,women,Armitage Centre,unknown,unknown
2015-2016,2015-10-24,Malory Eagles UEL,1,25 16 19 17 0,London Inter Orcas,3,17 25 25 25 0,superleague,women,unknown,unknown,unknown
2015-2016,2015-10-25,Plymouth Mayflower VC,3,25 25 25 - -,Southampton,0,15 22 15 - -,division_3,women,USW Sport Park,unknown,unknown
2015-2016,2015-10-25,Chester Amazons,3,25 25 25 25 0,York Falcons,1,16 27 17 22 0,division_3,women,Whitby High School,unknown,unknown
2015-2016,2015-10-25,Chester Amazons,3,25 25 25 - -,Loughborough Students,0,9 15 15 - -,division_3,women,Whitby High School,unknown,unknown
2015-2016,2015-10-25,Black Country,1,17 9 25 10 0,Lincoln Cannons,3,25 25 23 25 0,division_3,women,Redhill School Sports Hall,unknown,unknown
2015-2016,2015-10-25,DARKSTAR Derbyshire,2,24 17 25 25 13,Leeds Gorse,3,26 25 16 18 15,division_2,women,Derbyshire Volleyball Centre (Derby Moor),unknown,unknown
2015-2016,2015-10-25,Team Sunderland,3,25 25 25 - -,Loughborough Students,0,21 18 12 - -,division_2,men,Sunderland University (Cityspace),unknown,unknown
2015-2016,2015-10-25,Plymouth,1,21 25 20 16 0,Cambridge ARU,3,25 20 25 25 0,division_2,women,Ferry Leisure Centre,unknown,unknown
2015-2016,2015-10-25,York Falcons,3,25 25 25 - -,Loughborough Students,0,21 20 12 - -,division_3,women,Whitby High School,unknown,unknown
2015-2016,2015-10-31,Essex Trinity,3,24 16 25 25 15,Portsmouth,2,26 25 23 15 8,division_2,women,Basildon Sporting Village,unknown,unknown
2015-2016,2015-10-31,Coventry and Warwick Riga,2,16 21 25 25 12,Black Country,3,25 25 19 16 15,division_1,men,Alan Higgs Centre,unknown,unknown
2015-2016,2015-10-31,Manchester Marvels,3,25 22 25 25 0,Essex Blaze,1,17 25 21 17 0,division_1,men,Armitage Centre,unknown,unknown
2015-2016,2015-10-31,Northumbria University,3,25 25 25 - -,Malory Eagles UEL,0,17 13 8 - -,superleague,men,Sports Central,unknown,unknown
2015-2016,2015-10-31,Newcastle Staffs,2,25 25 21 23 14,Leeds Gorse,3,20 16 25 25 16,division_2,women,Keele University Sports Centre,unknown,unknown
2015-2016,2015-10-31,Northumbria University,3,25 25 25 - -,Malory Eagles UEL,0,19 23 23 - -,superleague,women,Sports Central,unknown,unknown
2015-2016,2015-11-01,Lincoln Cannons,0,22 14 24 - -,Tamworth Spartans,3,25 25 26 - -,division_3,women,The Priory Pembroke Academy,unknown,unknown
2015-2016,2015-11-01,Manchester Marvels Marauders,0,19 13 9 - -,Durham Palatinates,3,25 25 25 - -,division_3,men,Sugden Sports Centre,unknown,unknown
2015-2016,2015-11-01,Richmond 2,0,19 15 22 - -,Essex Trinity,3,25 25 25 - -,division_2,women,Kingston Arena,unknown,unknown
2015-2016,2015-11-01,York Falcons,3,25 25 25 - -,Manchester Marvels Mayhem,0,16 13 12 - -,division_3,women,Joseph Rowntree School,unknown,unknown
2015-2016,2015-11-01,Loughborough Students,3,25 20 25 20 15,Ashfield Vipers,2,14 25 20 25 9,division_3,women,Woodchurch High School Sports Centre,unknown,unknown
2015-2016,2015-11-01,London Inter Orcas,3,25 25 25 - -,Essex Rebels,0,20 21 18 - -,superleague,women,unknown,unknown,unknown
2015-2016,2015-11-07,Newcastle Staffs,2,25 25 20 25 13,Team Sunderland,3,20 27 25 11 15,division_2,women,Keele University Sports Centre,unknown,unknown
2015-2016,2015-11-07,Bristol,3,25 25 25 - -,Herts,0,21 15 23 - -,division_1,women,Abbeywood School,unknown,unknown
2015-2016,2015-11-07,IBB Polonia London,3,25 25 25 - -,Leeds Gorse,0,17 17 16 - -,superleague,men,Brentford Fountain Leisure Centre,unknown,unknown
2015-2016,2015-11-07,Newcastle Staffs 2,0,20 15 19 - -,Team Sunderland,3,25 25 25 - -,division_2,men,Keele University Sports Centre,unknown,unknown
2015-2016,2015-11-07,Loughborough Students,1,11 22 31 14 0,Nottingham Rockets,3,25 25 29 25 0,division_2,men,Loughborough University Netball Centre,unknown,unknown
2015-2016,2015-11-07,Essex Blaze,2,25 17 25 19 13,Manchester Marvels,3,14 25 18 25 15,division_1,men,Boswells School,unknown,unknown
2015-2016,2015-11-07,Newcastle Staffs,3,25 25 25 - -,Southampton,0,17 17 20 - -,division_1,men,Keele University Sports Centre,unknown,unknown
2015-2016,2015-11-07,Richmond Docklands,3,25 25 17 22 15,Malory Eagles UEL,2,11 23 25 25 8,superleague,men,Sobell Leisure Centre,unknown,unknown
2015-2016,2015-11-07,Team SideOut Polonia (London),3,25 25 25 - -,Essex Rebels,0,20 23 21 - -,superleague,women,St Benedicts School,unknown,unknown
2015-2016,2015-11-07,Team South Wales,3,25 22 25 25 0,Malory Eagles UEL,1,20 25 19 23 0,superleague,women,USW Sport Park,unknown,unknown
2015-2016,2015-11-08,Loughborough Students,3,16 25 23 25 15,Manchester Marvels Mayhem,2,25 19 25 14 6,division_3,women,Loughborough University Netball Centre,unknown,unknown
2015-2016,2015-11-08,Portsmouth,3,25 25 24 25 0,Richmond 2,1,12 17 26 13 0,division_2,women,Priory Community Sports Centre,unknown,unknown
2015-2016,2015-11-08,Manchester Marvels Marauders,3,21 11 25 25 15,York Vikings,2,25 25 21 21 12,division_3,men,Sugden Sports Centre,unknown,unknown
2015-2016,2015-11-08,Hull Thunder,3,25 20 25 18 15,Intervolley Manchester,2,23 25 21 25 12,division_3,men,Hull Holy Trinity House Academy,unknown,unknown
2015-2016,2015-11-08,Essex Blaze,3,25 26 26 - -,Black Country,0,18 24 24 - -,division_1,men,Boswells School,unknown,unknown
2015-2016,2015-11-08,DARKSTAR Derbyshire,3,25 25 25 - -,Cambridge ARU,0,17 11 19 - -,division_3,men,Derbyshire Volleyball Centre (Derby Moor),unknown,unknown
2015-2016,2015-11-08,Newcastle Staffs,3,27 25 25 - -,Coventry & Warwick Riga,0,25 17 17 - -,division_2,women,Madeley High School,unknown,unknown
2015-2016,2015-11-08,Reading Aces,3,25 25 25 - -,Plymouth,0,20 12 22 - -,division_2,women,Kendrick School,unknown,unknown
2015-2016,2015-11-08,Southampton 2,0,16 20 14 - -,City of Bristol,3,25 25 25 - -,division_3,women,West Buckland School,unknown,unknown
2015-2016,2015-11-14,Cambridge ARU,0,20 21 22 - -,Essex Blaze,3,25 25 25 - -,shield,men,North Cambridge Academy,unknown,unknown
2015-2016,2015-11-14,Northumbria University,3,25 25 25 - -,Manchester Marvels,0,8 18 18 - -,cup,men,Sports Central,unknown,unknown
2015-2016,2015-11-14,IBB Polonia London,3,25 25 25 - -,Black Country,0,21 14 22 - -,cup,men,Brentford Fountain Leisure Centre,unknown,unknown
2015-2016,2015-11-14,Northumbria University,3,25 25 25 - -,Manchester Marvels Mystics,0,14 8 10 - -,cup,women,Sports Central,unknown,unknown
2015-2016,2015-11-15,Southampton,3,25 26 25 - -,Wessex,0,15 24 19 - -,division_3,women,Crestwood College,unknown,unknown
2015-2016,2015-11-15,Chester Amazons,0,10 14 6 - -,Durham Palatinates,3,25 25 25 - -,cup,women,Whitby High School,unknown,unknown
2015-2016,2015-11-15,London Inter Orcas,3,25 25 25 - -,Tamworth Spartans,0,9 9 13 - -,cup,women,unknown,unknown,unknown
2015-2016,2015-11-15,Coventry & Warwick Riga,0,21 15 10 - -,Dartford Chargers,3,25 25 25 - -,cup,women,Alan Higgs Centre,unknown,unknown
2015-2016,2015-11-15,York Falcons,0,12 8 12 - -,Team SideOut Polonia (London),3,25 25 25 - -,cup,women,Joseph Rowntree School,unknown,unknown
2015-2016,2015-11-15,Team Sunderland,3,25 25 25 - -,Team South Wales,0,0 0 0 - -,cup,women,unknown,unknown,unknown
2015-2016,2015-11-15,Southampton 2,1,16 25 13 20 0,Ashcombe Dorking,3,25 16 25 25 0,cup,women,Woodlands Community School,unknown,unknown
2015-2016,2015-11-15,Portsmouth,2,26 27 25 24 11,Bristol 2,3,24 29 16 26 15,division_2,women,Woodlands Community School,unknown,unknown
2015-2016,2015-11-15,Richmond 2,0,20 10 19 - -,Cambridge ARU,3,25 25 25 - -,division_2,women,Kingston Arena,unknown,unknown
2015-2016,2015-11-15,Southampton,0,16 11 19 - -,Plymouth Mayflower VC,3,25 25 25 - -,division_3,women,Crestwood College,unknown,unknown
2015-2016,2015-11-15,Wessex,0,5 12 13 - -,Plymouth Mayflower VC,3,25 25 25 - -,division_3,women,Crestwood College,unknown,unknown
2015-2016,2015-11-21,Malory Eagles UEL,0,23 20 23 - -,Team South Wales,3,25 25 25 - -,superleague,women,Ernest Bevin College,unknown,unknown
2015-2016,2015-11-21,Essex Rebels,0,22 16 18 - -,Team SideOut Polonia (London),3,25 25 25 - -,superleague,women,University of Essex Sports Centre,unknown,unknown
2015-2016,2015-11-21,Malory Eagles UEL,1,25 17 25 18 0,Sheffield,3,17 25 27 25 0,superleague,men,Ernest Bevin College,unknown,unknown
2015-2016,2015-11-21,Manchester Marvels,2,20 26 25 22 7,Black Country,3,25 24 17 25 15,division_1,men,Armitage Centre,unknown,unknown
2015-2016,2015-11-21,Nottingham Rockets,3,25 25 24 25 0,Newcastle Staffs 2,1,19 18 26 15 0,division_2,men,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-11-21,Nottingham Rockets,1,20 19 25 17 0,Newcastle Staffs,3,25 25 19 25 0,division_2,women,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-11-22,Essex Rebels,3,20 25 25 25 15,Team South Wales,2,25 22 22 27 12,superleague,women,Tendring Technology College,unknown,unknown
2015-2016,2015-11-22,Plymouth,1,25 12 23 13 0,Portsmouth,3,21 25 25 25 0,division_2,women,Coombe Dean School,unknown,unknown
2015-2016,2015-11-22,Bristol 2,3,25 25 25 - -,Reading Aces,0,19 17 11 - -,division_2,women,Ferry Leisure Centre,unknown,unknown
2015-2016,2015-11-22,Richmond Docklands,0,22 21 22 - -,Sheffield,3,25 25 25 - -,superleague,men,Bacons S.C.,unknown,unknown
2015-2016,2015-11-22,Bristol,3,25 25 25 - -,South Hants,0,13 15 20 - -,division_3,men,Truro Leisure Centre,unknown,unknown
2015-2016,2015-11-22,Intervolley Manchester,3,25 25 25 - -,Manchester Marvels Marauders,0,19 15 19 - -,division_3,men,The Y Club,unknown,unknown
2015-2016,2015-11-22,Cambridge ARU,1,16 26 27 16 0,DARKSTAR Derbyshire,3,25 28 25 25 0,division_3,men,North Cambridge Academy,unknown,unknown
2015-2016,2015-11-22,Essex Blaze,3,25 25 25 - -,Newcastle Staffs,0,17 23 20 - -,division_1,men,Basildon Sporting Village,unknown,unknown
2015-2016,2015-11-22,Team Sunderland,3,25 17 25 25 0,Sheffield 2,1,22 25 22 20 0,division_2,men,Sunderland College,unknown,unknown
2015-2016,2015-11-22,Manchester Marvels Marauders,0,19 22 12 - -,Durham Palatinates,3,25 25 25 - -,division_3,men,The Y Club,unknown,unknown
2015-2016,2015-11-22,Intervolley Manchester,0,17 17 21 - -,Durham Palatinates,3,25 25 25 - -,division_3,men,The Y Club,unknown,unknown
2015-2016,2015-11-22,DARKSTAR Derbyshire,2,26 25 21 12 5,Coventry & Warwick Riga,3,24 18 25 25 15,division_2,women,Derbyshire Volleyball Centre (Derby Moor),unknown,unknown
2015-2016,2015-11-22,Northumbria University,3,26 25 25 25 0,London Inter Orcas,1,28 20 20 22 0,superleague,women,unknown,unknown,unknown
2015-2016,2015-11-28,Nottingham Rockets,3,25 25 25 - -,Team Sunderland,0,21 15 8 - -,division_2,women,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-11-28,Nottingham Rockets,2,23 25 25 21 12,Team Sunderland,3,25 23 18 25 15,division_2,men,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-11-28,Southampton,3,25 25 26 25 0,Coventry and Warwick Riga,1,27 15 24 22 0,division_1,men,Itchen College Sports Centre,unknown,unknown
2015-2016,2015-11-28,Essex Trinity,3,23 25 25 23 15,Cambridge ARU,2,25 22 22 25 6,division_2,women,Basildon Sporting Village,unknown,unknown
2015-2016,2015-11-29,Bristol 2,3,21 25 21 25 15,Richmond 2,2,25 18 25 7 7,division_2,women,Abbeywood School,unknown,unknown
2015-2016,2015-11-29,Dartford Crossers,1,14 22 25 23 0,London Aces,3,25 25 22 25 0,division_3,men,Dartford Technology College,unknown,unknown
2015-2016,2015-11-29,Southampton 2,2,25 25 18 20 12,City of Bristol,3,20 10 25 25 15,division_3,women,Oxley Sports Centre,unknown,unknown
2015-2016,2015-12-05,Chester Amazons,3,25 18 25 25 15,York Falcons,2,27 25 19 13 13,shield,women,University Church of England Academy,unknown,unknown
2015-2016,2015-12-05,Cambridge ARU,0,18 18 18 - -,Portsmouth,3,25 25 25 - -,division_2,women,North Cambridge Academy,unknown,unknown
2015-2016,2015-12-05,Lincoln Cannons,0,0 0 0 - -,London Inter Orcas,3,25 25 25 - -,cup,women,unknown,unknown,unknown
2015-2016,2015-12-05,Newcastle Staffs,3,25 25 25 - -,Wombourne 1,0,20 16 21 - -,shield,men,Madeley High School,unknown,unknown
2015-2016,2015-12-05,Loughborough Students,3,25 25 16 21 15,Newcastle Staffs 2,2,22 21 25 25 13,shield,men,Victory Hall,unknown,unknown
2015-2016,2015-12-05,Sheffield 2,3,25 18 25 26 15,York Vikings,2,16 25 18 28 8,shield,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-12-05,DARKSTAR Derbyshire,2,23 19 25 25 11,Lincoln Cannons,3,25 25 22 18 15,shield,men,Derbyshire Volleyball Centre (Derby Moor),unknown,unknown
2015-2016,2015-12-05,Manchester Marvels Marauders,1,14 25 10 17 0,Hull Thunder,3,25 20 25 25 0,shield,men,Armitage Centre,unknown,unknown
2015-2016,2015-12-05,Team SideOut Polonia (London),3,25 25 25 - -,DARKSTAR Derbyshire,0,0 0 0 - -,cup,women,St Benedicts School,unknown,unknown
2015-2016,2015-12-05,Malory Eagles UEL,3,25 25 25 - -,Ashcombe Dorking,0,20 10 17 - -,cup,women,Ernest Bevin College,unknown,unknown
2015-2016,2015-12-06,Northampton,0,18 20 21 - -,Lincoln Cannons,3,25 25 25 - -,division_3,women,RAF Cranwell,unknown,unknown
2015-2016,2015-12-12,Ashcombe Dorking,1,18 21 25 20 0,Herts,3,25 25 17 25 0,division_1,women,The Ashcombe Volleyball Centre,unknown,unknown
2015-2016,2015-12-12,Durham Palatinates,3,25 25 25 - -,Leeds Gorse,0,20 19 20 - -,cup,men,Durham University Sport (Queens Campus),unknown,unknown
2015-2016,2015-12-12,Newcastle Staffs,3,24 25 26 25 0,Manchester Marvels,1,26 19 24 21 0,division_1,men,Keele University Sports Centre,unknown,unknown
2015-2016,2015-12-12,Richmond Docklands,0,19 15 14 - -,IBB Polonia London,3,25 25 25 - -,superleague,men,Sobell Leisure Centre,unknown,unknown
2015-2016,2015-12-12,Newcastle Staffs,1,23 25 21 21 0,Manchester Marvels Mystics,3,25 17 25 25 0,division_2,women,Keele University Sports Centre,unknown,unknown
2015-2016,2015-12-12,Team Sunderland,3,23 25 25 25 0,DARKSTAR Derbyshire,1,25 15 12 11 0,division_2,women,Sunderland University (Cityspace),unknown,unknown
2015-2016,2015-12-12,Malory Eagles UEL,2,14 25 15 25 13,Essex Rebels,3,25 20 25 23 15,superleague,women,Ernest Bevin College,unknown,unknown
2015-2016,2015-12-13,London Inter Orcas,1,25 18 21 20 0,Team SideOut Polonia (London),3,21 25 25 25 0,superleague,women,unknown,unknown,unknown
2015-2016,2015-12-13,Ashfield Vipers,0,14 14 16 - -,Chester Amazons,3,25 25 25 - -,division_3,women,Vision West Nottinghamshire College,unknown,unknown
2015-2016,2015-12-13,Ashcombe Dorking 2,1,7 25 19 8 0,Sussex Dolphins 1,3,25 23 25 25 0,division_3,women,The Ashcombe Volleyball Centre,unknown,unknown
2015-2016,2015-12-13,Bristol 2,3,20 25 25 25 0,Plymouth,1,25 14 13 20 0,division_2,women,Oasis Academy Brislington,unknown,unknown
2015-2016,2015-12-13,Bristol 2,3,15 21 25 25 15,Essex Trinity,2,25 25 23 16 11,division_2,women,Oasis Academy Brislington,unknown,unknown
2015-2016,2015-12-13,Dartford Crossers,3,25 25 28 - -,Newmarket,0,21 12 26 - -,division_3,men,Tendring Technology College,unknown,unknown
2015-2016,2015-12-13,Norwich Spikers,3,22 25 25 25 0,Richmond Bucks,1,25 20 10 22 0,division_3,men,Ernest Bevin College,unknown,unknown
2015-2016,2015-12-13,Essex Rebels,3,25 22 17 25 17,Newmarket,2,19 25 25 15 15,division_3,men,Tendring Technology College,unknown,unknown
2015-2016,2015-12-13,Sheffield 2,3,16 25 25 25 0,Nottingham Rockets,1,25 22 21 18 0,division_2,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-12-13,Essex Rebels,3,16 18 26 25 15,Dartford Crossers,2,25 25 24 14 13,division_3,men,Tendring Technology College,unknown,unknown
2015-2016,2015-12-13,Plymouth,0,18 21 10 - -,Essex Trinity,3,25 25 25 - -,division_2,women,Oasis Academy Brislington,unknown,unknown
2015-2016,2015-12-13,Tamworth Spartans,1,21 25 16 25 0,Norwich Spikers,3,25 22 25 27 0,division_3,women,Voyager Academy,unknown,unknown
