season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2015-2016,2015-09-19,Essex Blaze,1,15 25 23 23 0,London Aces,3,25 18 25 25 0,cup,men,unknown,unknown,unknown
2015-2016,2015-09-19,Lincoln Cannons,2,16 28 25 17 13,Coventry and Warwick Riga,3,25 26 18 25 15,cup,men,The Priory Pembroke Academy,unknown,unknown
2015-2016,2015-09-19,Newcastle Staffs 2,0,20 12 18 - -,Black Country,3,25 25 25 - -,cup,men,Madeley High School,unknown,unknown
2015-2016,2015-09-26,Cambridge ARU,3,25 25 25 - -,Reading Aces,0,19 22 14 - -,division_2,women,North Cambridge Academy,unknown,unknown
2015-2016,2015-09-26,Bristol,0,21 16 22 - -,Durham Palatinates,3,25 25 25 - -,division_1,women,Abbeywood School,unknown,unknown
2015-2016,2015-09-26,Essex Estonians,3,26 26 17 31 0,Team Sunderland,1,24 24 25 29 0,division_2,men,Boswells School,unknown,unknown
2015-2016,2015-09-26,Norwich Spikers,3,25 25 19 25 0,Essex Rebels,1,21 21 25 23 0,division_3,men,St Albans Girls School,unknown,unknown
2015-2016,2015-09-27,Leeds Gorse,0,15 24 15 - -,Team Sunderland,3,25 26 25 - -,division_2,women,Gryphon Sports Centre,unknown,unknown
2015-2016,2015-09-27,London Aces,3,25 25 25 - -,Newmarket,0,16 23 19 - -,division_3,men,Battersea Youth Centre,unknown,unknown
2015-2016,2015-09-27,London Aces,3,25 25 25 - -,Richmond Bucks,0,17 20 19 - -,division_3,men,Battersea Youth Centre,unknown,unknown
2015-2016,2015-09-27,Newmarket,1,25 21 20 24 0,Richmond Bucks,3,20 25 25 26 0,division_3,men,Battersea Youth Centre,unknown,unknown
2015-2016,2015-10-03,Essex Rebels,0,14 17 21 - -,Northumbria University,3,25 25 25 - -,superleague,women,Tendring Technology College,unknown,unknown
2015-2016,2015-10-03,Team SideOut Polonia (London),3,23 25 26 25 15,Team South Wales,2,25 14 24 27 12,superleague,women,St Benedicts School,unknown,unknown
2015-2016,2015-10-03,Newcastle Staffs,2,25 25 11 21 22,Black Country,3,21 22 25 25 24,division_1,men,Keele University Sports Centre,unknown,unknown
2015-2016,2015-10-03,Essex Blaze,3,25 25 25 - -,Coventry and Warwick Riga,0,12 17 14 - -,division_1,men,Boswells School,unknown,unknown
2015-2016,2015-10-03,Newcastle Staffs 2,3,25 24 25 25 0,Loughborough Students,1,13 26 20 23 0,division_2,men,Keele University Sports Centre,unknown,unknown
2015-2016,2015-10-03,Nottingham Rockets,1,18 19 33 14 0,Essex Estonians,3,25 25 31 25 0,division_2,men,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-10-03,Malory Eagles UEL,2,25 26 25 20 10,Leeds Gorse,3,18 28 18 25 15,superleague,men,Ernest Bevin College,unknown,unknown
2015-2016,2015-10-03,Sheffield,2,25 25 21 17 11,IBB Polonia London,3,19 20 25 25 15,superleague,men,Sheffield - U18 Boys,unknown,unknown
2015-2016,2015-10-03,Nottingham Rockets,2,23 17 25 26 9,Leeds Gorse,3,25 25 13 24 15,division_2,women,Southglade Leisure Centre,unknown,unknown
2015-2016,2015-10-03,Sussex Dolphins 1,2,25 26 20 25 11,Dartford Chargers,3,19 28 25 12 15,division_3,women,St Pauls Catholic College,unknown,unknown
2015-2016,2015-10-04,London Inter Orcas,0,20 21 19 - -,Northumbria University,3,25 25 25 - -,superleague,women,unknown,unknown,unknown
2015-2016,2015-10-04,City of Bristol,3,25 25 26 - -,Southampton,0,20 13 24 - -,division_3,women,Oasis Academy Brislington,unknown,unknown
2015-2016,2015-10-04,Southampton,3,25 25 25 - -,Wessex,0,17 14 19 - -,division_3,women,Oasis Academy Brislington,unknown,unknown
