season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2007-2008,2007-09-15,00:00,,Coventry and Warwick Riga,3,25 25 23 25 0,Newcastle Staffs,1,13 14 25 18 0,division_1,men,Alan Higgs Centre,unknown,unknown
2007-2008,2007-09-16,00:00,,Dartford Chargers,0,14 16 23 - -,Southampton 2,3,25 25 25 - -,division_3,women,Redbridge Sports College,unknown,unknown
2007-2008,2007-09-16,00:00,,Essex Trinity,0,12 19 12 - -,Sussex Dolphins 1,3,25 25 25 - -,division_3,women,TBC,unknown,unknown
2007-2008,2007-09-16,00:00,,Northampton,3,22 25 25 18 15,City of Bristol,2,25 22 19 25 8,division_3,women,Moulton Leisure Centre,unknown,unknown
2007-2008,2007-09-16,00:00,,Southampton,0,12 17 11 - -,Southampton 2,3,25 25 25 - -,division_3,women,Redbridge Sports College,unknown,unknown
2007-2008,2007-09-16,00:00,,Southampton,0,16 19 10 - -,Dartford Chargers,3,25 25 25 - -,division_3,women,Redbridge Sports College,unknown,unknown
2007-2008,2007-09-22,00:00,,Malory Eagles UEL,3,25 25 14 25 0,Ashcombe Dorking,1,16 16 25 17 0,division_1,women,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-09-23,00:00,,Portsmouth,3,25 25 26 - -,Plymouth,0,23 18 24 - -,division_2,women,Priory Community Sports Centre,unknown,unknown
2007-2008,2007-09-23,00:00,,Stowmarket,3,25 25 16 25 0,Essex Estonians,1,20 16 25 17 0,division_3,men,Whitechapel S.C.,unknown,unknown
2007-2008,2007-09-29,00:00,,Cambridge ARU,2,22 25 16 25 13,Guildford International,3,25 21 25 22 15,division_2,women,North Cambridge Academy,unknown,unknown
2007-2008,2007-09-29,00:00,,Newcastle Staffs,3,24 25 26 25 15,Malory Eagles UEL,2,26 23 28 20 6,division_1,men,Keele University Sports Centre,unknown,unknown
2007-2008,2007-09-29,00:00,,Richmond Docklands,3,25 25 25 - -,Sheffield,0,22 22 23 - -,division_1,men,Bacons S.C.,unknown,unknown
2007-2008,2007-09-30,00:00,,Ashcombe Dorking,2,25 20 25 14 11,Leeds Gorse,3,21 25 19 25 15,division_1,women,TBC,unknown,unknown
2007-2008,2007-09-30,00:00,,Essex Estonians,3,25 25 25 - -,Newcastle Staffs 2,0,20 21 17 - -,cup,men,,unknown,unknown
2007-2008,2007-09-30,00:00,,Herts,3,25 25 25 - -,Southampton,0,7 15 8 - -,division_3,women,Hertfordshire Sports Village,unknown,unknown
2007-2008,2007-09-30,00:00,,Newcastle Staffs,0,17 16 12 - -,Northumbria University,3,25 25 25 - -,division_3,women,Keele University Sports Centre,unknown,unknown
2007-2008,2007-09-30,00:00,,Nottingham Rockets,1,25 13 14 17 0,Northumbria University,3,23 25 25 25 0,cup,men,,unknown,unknown
2007-2008,2007-09-30,00:00,,Sussex Dolphins 1,3,25 25 25 - -,Dartford Chargers,0,19 21 19 - -,division_3,women,Dolphins L.C.,unknown,unknown
2007-2008,2007-10-13,00:00,,Coventry and Warwick Riga,3,23 22 25 25 16,Richmond Docklands,2,25 25 20 22 14,division_1,men,Alan Higgs Centre,unknown,unknown
2007-2008,2007-10-13,00:00,,Malory Eagles UEL,2,12 15 25 25 10,Leeds Gorse,3,25 25 19 18 15,division_1,women,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-10-13,00:00,,Team SideOut Polonia (London),3,26 25 25 - -,Loughborough Students,0,24 21 11 - -,division_1,women,St Benedicts School,unknown,unknown
2007-2008,2007-10-14,00:00,,Dartford Crossers,0,18 23 21 - -,Essex Estonians,3,25 25 25 - -,division_3,men,Acacia Hall,unknown,unknown
2007-2008,2007-10-14,00:00,,Essex Blaze,0,11 23 16 - -,Leeds Gorse,3,25 25 25 - -,division_2,men,Boswells School,unknown,unknown
2007-2008,2007-10-14,00:00,,IBB Polonia London,2,22 25 24 25 9,Malory Eagles UEL,3,25 18 26 23 15,division_1,men,St Benedicts School,unknown,unknown
2007-2008,2007-10-14,00:00,,Southampton,3,25 25 25 - -,City of Bristol,0,0 0 0 - -,cup,women,,unknown,unknown
2007-2008,2007-10-14,00:00,,Team SideOut Polonia (London),3,23 25 25 25 0,Malory Eagles UEL,1,25 20 12 13 0,division_1,women,St Benedicts School,unknown,unknown
2007-2008,2007-10-20,00:00,,Cambridge ARU,3,16 22 25 25 15,Essex Blaze,2,25 25 22 18 7,division_2,men,North Cambridge Academy,unknown,unknown
2007-2008,2007-10-20,00:00,,Richmond Docklands,0,17 21 23 - -,IBB Polonia London,3,25 25 25 - -,division_1,men,Bacons S.C.,unknown,unknown
2007-2008,2007-10-21,00:00,,Black Country,0,14 15 24 - -,Northumbria University,3,25 25 26 - -,division_3,men,Munrow Sports Centre,unknown,unknown
2007-2008,2007-10-21,00:00,,Cambridge ARU,0,22 18 16 - -,Reading Aces,3,25 25 25 - -,division_2,women,North Cambridge Academy,unknown,unknown
2007-2008,2007-10-21,00:00,,Coventry & Warwick Riga,2,25 25 20 18 11,City of Bristol,3,15 15 25 25 15,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2007-2008,2007-10-21,00:00,,Essex Trinity,0,13 17 17 - -,Southampton 2,3,25 25 25 - -,division_3,women,Kendrick School,unknown,unknown
2007-2008,2007-10-21,00:00,,Sussex Dolphins 1,3,25 25 25 - -,Southampton,0,16 16 17 - -,division_3,women,Dolphins L.C.,unknown,unknown
2007-2008,2007-10-27,00:00,,Coventry & Warwick Riga 2,1,19 25 17 17 0,Leeds Gorse,3,25 21 25 25 0,division_2,men,Alan Higgs Centre,unknown,unknown
2007-2008,2007-10-27,00:00,,Malory Eagles UEL,3,25 25 25 - -,Sheffield,0,22 23 22 - -,division_1,men,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-10-27,00:00,,Newcastle Staffs,1,25 22 22 15 0,Richmond Docklands,3,20 25 25 25 0,division_1,men,Keele University Sports Centre,unknown,unknown
2007-2008,2007-10-27,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Ashcombe Dorking,0,21 23 12 - -,division_1,women,St Benedicts School,unknown,unknown
2007-2008,2007-10-28,00:00,,Black Country,3,25 20 25 25 0,Newcastle Staffs 2,1,21 25 19 16 0,division_3,men,Birkdale High School,unknown,unknown
2007-2008,2007-10-28,00:00,,Sheffield,3,25 25 24 25 0,Richmond Docklands,1,20 22 26 17 0,division_1,men,Sheffield - U18 Boys,unknown,unknown
2007-2008,2007-11-03,00:00,,Leeds Gorse,1,24 22 25 12 0,Loughborough Students,3,26 25 17 25 0,division_2,men,TBC,unknown,unknown
2007-2008,2007-11-03,00:00,,Loughborough Students,0,24 21 19 - -,Malory Eagles UEL,3,26 25 25 - -,division_1,women,TBC,unknown,unknown
2007-2008,2007-11-04,00:00,,Guildford International,2,25 25 22 23 10,Plymouth,3,21 21 25 25 15,division_2,women,TBC,unknown,unknown
2007-2008,2007-11-04,00:00,,IBB Polonia London,3,25 25 26 27 0,Newcastle Staffs,1,14 21 28 25 0,division_1,men,St Benedicts School,unknown,unknown
2007-2008,2007-11-04,00:00,,Leeds Gorse,1,15 25 10 12 0,Team SideOut Polonia (London),3,25 22 25 25 0,division_1,women,TBC,unknown,unknown
2007-2008,2007-11-04,00:00,,Loughborough Students,3,25 25 25 - -,Leeds Gorse,0,19 16 18 - -,division_2,men,TBC,unknown,unknown
2007-2008,2007-11-04,00:00,,Sheffield,3,25 31 25 - -,Coventry and Warwick Riga,0,21 29 18 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2007-2008,2007-11-04,00:00,,Southampton 2,1,25 9 21 26 0,Herts,3,17 25 25 28 0,division_3,women,Peckham Academy,unknown,unknown
2007-2008,2007-11-04,00:00,,Southampton,3,25 25 25 - -,Essex Trinity,0,0 0 0 - -,division_3,women,,unknown,unknown
2007-2008,2007-11-10,00:00,,Leeds Gorse,1,20 18 25 19 0,Newcastle Staffs,3,25 25 23 25 0,cup,men,,unknown,unknown
2007-2008,2007-11-10,00:00,,Richmond Docklands,3,25 25 25 - -,Stowmarket,0,14 19 23 - -,cup,men,,unknown,unknown
2007-2008,2007-11-10,00:00,,Southampton,1,27 14 24 16 0,Essex Blaze,3,25 25 26 25 0,cup,men,,unknown,unknown
2007-2008,2007-11-11,00:00,,Coventry & Warwick Riga 2,2,25 25 13 19 11,Cambridge ARU,3,20 20 25 25 15,cup,men,,unknown,unknown
2007-2008,2007-11-24,00:00,,IBB Polonia London,0,18 10 18 - -,Sheffield,3,25 25 25 - -,division_1,men,St Benedicts School,unknown,unknown
2007-2008,2007-11-24,00:00,,Malory Eagles UEL,3,28 18 22 25 15,Coventry and Warwick Riga,2,26 25 25 19 11,division_1,men,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-11-25,00:00,,Dartford Crossers,2,23 25 25 27 12,Stowmarket,3,25 16 23 29 15,division_3,men,Chesterton Sports Centre,unknown,unknown
2007-2008,2007-11-25,00:00,,Northumbria University,3,25 25 25 - -,Newcastle Staffs 2,0,17 17 13 - -,division_3,men,Southglade Leisure Centre,unknown,unknown
2007-2008,2007-11-25,00:00,,Nottingham Rockets,0,16 13 14 - -,Northumbria University,3,25 25 25 - -,division_3,men,Southglade Leisure Centre,unknown,unknown
2007-2008,2007-11-25,00:00,,Nottingham Rockets,3,22 28 25 25 0,Newcastle Staffs 2,1,25 26 20 16 0,division_3,men,Southglade Leisure Centre,unknown,unknown
2007-2008,2007-11-25,00:00,,Southampton,1,18 21 25 15 0,City of Bristol,3,25 25 22 25 0,division_3,men,Coombe Dean School,unknown,unknown
2007-2008,2007-12-01,00:00,,Coventry & Warwick Riga 2,0,18 15 20 - -,Loughborough Students,3,25 25 25 - -,division_2,men,Alan Higgs Centre,unknown,unknown
2007-2008,2007-12-01,00:00,,Coventry and Warwick Riga,3,28 25 25 18 15,IBB Polonia London,2,26 18 27 25 10,division_1,men,Alan Higgs Centre,unknown,unknown
2007-2008,2007-12-01,00:00,,Leeds Gorse,3,22 25 25 25 0,Loughborough Students,1,25 9 22 22 0,division_1,women,TBC,unknown,unknown
2007-2008,2007-12-01,00:00,,Richmond Docklands,1,25 23 21 23 0,Malory Eagles UEL,3,22 25 25 25 0,division_1,men,Bacons S.C.,unknown,unknown
2007-2008,2007-12-01,00:00,,Sheffield,3,25 25 25 - -,Newcastle Staffs,0,14 21 22 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2007-2008,2007-12-02,00:00,,Ashcombe Dorking,1,16 22 25 21 0,Loughborough Students,3,25 25 23 25 0,division_1,women,TBC,unknown,unknown
2007-2008,2007-12-02,00:00,,City of Bristol,3,25 25 25 - -,Coventry & Warwick Riga,0,20 20 20 - -,division_3,women,University of Bristol,unknown,unknown
2007-2008,2007-12-02,00:00,,City of Bristol,3,25 25 25 - -,Northampton,0,20 20 13 - -,division_3,women,University of Bristol,unknown,unknown
2007-2008,2007-12-02,00:00,,Dartford Chargers,0,13 18 22 - -,Herts,3,25 25 25 - -,division_3,women,Acacia Hall,unknown,unknown
2007-2008,2007-12-02,00:00,,Essex Trinity,0,7 17 18 - -,Southampton 2,3,25 25 25 - -,division_3,women,Boswells School,unknown,unknown
2007-2008,2007-12-02,00:00,,Lionhearts Vinarius,3,25 25 25 - -,Coventry & Warwick Riga 2,0,0 0 0 - -,shield,men,,unknown,unknown
2007-2008,2007-12-02,00:00,,Northampton,3,19 20 25 25 15,Coventry & Warwick Riga,2,25 25 15 21 6,division_3,women,University of Bristol,unknown,unknown
2007-2008,2007-12-02,00:00,,Northumbria University,3,25 25 25 - -,Leeds Gorse,0,0 0 0 - -,shield,men,,unknown,unknown
2007-2008,2007-12-02,00:00,,Plymouth,1,25 24 16 22 0,Cambridge ARU,3,18 26 25 25 0,division_2,women,Coombe Dean School,unknown,unknown
2007-2008,2007-12-02,00:00,,Reading Aces,3,22 25 25 25 0,Portsmouth,1,25 19 18 23 0,division_2,women,Kendrick School,unknown,unknown
2007-2008,2007-12-08,00:00,,Loughborough Students,3,15 20 25 25 15,Leeds Gorse,2,25 25 21 16 8,division_1,women,TBC,unknown,unknown
2007-2008,2007-12-08,00:00,,Malory Eagles UEL,1,25 18 25 22 0,Team SideOut Polonia (London),3,27 25 19 25 0,division_1,women,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-12-08,00:00,,Malory Eagles UEL,3,16 25 14 25 15,IBB Polonia London,2,25 21 25 19 11,division_1,men,Raynes Park High School Sports Centre,unknown,unknown
2007-2008,2007-12-08,00:00,,Newcastle Staffs,1,23 30 19 21 0,Coventry and Warwick Riga,3,25 28 25 25 0,division_1,men,Keele University Sports Centre,unknown,unknown
2007-2008,2007-12-09,00:00,,City of Bristol,3,22 25 25 18 15,Southampton,2,25 20 21 25 8,division_3,men,Kendrick School,unknown,unknown
2007-2008,2007-12-09,00:00,,Northumbria University,3,25 25 25 - -,Newcastle Staffs 2,0,18 17 11 - -,division_3,men,Munrow Sports Centre,unknown,unknown
2007-2008,2007-12-15,00:00,,Coventry & Warwick Riga 2,1,18 25 22 16 0,Essex Blaze,3,25 21 25 25 0,division_2,men,St. Nicholas Park L.C.,unknown,unknown
2007-2008,2007-12-15,00:00,,Newcastle Staffs,3,25 22 25 25 0,IBB Polonia London,1,17 25 17 20 0,division_1,men,Keele University Sports Centre,unknown,unknown
2007-2008,2007-12-16,00:00,,Ashcombe Dorking,0,13 11 21 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,TBC,unknown,unknown
2007-2008,2007-12-16,00:00,,Coventry & Warwick Riga 2,0,23 21 11 - -,Cambridge ARU,3,25 25 25 - -,division_2,men,St. Nicholas Park L.C.,unknown,unknown
2007-2008,2007-12-16,00:00,,Essex Trinity,0,15 21 12 - -,Dartford Chargers,3,25 25 25 - -,division_3,women,Angel Centre,unknown,unknown
2007-2008,2007-12-16,00:00,,Northumbria University,1,25 25 22 13 0,Newcastle Staffs,3,27 23 25 25 0,division_3,women,TBC,unknown,unknown
2007-2008,2007-12-16,00:00,,Southampton,0,13 11 5 - -,Herts,3,25 25 25 - -,division_3,women,Redbridge Sports College,unknown,unknown
2007-2008,2007-12-16,00:00,,Sussex Dolphins 1,2,25 17 25 20 12,Southampton 2,3,21 25 22 25 15,division_3,women,Dolphins L.C.,unknown,unknown
2007-2008,2008-01-06,00:00,,Sheffield,3,25 25 25 - -,Dartford Crossers,0,0 0 0 - -,shield,women,,unknown,unknown
2007-2008,2008-01-12,00:00,,Nottingham Rockets,0,20 15 9 - -,Loughborough Students,3,25 25 25 - -,shield,men,,unknown,unknown
2007-2008,2008-01-13,00:00,,Dartford Crossers,1,22 15 25 15 0,Essex Estonians,3,25 25 23 25 0,division_3,men,Acacia Hall,unknown,unknown
2007-2008,2008-01-13,00:00,,Guildford International,3,25 25 25 - -,Plymouth,0,19 15 17 - -,cup,women,,unknown,unknown
2007-2008,2008-01-13,00:00,,Malory Eagles UEL,3,22 25 25 25 0,Reading Aces,1,25 22 20 19 0,cup,women,,unknown,unknown
2007-2008,2008-01-13,00:00,,Northumbria University,3,25 25 25 - -,Nottingham Rockets,0,14 12 14 - -,division_3,men,Whitby High School,unknown,unknown
2007-2008,2008-01-19,00:00,,Loughborough Students,3,25 23 25 25 0,Coventry & Warwick Riga 2,1,17 25 17 12 0,division_2,men,TBC,unknown,unknown
2007-2008,2008-01-20,00:00,,Herts,3,25 19 21 25 15,Sussex Dolphins 1,2,10 25 25 9 10,division_3,women,Francis Bacon Sports Centre,unknown,unknown
2007-2008,2008-01-20,00:00,,Herts,3,25 25 23 25 0,Essex Trinity,1,4 9 25 17 0,division_3,women,Francis Bacon Sports Centre,unknown,unknown
2007-2008,2008-01-20,00:00,,Leeds Gorse,3,23 19 25 27 15,Ashcombe Dorking,2,25 25 23 25 8,division_1,women,TBC,unknown,unknown
2007-2008,2008-01-20,00:00,,Sussex Dolphins 1,3,25 25 25 - -,Essex Trinity,0,21 16 7 - -,division_3,women,Francis Bacon Sports Centre,unknown,unknown
2007-2008,2008-01-26,00:00,,Essex Blaze,1,25 21 22 23 0,Cambridge ARU,3,23 25 25 25 0,division_2,men,Boswells School,unknown,unknown
2007-2008,2008-01-26,00:00,,Loughborough Students,3,25 23 19 25 15,Team SideOut Polonia (London),2,20 25 25 10 12,division_1,women,TBC,unknown,unknown
2007-2008,2008-01-26,00:00,,Richmond Docklands,3,26 25 25 14 15,Coventry and Warwick Riga,2,28 16 18 25 11,division_1,men,Bacons S.C.,unknown,unknown
2007-2008,2008-01-27,00:00,,Leeds Gorse,0,19 14 14 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,TBC,unknown,unknown
2007-2008,2008-01-27,00:00,,Malory Eagles UEL,3,25 25 25 - -,Newcastle Staffs,0,20 19 21 - -,division_1,men,TBC,unknown,unknown
2007-2008,2008-01-27,00:00,,Reading Aces,3,19 25 25 25 0,Cambridge ARU,1,25 18 20 14 0,division_2,women,Kendrick School,unknown,unknown
2007-2008,2008-02-02,00:00,,Coventry and Warwick Riga,0,19 19 17 - -,Sheffield,3,25 25 25 - -,cup,men,,unknown,unknown
2007-2008,2008-02-02,00:00,,Guildford International,0,12 18 27 - -,Team SideOut Polonia (London),3,25 25 29 - -,cup,women,,unknown,unknown
2007-2008,2008-02-03,00:00,,Essex Trinity,2,19 25 25 18 10,Southampton,3,25 22 19 25 15,division_3,women,Boswells School,unknown,unknown
2007-2008,2008-02-03,00:00,,Herts,3,25 25 17 25 0,Southampton 2,1,23 14 25 15 0,division_3,women,Francis Bacon Sports Centre,unknown,unknown
2007-2008,2008-02-03,00:00,,IBB Polonia London,3,26 25 25 - -,Newcastle Staffs,0,24 14 18 - -,cup,men,,unknown,unknown
2007-2008,2008-02-09,00:00,,Portsmouth,0,22 15 21 - -,Guildford International,3,25 25 25 - -,division_2,women,Priory Community Sports Centre,unknown,unknown
2007-2008,2008-02-09,00:00,,Southampton,2,25 25 18 23 10,Sussex Dolphins 1,3,0 0 25 25 15,division_3,women,,unknown,unknown
2007-2008,2008-02-10,00:00,,Northumbria University,3,25 25 25 - -,Black Country,0,15 20 10 - -,division_3,men,TBC,unknown,unknown
2007-2008,2008-02-10,00:00,,Plymouth,3,25 21 25 25 0,Portsmouth,1,14 25 20 17 0,division_2,women,Coombe Dean School,unknown,unknown
2007-2008,2008-02-23,00:00,,IBB Polonia London,3,22 17 25 25 16,Richmond Docklands,2,25 25 20 15 14,division_1,men,St Benedicts School,unknown,unknown
2007-2008,2008-02-24,00:00,,Dartford Chargers,1,25 20 13 25 0,Sussex Dolphins 1,3,18 25 25 27 0,division_3,women,Woodlands Community School,unknown,unknown
2007-2008,2008-02-24,00:00,,Essex Blaze,1,20 19 25 23 0,Loughborough Students,3,25 25 23 25 0,division_2,men,Boswells School,unknown,unknown
2007-2008,2008-02-24,00:00,,Southampton 2,0,18 21 23 - -,Sussex Dolphins 1,3,25 25 25 - -,division_3,women,Woodlands Community School,unknown,unknown
