season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2005-2006,2006-02-26,Cambridge ARU,0,10 15 14 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,Chesterton Sports Centre,unknown,unknown
2005-2006,2006-03-11,Richmond Docklands,3,25 25 25 - -,Coventry and Warwick Riga,0,23 23 13 - -,cup,men,unknown,unknown,unknown
2005-2006,2006-03-11,Team SideOut Polonia (London),0,12 15 23 - -,Malory Eagles UEL,3,25 25 25 - -,cup,women,unknown,unknown,unknown
2005-2006,2006-03-12,Southampton 2,0,22 16 18 - -,Plymouth,3,25 25 25 - -,shield,women,unknown,unknown,unknown
2005-2006,2006-03-19,Southampton,1,25 22 16 10 0,Southampton 2,3,23 25 25 25 0,division_3,women,Woodlands Community School,unknown,unknown
2005-2006,2006-03-19,City of Bristol,0,15 17 21 - -,Plymouth,3,25 25 25 - -,division_3,women,University of Bristol,unknown,unknown
2005-2006,2006-03-26,Portsmouth,1,19 20 25 21 0,Team SideOut Polonia (London),3,25 25 23 25 0,division_1,women,Milton Cross School,unknown,unknown
2005-2006,2006-03-26,Malory Eagles UEL,3,27 25 15 15 15,Loughborough Students,2,25 21 25 25 8,division_1,women,Brunel University Osterley Campus,unknown,unknown
2005-2006,2006-03-26,Reading Aces,1,24 25 18 23 0,Ashcombe Dorking,3,26 22 25 25 0,division_2,women,Kendrick School,unknown,unknown
2005-2006,2006-04-01,Cambridge ARU,0,23 17 19 - -,Herts,3,25 25 25 - -,division_2,women,Chesterton Sports Centre,unknown,unknown
2005-2006,2006-04-02,Ashcombe Dorking,3,25 25 25 - -,Guildford International,0,18 10 18 - -,division_2,women,unknown,unknown,unknown
2005-2006,2006-04-02,Malory Eagles UEL,3,25 25 25 - -,Team SideOut Polonia (London),0,13 19 21 - -,division_1,women,Brunel University Osterley Campus,unknown,unknown
2005-2006,2006-04-22,Malory Eagles UEL,3,25 25 25 - -,Richmond Docklands,0,20 17 14 - -,cup,men,unknown,unknown,unknown
2024-2025,2024-09-28,London Aces,1,19 17 25 22 -,Leeds Gorse,3,25 25 19 25 -,division_1,men,Lambeth Academy,Francesca Hossain,Andres Hernandez
2024-2025,2024-09-29,London Baks,0,18 16 12 - -,Leeds Gorse,3,25 25 25 - -,division_1,men,Castle Green Sport Centre,Anna Justkowska,Domenico De Mattia
2024-2025,2024-10-05,Harrogate,2,24 25 23 25 7,Kings of Court,3,26 21 25 18 15,division_2,men,Rossett Sports Centre,Diane Hollows,Martyn Quick
2024-2025,2024-10-05,Loughborough Students,1,28 20 14 23 -,Rhinos Volleyball Cambridge,3,26 25 25 25 -,division_2,men,Parkin Sports Centre,William Perugini,Ana Pal
2024-2025,2024-10-05,London Baks,0,19 23 20 - -,Bristol,3,25 25 25 - -,division_1,men,Castle Green Sport Centre,Ian Cheesbrough,Ruben Duarte
2024-2025,2024-10-05,Leeds Gorse,3,25 25 25 - -,Exeter Storm,0,18 16 15 - -,division_1,men,The Ruth Gorse Academy,Lenny Barry,Michal Garncarz
2024-2025,2024-10-05,Spelthorne Lions,0,0 0 0 - -,Richmond Bucks,3,25 25 25 - -,division_2,men,St. James School,Gianni Sutton,
2024-2025,2024-10-06,Black Country 2,0,23 19 22 - -,GNG Bedford,3,25 25 25 - -,division_3,men,Dudley Evolve,Bee Yusuf,Rita Grimes
2024-2025,2024-10-06,DARKSTAR Derbyshire 2,1,23 25 23 20 -,Tamworth Spartans 2,3,25 22 25 25 -,division_3,men,Limehurst Academy,Gary Cross,Elia Gironacci
2024-2025,2024-10-06,Chester,3,25 25 25 - -,Wombourne 2,0,8 20 18 - -,division_3,men,Ellesmere Port Church of England Academy,Abdul Salam Safadi,Martin Mierzwa
2024-2025,2024-10-06,Leicester,3,25 25 25 - -,Tamworth Spartans 2,0,10 16 14 - -,division_3,men,Limehurst Academy,Elia Gironacci,Gary Cross
2024-2025,2024-10-06,Chester,1,25 11 20 23 -,Nottingham Rockets,3,14 25 25 25 -,division_3,men,Ellesmere Port Church of England Academy,Abdul Salam Safadi,Martin Mierzwa
2024-2025,2024-10-06,Hounslow,0,0 0 0 - -,Southampton,3,25 25 25 - -,division_2,men,Lampton School,Anna Justkowska,Cherie Cheung
2024-2025,2024-10-06,Cambridge,1,12 25 35 19 -,Coventry and Warwick Riga,3,25 23 37 25 -,division_2,men,North Cambridge Academy,Stephen Watts,Klaudia French
2024-2025,2024-10-06,Cambridge ARU,2,25 20 14 25 13,Bristol,3,22 25 25 20 15,division_1,men,North Cambridge Academy,Klaudia French,Stephen Watts
2024-2025,2024-10-06,Tamworth Spartans,3,17 25 25 25 -,Lincoln Cannons,1,25 20 23 21 -,division_1,men,Wilnecote Leisure Centre,Ben Hill,Bryan Machin
2024-2025,2024-10-06,Hull Thunder,3,25 25 30 - -,Exeter Storm,0,21 18 28 - -,division_1,men,Steve Prescott Sports Centre,Diane Hollows,Edward Arnott
2024-2025,2024-10-06,Wombourne 2,1,25 19 20 22 -,Nottingham Rockets,3,19 25 25 25 -,division_3,men,Ellesmere Port Church of England Academy,Martin Mierzwa,Abdul Salam Safadi
2024-2025,2024-10-06,Wombourne,3,25 25 26 - -,GNG Bedford,0,23 23 24 - -,division_3,men,Dudley Evolve,Rita Grimes,Bee Yusuf
2024-2025,2024-10-06,Leicester,3,25 25 27 25 -,DARKSTAR Derbyshire 2,1,10 22 29 19 -,division_3,men,Limehurst Academy,Elia Gironacci,Gary Cross
2024-2025,2024-10-06,Wombourne,3,28 21 25 22 15,Black Country 2,2,26 25 21 25 9,division_3,men,Dudley Evolve,Rita Grimes,Bee Yusuf
2024-2025,2024-10-12,Essex Rebels,3,25 25 25 - -,IBB Polonia London,0,14 18 17 - -,superleague,men,National Volleyball Centre,Herman Prada,Anna Justkowska
2024-2025,2024-10-12,Richmond Docklands,3,25 25 27 25 -,Stockport,1,19 18 29 21 -,superleague,men,National Volleyball Centre,Katarina Cepinova,Klaudia French
2024-2025,2024-10-12,Malory Eagles UEL,2,22 23 27 25 12,Newcastle Knights,3,25 25 25 21 15,superleague,men,National Volleyball Centre,Dominik Biegajlo,Katarina Cepinova
2024-2025,2024-10-12,Cardiff Panthers,0,21 12 19 - -,Wessex,3,25 25 25 - -,division_2,men,Fitzalan Highschool,Su Brennand,Janet Leach
2024-2025,2024-10-12,Cambridge,0,17 15 24 - -,Newmarket,3,25 25 26 - -,division_2,men,North Cambridge Academy,Domitilla Di Stefano,Glynn Archibald
2024-2025,2024-10-12,Black Country,3,29 25 25 - -,Lincoln Cannons,0,27 23 20 - -,division_1,men,Redhill School Sports Hall,John Boughton,Sam Yip
2024-2025,2024-10-12,London Baks,3,25 25 23 25 -,Tamworth Spartans,1,19 22 25 23 -,division_1,men,Castle Green Sport Centre,Huaxi Liu,Gianni Sutton
2024-2025,2024-10-12,Cambridge ARU,2,23 22 33 25 8,London Aces,3,25 25 31 22 15,division_1,men,North Cambridge Academy,Glynn Archibald,Domitilla Di Stefano
2024-2025,2024-10-12,Loughborough Students,1,18 20 25 18 -,Coventry and Warwick Riga,3,25 25 22 25 -,division_2,men,Parkin Sports Centre,Phil Cobb,Chris Tsui
2024-2025,2024-10-12,Norwich Spikers,3,25 18 25 25 -,Northampton,1,23 25 19 11 -,division_2,men,UEA Norwich Sportspark,Richard Garnett,Eden Minnis
2024-2025,2024-10-12,Wiltshire Mavericks,1,25 23 17 19 -,Richmond Bucks,3,20 25 25 25 -,division_2,men,Lavington School,Jacky Pang,Neil Bentley
2024-2025,2024-10-12,Wiltshire Mavericks,1,20 25 17 20 -,Spelthorne Lions,3,25 19 25 25 -,division_2,men,Lavington School,Neil Bentley,Jacky Pang
2024-2025,2024-10-12,London Giants,1,25 20 21 17 -,Durham Palatinates,3,17 25 25 25 -,superleague,men,National Volleyball Centre,Richard Burbedge,Domenico De Mattia
2024-2025,2024-10-12,University of Nottingham,3,25 25 22 25 -,Essex Blaze,1,19 18 25 18 -,superleague,men,National Volleyball Centre,William Perugini,Martin Shakespeare
2024-2025,2024-10-19,Leeds Gorse 2,0,20 18 17 - -,Sheffield,3,25 25 25 - -,division_2,men,Ruth Gorse Academy,Debra Smart,Aileen Barry
2024-2025,2024-10-19,Black Country,1,25 20 21 18 -,Leeds Gorse,3,20 25 25 25 -,division_1,men,Redhill School Sports Hall,Rita Grimes,Jonathan K W Holburn
2024-2025,2024-10-19,Exeter Storm,1,25 14 18 18 -,London Aces,3,21 25 25 25 -,division_1,men,Riverside Leisure Centre,Ignacio Diez,Mel Melville-brown
2024-2025,2024-10-19,Hull Thunder,1,19 19 25 15 -,Cambridge ARU,3,25 25 23 25 -,division_1,men,Steve Prescott Sport Centre,Simon Cowie,Diane Hollows
2024-2025,2024-10-19,Norwich Spikers,3,25 25 25 - -,MK City,0,18 23 23 - -,division_2,men,UEA Norwich Sportspark,Richard Garnett,
2024-2025,2024-10-19,Newcastle Staffs 2,0,19 22 22 - -,Manchester Marvels,3,25 25 25 - -,division_2,men,Sir Stanley Matthews Sports Centre,William Perugini,Bee Yusuf
2024-2025,2024-10-19,Wessex,2,25 19 25 22 17,Richmond Bucks,3,15 25 15 25 19,division_2,men,Parkstone Grammar School,Ludwik Kowalewski,Sam Yip
2024-2025,2024-10-19,Malory Eagles UEL,3,25 22 25 25 -,Durham Palatinates,1,19 25 14 21 -,superleague,men,Ernest Bevin College,Giorgio Scatigna-Gianfagna,Glynn Archibald
2024-2025,2024-10-20,Essex Blaze,1,27 25 23 21 -,Richmond Docklands,3,29 17 25 25 -,superleague,men,St John Payne School,Glynn Archibald,Herman Prada
2024-2025,2024-10-20,Newmarket,3,21 25 25 25 -,Northampton,1,25 22 14 23 -,division_2,men,Newmarket Leisure Centre,,
2024-2025,2024-10-20,Coventry and Warwick Riga,3,25 20 18 26 15,Rhinos Volleyball Cambridge,2,20 25 25 24 9,division_2,men,Alan Higgs Centre,Pete Whyard,Phil Cobb
2024-2025,2024-10-20,Bristol,3,25 25 19 25 15,London Aces,2,23 23 25 27 13,division_1,men,Avanti Gardens School,Neil Bentley,Cheryl Whittles
2024-2025,2024-10-20,Tamworth Spartans,0,20 23 19 - -,Black Country,3,25 25 25 - -,division_1,men,Wilnecote Leisure Centre,Rita Grimes,Elia Gironacci
2024-2025,2024-10-20,Leeds Gorse,3,25 25 25 - -,Cambridge ARU,0,22 21 13 - -,division_1,men,The Stephen Longfellow Academy,Debra Smart,Diane Hollows
2024-2025,2024-10-20,Loughborough Students,3,25 25 25 - -,Cambridge,0,18 18 18 - -,division_2,men,Parkin Sports Centre,,William Perugini
2024-2025,2024-10-20,Manchester Marvels,3,18 26 25 25 -,DARKSTAR Derbyshire,1,25 24 19 18 -,division_2,men,Dean Trust Ardwick,Sarah Hanrahan,Bryan Youlden
2024-2025,2024-10-20,Wigan Seahawks,3,22 25 25 23 15,Harrogate,2,25 14 11 25 10,division_2,men,St Edmund Arrowsmith Catholic High School,Lenny Barry,
2024-2025,2024-10-20,Richmond Bucks,3,25 25 25 - -,Cardiff Panthers,0,23 22 14 - -,division_2,men,Kingston College Arena,Anna Justkowska,Huaxi Liu
2024-2025,2024-10-20,Wessex,3,25 23 25 25 -,Hounslow,1,17 25 14 17 -,division_2,men,Parkstone Grammar School,Francesca Bentley,Jacky Pang
2024-2025,2024-10-26,Essex Rebels,3,25 25 25 - -,Richmond Docklands,0,19 19 21 - -,superleague,men,University of Essex Sports Centre,Herman Prada,Klaudia French
2024-2025,2024-10-26,Black Country 2,1,16 25 16 23 -,Leicester,3,25 20 25 25 -,division_3,men,Redhill School Sports Hall,Timothy Hebborn,Daniel Mrowiec
2024-2025,2024-10-26,Black Country 2,3,25 25 25 - -,Chester,0,0 0 0 - -,division_3,men,Redhill School Sports Hall,Timothy Hebborn,Daniel Mrowiec
2024-2025,2024-10-26,Wessex,3,26 25 25 - -,Wiltshire Mavericks,0,24 20 14 - -,division_2,men,Parkstone Grammar School,Nick Heckford,Ludwik Kowalewski
2024-2025,2024-10-26,Coventry and Warwick Riga,3,25 26 25 - -,Northampton,0,18 24 17 - -,division_2,men,Alan Higgs Centre,Alex Iftime,Glynn Archibald
2024-2025,2024-10-26,Leeds Gorse,3,25 25 25 - -,Tamworth Spartans,0,15 15 21 - -,division_1,men,The Ruth Gorse Academy,Diane Hollows,Debra Smart
2024-2025,2024-10-26,Cambridge ARU,2,22 19 25 25 11,London Baks,3,25 25 19 23 15,division_1,men,North Cambridge Academy,Ryszard Dabrowski,Ian Cheesbrough
2024-2025,2024-10-26,Lincoln Cannons,2,25 19 25 23 7,Exeter Storm,3,20 25 18 25 15,division_1,men,Riseholme College (Showground Campus),Chris Tsui,Simon Cowie
2024-2025,2024-10-26,Newcastle Staffs,3,25 27 25 - -,Hull Thunder,0,14 25 20 - -,division_1,men,Sir Stanley Matthews Sports Centre,Joseph Gore,Bryan Machin
2024-2025,2024-10-26,London Aces,3,21 25 25 25 -,Bristol,1,25 19 20 23 -,division_1,men,Lambeth Academy,Anna Justkowska,Richard Burbedge
2024-2025,2024-10-26,Newcastle Staffs 2,0,24 23 21 - -,Kings of Court,3,26 25 25 - -,division_2,men,Sir Stanley Matthews Sports Centre,Joseph Gore,Bryan Machin
2024-2025,2024-10-26,Leicester,3,25 25 25 - -,Chester,0,0 0 0 - -,division_3,men,Redhill School Sports Hall,Daniel Mrowiec,Timothy Hebborn
2024-2025,2024-10-26,University of Nottingham,2,25 17 19 25 13,Durham Palatinates,3,14 25 25 16 15,superleague,men,David Ross Sports Village,William Perugini,Stephen Smith
2024-2025,2024-10-26,Stockport,0,12 25 21 - -,London Giants,3,25 27 25 - -,superleague,men,Life Leisure Brinnington Park,Lenny Barry,Sarah Hanrahan
2024-2025,2024-10-27,DARKSTAR Derbyshire 2,1,15 25 22 16 -,Nottingham Rockets,3,25 23 25 25 -,division_3,men,Belper Leisure Centre,Chris Tsui,
2024-2025,2024-10-27,Wombourne,3,25 25 25 - -,Wombourne 2,0,17 4 20 - -,division_3,men,Dudley Evolve,Sebastian Struski,Rose Sterling
2024-2025,2024-10-27,DARKSTAR Derbyshire 2,3,19 15 25 25 15,GNG Bedford,2,25 25 20 23 12,division_3,men,Belper Leisure Centre,Chris Tsui,
2024-2025,2024-10-27,Rhinos Volleyball Cambridge,3,25 25 23 25 -,Norwich Spikers,1,20 20 25 14 -,division_2,men,North Cambridge Academy,Maddie Vararu,Aliaksandr Siarheyeu
2024-2025,2024-10-27,Wombourne,3,25 21 25 25 -,Tamworth Spartans 2,1,18 25 16 13 -,division_3,men,Dudley Evolve,Sebastian Struski,Rose Sterling
2024-2025,2024-10-27,Nottingham Rockets,3,25 25 25 - -,GNG Bedford,0,13 18 19 - -,division_3,men,Belper Leisure Centre,,Chris Tsui
2024-2025,2024-10-27,Wombourne 2,1,15 25 15 15 -,Tamworth Spartans 2,3,25 22 25 25 -,division_3,men,Dudley Evolve,Rose Sterling,Sebastian Struski
2024-2025,2024-10-27,London Giants,3,27 25 25 - -,IBB Polonia London,0,25 19 11 - -,superleague,men,Clapham Leisure Centre,Patrick Koroma,Ryszard Dabrowski
2024-2025,2024-11-02,London Baks,3,25 25 25 - -,Cambridge ARU,0,11 20 23 - -,division_1,men,Castle Green Sport Centre,Giordano Marchi,Patrick Koroma
2024-2025,2024-11-02,London Aces,3,25 26 22 27 15,Black Country,2,23 28 25 25 7,division_1,men,Lambeth Academy,Ian Cheesbrough,Huaxi Liu
2024-2025,2024-11-03,Rhinos Volleyball Cambridge,3,25 25 21 25 -,Newmarket,1,18 23 25 19 -,division_2,men,Chesterton Sports Centre,Aliaksandr Siarheyeu,Glynn Archibald
2024-2025,2024-11-03,Newcastle Knights,0,24 21 22 - -,London Giants,3,26 25 25 - -,superleague,men,Northumbria University,Debra Smart,David Topacho
2024-2025,2024-11-09,GNG Bedford,3,25 25 25 - -,Wombourne 2,0,14 22 12 - -,division_3,men,Limehurst Academy,Ana Pal,Vitalijs Kondrasovs
2024-2025,2024-11-09,Leicester,3,25 25 25 - -,Wombourne 2,0,13 14 7 - -,division_3,men,Limehurst Academy,Vitalijs Kondrasovs,Ana Pal
2024-2025,2024-11-09,MK City,1,23 16 26 21 -,Rhinos Volleyball Cambridge,3,25 25 24 25 -,division_2,men,Glebe Farm School,Maddie Vararu,Dawid Blach
2024-2025,2024-11-09,Loughborough Students,3,21 25 25 24 15,Northampton,2,25 20 21 26 13,division_2,men,Parkin Sports Centre,Lauren Jingyi Goh,Jan Dobrzycki
2024-2025,2024-11-09,London Aces,2,25 23 19 25 11,Tamworth Spartans,3,16 25 25 23 15,division_1,men,Lambeth Academy,Giordano Marchi,Mark Trelfa
2024-2025,2024-11-09,Hull Thunder,0,22 21 24 - -,Lincoln Cannons,3,25 25 26 - -,division_1,men,Steve Prescott Sports Centre,Diane Hollows,Gabriela Pecovska
2024-2025,2024-11-09,Newcastle Staffs,3,25 25 25 - -,Cambridge ARU,0,15 19 20 - -,division_1,men,Sir Stanley Matthews Sports Centre,Kirat Thorat,Bee Yusuf
2024-2025,2024-11-09,Exeter Storm,3,25 25 21 25 -,Black Country,1,17 21 25 22 -,division_1,men,Riverside Leisure Centre,Neil Bentley,Francesca Bentley
2024-2025,2024-11-09,Norwich Spikers,3,25 25 28 - -,Coventry and Warwick Riga,0,19 16 26 - -,division_2,men,UEA Norwich Sportspark,Mac Yip,Cameron Lui
2024-2025,2024-11-09,Leicester,1,25 18 15 22 -,GNG Bedford,3,18 25 25 25 -,division_3,men,Limehurst Academy,Vitalijs Kondrasovs,Ana Pal
2024-2025,2024-11-09,University of Nottingham,3,25 25 25 - -,Richmond Docklands,0,15 16 22 - -,superleague,men,Jubilee Campus Sports Centre,William Perugini,John Boughton
2024-2025,2024-11-10,Essex Rebels,3,25 25 25 - -,London Giants,0,21 18 15 - -,superleague,men,Essex Sport Arena,Sebastian Widlarz,Giordano Marchi
2024-2025,2024-11-10,Black Country 2,0,23 12 23 - -,Nottingham Rockets,3,25 25 25 - -,division_3,men,Wilnecote Leisure Centre,Maddie Vararu,Alex Iftime
2024-2025,2024-11-10,Bristol,1,25 25 23 24 -,Black Country,3,27 23 25 26 -,division_1,men,Avanti Gardens School,Richard Parkes,Jayne Jones
2024-2025,2024-11-10,Tamworth Spartans 2,0,14 17 17 - -,Nottingham Rockets,3,25 25 25 - -,division_3,men,Wilnecote Leisure Centre,Alex Iftime,Maddie Vararu
2024-2025,2024-11-10,Tamworth Spartans 2,1,16 25 19 22 -,Black Country 2,3,25 22 25 25 -,division_3,men,Wilnecote Leisure Centre,Alex Iftime,Maddie Vararu
2024-2025,2024-11-10,Essex Blaze,0,22 24 23 - -,Durham Palatinates,3,25 26 25 - -,superleague,men,St John Payne School,Claudiu Florea,Ian Cheesbrough
2024-2025,2024-11-16,DARKSTAR Derbyshire,3,22 25 25 25 -,Harrogate,1,25 17 20 19 -,division_2,men,Derby University Sports Centre,Elia Gironacci,Gary Cross
2024-2025,2024-11-16,Black Country,3,25 25 26 - -,Hull Thunder,0,23 17 24 - -,division_1,men,Redhill School Sports Hall,William Perugini,Rose Sterling
2024-2025,2024-11-16,Exeter Storm,0,16 15 25 - -,Leeds Gorse,3,25 25 27 - -,division_1,men,Riverside Leisure Centre,Richard Parkes,Su Brennand
2024-2025,2024-11-16,Lincoln Cannons,3,25 25 19 25 -,London Baks,1,20 18 25 16 -,division_1,men,Riseholme College (Showground Campus),Stivan Kolev,Igors Maksimovs
2024-2025,2024-11-16,London Aces,3,25 25 25 - -,Cambridge ARU,0,21 16 20 - -,division_1,men,Lambeth Academy,Peter Parsons,Fiona Cotterill
2024-2025,2024-11-16,London Giants,0,22 22 16 - -,Essex Blaze,3,25 25 25 - -,superleague,men,Crystal Palace National Sports Centre,Ian Cheesbrough,Giordano Marchi
2024-2025,2024-11-16,Stockport,1,19 26 25 18 -,Richmond Docklands,3,25 24 27 25 -,superleague,men,Life Leisure Brinnington Park,Lenny Barry,Bryan Youlden
2024-2025,2024-11-17,Hounslow,3,25 25 25 - -,Richmond Bucks,0,17 21 23 - -,division_2,men,Lampton School,Ian Cheesbrough,Anna Justkowska
