season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2005-2006,2005-09-17,Leeds Gorse,3,25 25 25 - -,Cambridge ARU,0,18 19 10 - -,division_2,women,unknown,unknown,unknown
2005-2006,2005-09-24,Team SideOut Polonia (London),3,25 18 25 25 0,Malory Eagles UEL,1,14 25 22 20 0,division_1,women,St Benedicts School,unknown,unknown
2005-2006,2005-09-25,City of Bristol,3,25 25 25 - -,Southampton,0,20 15 17 - -,division_3,women,Talacre Community Sports Centre,unknown,unknown
2005-2006,2005-09-25,Plymouth,3,25 25 24 25 0,Southampton 2,1,13 13 26 14 0,division_3,women,Coombe Dean School,unknown,unknown
2005-2006,2005-09-25,Northampton,3,25 28 25 - -,Coventry & Warwick Riga,0,23 26 18 - -,division_3,women,Moulton Leisure Centre,unknown,unknown
2005-2006,2005-10-08,Ashcombe Dorking,3,25 25 25 - -,Herts,0,19 12 13 - -,division_2,women,unknown,unknown,unknown
2005-2006,2005-10-08,Loughborough Students,3,25 25 25 - -,Team SideOut Polonia (London),0,22 21 14 - -,division_1,women,unknown,unknown,unknown
2005-2006,2005-10-08,Reading Aces,1,25 21 16 22 0,Cambridge ARU,3,8 25 25 25 0,division_2,women,Loddon Valley Leisure Centre,unknown,unknown
2005-2006,2005-10-09,Guildford International,3,19 25 25 25 0,Cambridge ARU,1,25 14 23 21 0,division_2,women,unknown,unknown,unknown
2005-2006,2005-10-16,Newmarket,3,25 25 25 - -,Coventry & Warwick Riga 2,0,20 19 19 - -,cup,men,unknown,unknown,unknown
2005-2006,2005-10-16,Southampton 2,3,25 25 25 - -,City of Bristol,0,16 22 21 - -,division_3,women,Sholing Technology College,unknown,unknown
2005-2006,2005-10-22,Malory Eagles UEL,3,25 25 25 - -,Portsmouth,0,20 14 16 - -,division_1,women,Brunel University Osterley Campus,unknown,unknown
2005-2006,2005-10-22,Leeds Gorse,3,25 25 25 - -,Herts,0,16 21 18 - -,division_2,women,unknown,unknown,unknown
2005-2006,2005-10-23,Reading Aces,1,6 25 22 17 0,Guildford International,3,25 22 25 25 0,division_2,women,Kendrick School,unknown,unknown
2005-2006,2005-10-30,Plymouth,3,25 25 25 - -,Southampton,0,18 21 8 - -,division_3,women,Whitechapel S.C.,unknown,unknown
2005-2006,2005-10-30,Coventry & Warwick Riga,0,20 16 18 - -,Northampton,3,25 25 25 - -,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2005-2006,2005-11-06,Herts,3,20 25 25 23 15,Cambridge ARU,2,25 22 19 25 13,division_2,women,Francis Bacon Sports Centre,unknown,unknown
2005-2006,2005-11-12,City of Bristol,0,10 6 18 - -,Team SideOut Polonia (London),3,25 25 25 - -,cup,women,unknown,unknown,unknown
2005-2006,2005-11-12,Nottingham Rockets,0,7 14 12 - -,Richmond Docklands,3,25 25 25 - -,cup,men,unknown,unknown,unknown
2005-2006,2005-11-12,Essex Blaze,2,26 25 18 16 9,Coventry and Warwick Riga,3,24 22 25 25 15,cup,men,unknown,unknown,unknown
2005-2006,2005-11-12,Southampton,0,0 0 0 - -,IBB Polonia London,3,25 25 25 - -,cup,men,unknown,unknown,unknown
2005-2006,2005-11-12,Reading Aces,3,20 25 26 25 0,Herts,1,25 19 24 20 0,cup,women,unknown,unknown,unknown
2005-2006,2005-11-13,Ashcombe Dorking,0,22 15 21 - -,Reading Aces,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2005-2006,2005-11-13,Plymouth,0,11 10 21 - -,Ashcombe Dorking,3,25 25 25 - -,cup,women,unknown,unknown,unknown
2005-2006,2005-11-13,Portsmouth,3,25 22 25 25 0,Loughborough Students,1,22 25 9 23 0,division_1,women,Milton Cross School,unknown,unknown
2005-2006,2005-11-20,Guildford International,0,13 14 10 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2005-2006,2005-11-26,Cambridge ARU,3,25 15 25 25 16,Leeds Gorse,2,17 25 22 27 14,division_2,women,Chesterton Sports Centre,unknown,unknown
2005-2006,2005-11-26,Team SideOut Polonia (London),3,25 25 25 - -,Portsmouth,0,23 21 18 - -,division_1,women,St Benedicts School,unknown,unknown
2005-2006,2005-11-27,City of Bristol,3,25 25 25 - -,Southampton 2,0,21 16 15 - -,division_3,women,University of Bristol,unknown,unknown
2005-2006,2005-12-03,Leeds Gorse,1,19 18 25 21 0,Ashcombe Dorking,3,25 25 21 25 0,division_2,women,unknown,unknown,unknown
2005-2006,2005-12-03,Herts,3,25 24 28 27 0,Guildford International,1,23 26 26 25 0,division_2,women,Francis Bacon Sports Centre,unknown,unknown
2005-2006,2005-12-04,Herts,0,19 10 19 - -,Reading Aces,3,25 25 25 - -,division_2,women,Francis Bacon Sports Centre,unknown,unknown
2005-2006,2005-12-10,Loughborough Students,0,17 24 19 - -,Portsmouth,3,25 26 25 - -,division_1,women,unknown,unknown,unknown
2005-2006,2005-12-11,Plymouth,3,25 25 25 - -,Southampton,0,19 15 17 - -,division_3,women,Coombe Dean School,unknown,unknown
2005-2006,2005-12-11,Nottingham Rockets,0,21 24 15 - -,Cambridge ARU,3,25 26 25 - -,shield,men,unknown,unknown,unknown
2005-2006,2005-12-11,Plymouth,3,15 25 16 25 15,City of Bristol,2,25 23 25 21 7,division_3,women,Coombe Dean School,unknown,unknown
2005-2006,2005-12-11,Southampton,0,24 16 22 - -,City of Bristol,3,26 25 25 - -,division_3,women,Coombe Dean School,unknown,unknown
2005-2006,2006-01-14,Team SideOut Polonia (London),3,25 25 17 13 15,Loughborough Students,2,18 17 25 25 7,division_1,women,St Benedicts School,unknown,unknown
2005-2006,2006-01-15,Loughborough Students,1,25 24 24 9 0,Malory Eagles UEL,3,14 26 26 25 0,division_1,women,unknown,unknown,unknown
2005-2006,2006-01-15,Southampton 2,2,25 25 26 25 9,Plymouth,3,20 23 28 27 15,division_3,women,Sholing Technology College,unknown,unknown
2005-2006,2006-01-22,Guildford International,0,16 17 23 - -,Malory Eagles UEL,3,25 25 25 - -,cup,women,unknown,unknown,unknown
2005-2006,2006-01-22,Loughborough Students,3,25 25 23 25 0,Newcastle Staffs,1,4 12 25 10 0,cup,women,unknown,unknown,unknown
2005-2006,2006-01-22,Southampton,3,25 25 20 25 0,South Hants,1,22 11 25 22 0,shield,men,unknown,unknown,unknown
2005-2006,2006-01-22,Team SideOut Polonia (London),3,25 25 25 - -,Leeds Gorse,0,19 18 14 - -,cup,women,unknown,unknown,unknown
2005-2006,2006-01-29,Herts,0,21 28 17 - -,Leeds Gorse,3,25 30 25 - -,division_2,women,Francis Bacon Sports Centre,unknown,unknown
2005-2006,2006-01-29,Guildford International,3,16 25 16 25 15,Reading Aces,2,25 14 25 18 12,division_2,women,unknown,unknown,unknown
2005-2006,2006-02-11,Coventry and Warwick Riga,3,25 23 25 25 0,Newcastle Staffs,1,12 25 18 22 0,cup,men,unknown,unknown,unknown
2005-2006,2006-02-11,Loughborough Students,3,25 25 24 25 0,Cambridge ARU,1,17 23 26 17 0,shield,men,unknown,unknown,unknown
2005-2006,2006-02-19,Portsmouth,1,25 18 20 22 0,Malory Eagles UEL,3,14 25 25 25 0,division_1,women,Milton Cross School,unknown,unknown
2005-2006,2006-02-19,Southampton 2,3,25 14 25 25 0,Southampton,1,22 25 19 16 0,division_3,women,St Swithins School,unknown,unknown
2005-2006,2006-02-25,Guildford International,3,27 14 25 25 0,Leeds Gorse,1,25 25 17 16 0,division_2,women,unknown,unknown,unknown
2005-2006,2006-02-26,Reading Aces,0,22 16 22 - -,Leeds Gorse,3,25 25 25 - -,division_2,women,Kendrick School,unknown,unknown
