season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2014-2015,2014-09-20,Dartford Crossers,3,25 25 25 - -,City of Bristol,0,16 23 12 - -,division_2,men,Dartford Technology College,unknown,unknown
2014-2015,2014-09-20,Team SideOut Polonia (London),3,25 25 25 - -,Malory Eagles UEL,0,23 15 15 - -,superleague,women,St Benedicts School,unknown,unknown
2014-2015,2014-09-21,Southampton 2,3,17 25 25 25 0,Ashcombe Dorking 2,1,25 14 19 11 0,division_3,women,Woodlands Community School,unknown,unknown
2014-2015,2014-09-27,Malory Eagles UEL,3,25 21 25 23 16,Team South Wales,2,22 25 17 25 14,superleague,women,Ernest Bevin College,unknown,unknown
2014-2015,2014-09-27,Black Country,0,7 15 19 - -,Coventry & Warwick Riga,3,25 25 25 - -,division_2,women,Redhill School Sports Hall,unknown,unknown
2014-2015,2014-09-27,Black Country,0,8 11 8 - -,Durham Palatinates,3,25 25 25 - -,division_2,women,Redhill School Sports Hall,unknown,unknown
2014-2015,2014-09-27,Malory Eagles UEL,3,25 25 25 - -,Southampton,0,22 13 23 - -,superleague,men,Ernest Bevin College,unknown,unknown
2014-2015,2014-09-27,Manchester Marvels,3,25 25 25 27 0,Team Sunderland,1,22 27 18 25 0,division_2,men,Sugden Sports Centre,unknown,unknown
2014-2015,2014-09-27,Richmond Bucks,0,11 14 23 - -,London Aces,3,25 25 25 - -,division_3,men,Boswells School,unknown,unknown
2014-2015,2014-09-28,Newmarket,3,25 25 23 25 0,Essex Rebels,1,20 16 25 19 0,division_3,men,Newmarket Leisure Centre,unknown,unknown
2014-2015,2014-10-04,Essex Rebels,2,14 25 26 15 12,Richmond Bucks,3,25 21 24 25 15,division_3,men,Tendring Technology College,unknown,unknown
2014-2015,2014-10-04,Newcastle Staffs,3,25 22 20 25 15,Leeds Gorse,2,19 25 25 19 11,division_1,men,Keele University Sports Centre,unknown,unknown
2014-2015,2014-10-04,Nottingham Rockets,0,16 17 23 - -,Manchester Marvels,3,25 25 25 - -,division_2,men,Jubilee Sports Centre,unknown,unknown
2014-2015,2014-10-04,Team Sunderland,0,20 20 24 - -,Essex Estonians,3,25 25 26 - -,division_2,men,Sunderland University (Cityspace),unknown,unknown
2014-2015,2014-10-04,Newcastle Staffs,3,23 25 25 25 0,Leeds Gorse,1,25 22 9 14 0,division_2,women,Keele University Sports Centre,unknown,unknown
2014-2015,2014-10-04,Nottingham Rockets,1,18 22 25 21 0,Manchester Marvels Mystics,3,25 25 13 25 0,division_2,women,Jubilee Sports Centre,unknown,unknown
2014-2015,2014-10-05,DARKSTAR Derbyshire,3,25 13 25 25 0,Team Sunderland,1,12 25 15 11 0,division_3,women,Fit City Eccles,unknown,unknown
