season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2021-2022,2021-09-11,00:00,,Invicta Volleyball Men,3,23 25 25 30 0,Chelmsford,1,25 18 17 28 0,cup,men,University of Kent Sports Centre,unknown,unknown
2021-2022,2021-09-11,00:00,,Kings of Court Boston 1,0,23 21 18 - -,Royal Navy,3,25 25 25 - -,cup,men,Peter Paine Performance Centre,unknown,unknown
2021-2022,2021-09-11,00:00,,London Wildcats,3,25 25 25 - -,Wimbledon Wolves (London),0,16 17 20 - -,cup,men,Bacons S.C.,unknown,unknown
2021-2022,2021-09-11,00:00,,Manchester Moss Side,3,25 16 27 25 0,Volleyball Isle of Man 1,1,17 25 25 14 0,cup,men,Egham S.C.,unknown,unknown
2021-2022,2021-09-12,00:00,,Spelthorne Lions 1,3,25 25 25 - -,Worthing 2,0,18 13 14 - -,cup,men,Egham S.C.,unknown,unknown
2021-2022,2021-09-25,00:00,,Black Country,3,12 25 25 22 15,Wombourne 1,2,25 23 16 25 10,cup,men,,unknown,unknown
2021-2022,2021-09-25,00:00,,Bristol,1,14 17 25 23 0,Weymouth 2,3,25 25 20 25 0,cup,men,Avanti Gardens School,unknown,unknown
2021-2022,2021-09-25,00:00,,Guildford International,3,27 25 25 - -,Spelthorne Lions 1,0,25 17 18 - -,cup,men,,unknown,unknown
2021-2022,2021-09-25,00:00,,London Aces,3,25 25 18 25 0,London Wildcats,1,17 16 25 16 0,cup,men,,unknown,unknown
2021-2022,2021-09-25,00:00,,Loughborough Students,0,23 16 15 - -,Coventry and Warwick Riga,3,25 25 25 - -,cup,men,Loughborough University Netball Centre,unknown,unknown
2021-2022,2021-09-25,00:00,,Manchester Moss Side,0,8 13 25 - -,Manchester Marvels,3,25 25 27 - -,cup,men,Trinity Sports Centre,unknown,unknown
2021-2022,2021-09-25,00:00,,Newcastle Staffs 2,3,25 25 25 - -,Manchester Marvels Marauders,0,20 18 22 - -,cup,men,Madeley High School,unknown,unknown
2021-2022,2021-09-25,00:00,,Rhinos Volleyball Cambridge,1,20 20 25 23 0,Newmarket,3,25 25 18 25 0,cup,men,Chesterton Sports Centre,unknown,unknown
2021-2022,2021-09-25,00:00,,Royal Navy,3,25 25 25 - -,Lincoln Cannons,0,0 0 0 - -,cup,men,,unknown,unknown
2021-2022,2021-09-25,00:00,,South Hants,0,18 17 15 - -,Weymouth Volleyball Club,3,25 25 25 - -,cup,men,Cams Hill School,unknown,unknown
2021-2022,2021-09-25,00:00,,Stockport,3,25 25 25 - -,Liverpool,0,8 17 20 - -,cup,men,,unknown,unknown
2021-2022,2021-09-25,00:00,,The Miners Doncaster,3,25 25 25 - -,Darkstar Derbyshire 2,0,0 0 0 - -,cup,women,Campsmount Academy,unknown,unknown
2021-2022,2021-09-25,00:00,,University of Nottingham,3,25 25 25 - -,Nottingham Rockets,0,15 19 12 - -,cup,men,David Ross Sports Village,unknown,unknown
2021-2022,2021-09-25,00:00,,Urbond VC Portsmouth,1,16 25 23 22 0,Army,3,25 18 25 25 0,cup,men,Mountbatten Leisure Centre,unknown,unknown
2021-2022,2021-09-26,00:00,,De Montfort University,0,21 14 21 - -,Black Country,3,25 25 25 - -,cup,women,The Queen Elizabeth II Diamond Jubilee Leisure Centre,unknown,unknown
2021-2022,2021-09-26,00:00,,Everton Belugas,3,25 25 25 - -,Volleyball Isle of Man,0,15 8 12 - -,cup,women,Litherland High School,unknown,unknown
2021-2022,2021-09-26,00:00,,Hull Thunder,3,27 25 24 24 15,Leeds Gorse 2,2,25 22 26 26 8,cup,men,Steve Prescott Sports Centre,unknown,unknown
2021-2022,2021-09-26,00:00,,Hull Thunder,3,28 25 25 - -,Lincoln Cannons,0,26 21 20 - -,cup,women,Steve Prescott Sports Centre,unknown,unknown
2021-2022,2021-09-26,00:00,,Leeds Beckett University,0,19 13 17 - -,Leeds Gorse 2,3,25 25 25 - -,cup,women,,unknown,unknown
2021-2022,2021-09-26,00:00,,Manchester Moss Side Jaguars,1,14 25 21 20 0,Manchester Marvels Mayhem,3,25 16 25 25 0,cup,women,Trinity Sports Centre,unknown,unknown
2021-2022,2021-09-26,00:00,,Nottingham Rockets,0,10 19 16 - -,Leicester Athena Phoenix,3,25 25 25 - -,cup,women,Harvey Hadden Sports Complex,unknown,unknown
2021-2022,2021-09-26,00:00,,Onyx London,3,25 22 25 25 0,Invicta,1,21 25 20 19 0,cup,women,Kensington Aldridge Academy,unknown,unknown
