season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2013-2014,2013-10-20,Coventry & Warwick Riga,3,25 25 24 25 0,Black Country,1,21 9 26 11 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-26,Ashcombe Dorking,0,21 14 19 - -,Team SideOut Polonia (London),3,25 25 25 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-10-26,Coventry and Warwick Riga,3,24 17 25 25 16,Sheffield,2,26 25 23 17 14,superleague,men,Alan Higgs Centre,unknown,unknown
2013-2014,2013-10-26,Newcastle Staffs,3,25 25 25 - -,Black Country,0,23 20 19 - -,division_1,men,unknown,unknown,unknown
2013-2014,2013-10-26,Nottingham Rockets,3,25 25 7 25 0,Manchester Marvels,1,20 14 25 15 0,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-26,Southampton,3,22 25 19 27 15,IBB Polonia London,2,25 19 25 25 7,superleague,men,unknown,unknown,unknown
2013-2014,2013-10-26,Nottingham Rockets,3,25 25 20 22 15,Loughborough Students,2,20 18 25 25 7,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-27,Southampton,1,12 25 11 24 0,Sussex Dolphins 1,3,25 23 25 26 0,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-27,DARKSTAR Derbyshire,3,25 25 25 - -,Norwich Spikers,0,20 12 22 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-27,Coventry & Warwick Riga,3,25 28 25 - -,Manchester Marvels Mystics,0,23 26 10 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-27,Northampton,1,18 25 21 9 0,Nottingham Rockets,3,25 20 25 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-27,Black Country,1,25 16 21 18 0,Manchester Marvels Mystics,3,17 25 25 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-27,Black Country,0,20 21 16 - -,Coventry & Warwick Riga,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-27,Loughborough Students,0,15 17 23 - -,Leeds Gorse,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-27,Reading Aces,0,14 20 10 - -,London Inter Orcas,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-10-27,Loughborough Students,3,25 25 13 28 0,Leeds Gorse,1,22 23 25 26 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-02,Leeds Gorse,2,26 26 21 24 15,Nottingham Rockets,3,24 24 25 26 17,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-02,Malory Eagles UEL,3,25 25 25 - -,Bristol,0,0 0 0 - -,cup,men,unknown,unknown,unknown
2013-2014,2013-11-02,Richmond Docklands,3,25 25 25 - -,Dartford Crossers,0,15 23 12 - -,cup,men,unknown,unknown,unknown
2013-2014,2013-11-02,Team Sunderland,3,25 19 25 28 0,Loughborough Students,1,15 25 19 26 0,cup,men,unknown,unknown,unknown
2013-2014,2013-11-02,York Vikings,0,0 19 23 - -,Coventry and Warwick Riga,3,25 25 25 - -,cup,men,unknown,unknown,unknown
2013-2014,2013-11-03,Durham Palatinates,3,25 25 25 - -,Loughborough Students,0,13 16 13 - -,cup,women,unknown,unknown,unknown
2013-2014,2013-11-03,Dartford Chargers,2,25 22 25 24 13,Essex Trinity,3,23 25 19 26 15,cup,women,unknown,unknown,unknown
2013-2014,2013-11-03,Coventry & Warwick Riga,0,11 17 22 - -,DARKSTAR Derbyshire,3,25 25 25 - -,cup,women,unknown,unknown,unknown
2013-2014,2013-11-03,Ashcombe Dorking,3,25 25 25 - -,Essex Rebels,0,22 20 18 - -,cup,women,unknown,unknown,unknown
2013-2014,2013-11-03,Exeter Storm,3,25 25 25 - -,Wiltshire Mavericks,0,21 15 15 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-11-03,York Vikings,3,25 25 23 25 0,DARKSTAR Derbyshire,1,20 13 25 21 0,division_3,men,unknown,unknown,unknown
2013-2014,2013-11-03,Team South Wales,3,25 25 27 - -,Bristol 2,0,10 17 25 - -,cup,women,unknown,unknown,unknown
2013-2014,2013-11-09,Cambridge ARU,0,17 17 20 - -,Leeds Gorse,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-09,Bristol,3,25 25 25 - -,Herts,0,15 21 18 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-11-09,Northumbria University,3,25 25 25 - -,Southampton,0,14 15 20 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-10,Sheffield,3,25 25 25 - -,Southampton,0,11 18 17 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-10,Guildford International,3,25 25 25 - -,Dartford Chargers,0,21 15 20 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-16,IBB Polonia London,3,25 25 25 - -,Malory Eagles UEL,0,22 23 15 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-16,Leeds Gorse,1,22 14 25 19 0,Nottingham Rockets,3,25 25 22 25 0,division_2,men,unknown,unknown,unknown
2013-2014,2013-11-16,Richmond Docklands,3,25 25 25 - -,City of Bristol,0,16 17 23 - -,division_1,men,unknown,unknown,unknown
2013-2014,2013-11-16,Team Sunderland,3,25 21 25 15 15,Loughborough Students,2,21 25 12 25 8,division_2,men,unknown,unknown,unknown
2013-2014,2013-11-16,Newcastle Staffs,0,22 13 25 - -,Bristol,3,25 25 27 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-11-16,Leeds Gorse,3,25 25 25 - -,Black Country,0,19 22 23 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-16,Nottingham Rockets,0,13 21 23 - -,Manchester Marvels Mystics,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-16,Team SideOut Polonia (London),3,25 25 22 25 0,Malory Eagles UEL,1,23 12 25 23 0,superleague,women,unknown,unknown,unknown
2013-2014,2013-11-17,Ashcombe Dorking,0,10 13 10 - -,Northumbria University,3,25 25 25 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-11-17,Southampton 2,0,13 17 15 - -,Sussex Dolphins 1,3,25 25 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-17,Durham Palatinates,3,25 25 25 - -,Team Sunderland,0,9 16 15 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-17,DARKSTAR Derbyshire,3,25 25 25 - -,Norwich Spikers,0,18 22 20 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-17,Cambridge ARU,0,7 14 22 - -,Coventry & Warwick Riga,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-17,Cambridge ARU,2,18 22 25 25 7,Nottingham Rockets,3,25 25 22 20 15,division_2,men,unknown,unknown,unknown
2013-2014,2013-11-17,Southampton,0,16 24 17 - -,Northumbria University,3,25 26 25 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-17,Portsmouth,2,21 25 27 25 12,Herts,3,25 21 29 18 15,division_1,women,unknown,unknown,unknown
2013-2014,2013-11-17,Guildford International,0,24 16 22 - -,Essex Rebels,3,26 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-17,Wessex,3,25 25 25 - -,Southampton,0,14 15 17 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-17,Sussex Dolphins 1,2,23 14 25 25 12,Bristol 2,3,25 25 17 23 15,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-17,Southampton 2,3,25 25 25 - -,Bristol 2,0,22 18 17 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-23,Newcastle Staffs,2,25 19 19 25 10,Richmond Docklands,3,23 25 25 23 15,division_1,men,unknown,unknown,unknown
2013-2014,2013-11-23,Newcastle Staffs 2,0,21 21 16 - -,Leeds Gorse,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-11-23,Northumbria University,3,25 25 25 - -,Malory Eagles UEL,0,21 17 22 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-23,Sheffield,2,22 23 25 25 13,IBB Polonia London,3,25 25 23 16 15,superleague,men,unknown,unknown,unknown
2013-2014,2013-11-23,Northumbria University,3,25 25 25 - -,Malory Eagles UEL,0,10 13 21 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-11-24,Dartford Chargers,1,25 20 13 24 0,Essex Trinity,3,22 25 25 26 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-24,Coventry & Warwick Riga,3,25 25 25 - -,Leeds Gorse,0,12 22 20 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-24,Loughborough Students,3,25 25 25 - -,Nottingham Rockets,0,18 19 21 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-24,Newcastle Staffs,3,18 25 23 27 15,Portsmouth,2,25 23 25 25 9,division_1,women,unknown,unknown,unknown
2013-2014,2013-11-24,Newmarket,3,25 25 25 - -,MK City,0,16 22 23 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-11-24,Norwich Spikers,3,25 25 25 - -,Essex Rebels,0,0 0 0 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-11-24,Reading Aces,2,25 16 25 22 11,Bristol,3,23 25 22 25 15,division_1,women,unknown,unknown,unknown
2013-2014,2013-11-24,Northampton,1,9 17 25 21 0,Black Country,3,25 25 22 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-11-30,Sussex Dolphins 1,2,21 25 26 23 8,Wessex,3,25 21 24 25 15,division_3,women,unknown,unknown,unknown
2013-2014,2013-11-30,DARKSTAR Derbyshire,3,25 25 25 - -,Newmarket,0,20 21 21 - -,shield,men,unknown,unknown,unknown
2013-2014,2013-11-30,Newcastle Staffs,0,18 20 26 - -,Sheffield,3,25 25 28 - -,cup,men,Keele University Sports Centre,unknown,unknown
2013-2014,2013-11-30,Team Sunderland,0,15 16 16 - -,Northumbria University,3,25 25 25 - -,cup,men,unknown,unknown,unknown
2013-2014,2013-11-30,Wiltshire Mavericks,0,18 17 13 - -,Dartford Crossers,3,25 25 25 - -,shield,men,Lavington School,unknown,unknown
2013-2014,2013-12-01,London Inter Orcas,3,17 19 25 28 15,Malory Eagles UEL,2,25 25 22 26 13,cup,women,unknown,unknown,unknown
2013-2014,2013-12-01,Nottingham Rockets,3,25 25 17 20 15,Team Sunderland,2,15 13 25 25 5,division_2,men,unknown,unknown,unknown
2013-2014,2013-12-01,York Vikings,3,26 25 25 - -,Stowmarket,0,24 17 21 - -,shield,men,York College,unknown,unknown
2013-2014,2013-12-01,DARKSTAR Derbyshire,2,25 25 20 18 14,Ashcombe Dorking,3,23 18 25 25 16,cup,women,Derbyshire Volleyball Centre (Derby Moor),unknown,unknown
2013-2014,2013-12-01,Northumbria University,3,25 23 25 25 0,Durham Palatinates,1,22 25 17 17 0,cup,women,unknown,unknown,unknown
2013-2014,2013-12-07,Essex Trinity,3,25 25 25 - -,Richmond 2,0,17 19 15 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-07,Black Country,3,25 25 25 - -,Loughborough Students,0,13 19 18 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-07,Coventry and Warwick Riga,2,16 17 25 25 5,Malory Eagles UEL,3,25 25 21 22 15,superleague,men,unknown,unknown,unknown
2013-2014,2013-12-07,IBB Polonia London,0,23 22 18 - -,Northumbria University,3,25 25 25 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-12-07,Cambridge ARU,0,0 0 21 - -,Manchester Marvels,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-12-07,Newcastle Staffs 2,3,22 25 25 25 0,Loughborough Students,1,25 17 20 20 0,division_2,men,unknown,unknown,unknown
2013-2014,2013-12-07,Leeds Gorse,3,25 25 25 - -,Cambridge ARU,0,17 15 20 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-07,Team South Wales,1,10 25 23 12 0,Malory Eagles UEL,3,25 20 25 25 0,superleague,women,unknown,unknown,unknown
2013-2014,2013-12-07,Team SideOut Polonia (London),0,24 14 21 - -,Northumbria University,3,26 25 25 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-12-08,Malory Eagles UEL,1,15 30 14 29 0,Northumbria University,3,25 28 25 31 0,superleague,women,unknown,unknown,unknown
2013-2014,2013-12-08,Bristol 2,3,25 20 18 25 15,Southampton,2,20 25 25 15 3,division_3,women,unknown,unknown,unknown
2013-2014,2013-12-08,Bristol 2,3,30 25 25 - -,City of Bristol,0,28 20 17 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-12-08,Ashfield Vipers,0,16 10 8 - -,Norwich Spikers,3,25 25 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-12-08,Guildford International,3,25 23 25 25 0,Plymouth,1,21 25 17 13 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-08,Coventry & Warwick Riga,3,25 25 19 25 0,Nottingham Rockets,1,12 18 25 22 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-08,Malory Eagles UEL,0,18 25 20 - -,Northumbria University,3,25 27 25 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-12-08,Richmond Docklands,3,25 25 25 - -,Newcastle Staffs,0,16 13 13 - -,division_1,men,unknown,unknown,unknown
2013-2014,2013-12-08,Northampton,0,15 20 17 - -,Loughborough Students,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-08,Southampton,0,17 15 21 - -,City of Bristol,3,25 25 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-12-14,Northumbria University,3,25 25 25 - -,Team South Wales,0,14 15 16 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-12-14,Leeds Gorse,3,25 25 25 - -,Northampton,0,16 19 23 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-14,Malory Eagles UEL,2,25 25 23 18 9,Southampton,3,23 22 25 25 15,superleague,men,unknown,unknown,unknown
2013-2014,2013-12-14,Leeds Gorse,3,25 25 25 - -,Team Sunderland,0,17 15 16 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-12-14,Northumbria University,3,25 25 25 - -,Coventry and Warwick Riga,0,20 20 18 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-12-14,Nottingham Rockets,2,25 25 16 27 11,Cambridge ARU,3,23 19 25 29 15,division_2,women,unknown,unknown,unknown
2013-2014,2013-12-14,Malory Eagles UEL,3,25 25 25 - -,Ashcombe Dorking,0,11 11 12 - -,superleague,women,unknown,unknown,unknown
2013-2014,2014-01-04,Leeds Gorse,3,25 25 25 - -,Loughborough Students,0,14 10 10 - -,division_2,men,unknown,unknown,unknown
2013-2014,2014-01-04,City of Bristol,3,25 26 25 21 15,Newcastle Staffs,2,20 28 18 25 10,division_1,men,unknown,unknown,unknown
2013-2014,2014-01-04,Reading Aces,3,25 25 14 25 0,Newcastle Staffs,1,16 19 25 23 0,division_1,women,unknown,unknown,unknown
2013-2014,2014-01-04,Manchester Marvels Mystics,3,23 25 25 25 0,Loughborough Students,1,25 20 19 21 0,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-04,Nottingham Rockets,0,14 5 0 - -,Coventry & Warwick Riga,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-05,London Inter Orcas,3,25 25 25 - -,Newcastle Staffs,0,17 9 19 - -,division_1,women,unknown,unknown,unknown
2013-2014,2014-01-05,Dartford Crossers,3,25 25 25 - -,Norwich Spikers,0,12 20 14 - -,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-05,Wiltshire Mavericks,0,13 12 22 - -,Exeter Storm,3,25 25 25 - -,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-11,Essex Rebels,3,25 25 25 - -,Guildford International,0,18 19 14 - -,shield,women,unknown,unknown,unknown
2013-2014,2014-01-11,Loughborough Students,3,25 25 25 - -,Northampton,0,11 16 17 - -,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-11,Dartford Crossers,2,25 25 23 19 10,London Aces,3,17 15 25 25 15,shield,men,unknown,unknown,unknown
2013-2014,2014-01-11,Loughborough Students,3,25 25 21 25 0,Cambridge ARU,1,12 22 25 22 0,division_2,men,unknown,unknown,unknown
2013-2014,2014-01-12,Portsmouth,3,25 25 25 - -,Reading Aces,0,23 14 19 - -,division_1,women,unknown,unknown,unknown
2013-2014,2014-01-12,MK City,3,25 25 25 - -,Norwich Spikers,0,14 17 14 - -,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-12,Essex Rebels,2,14 21 25 25 12,Newmarket,3,25 25 21 23 15,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-12,Newmarket,1,15 25 23 24 0,Dartford Crossers,3,25 13 25 26 0,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-12,Essex Rebels,0,23 11 15 - -,Dartford Crossers,3,25 25 25 - -,division_3,men,unknown,unknown,unknown
2013-2014,2014-01-12,Southampton 2,0,0 0 0 - -,Dartford Chargers,3,25 25 25 - -,shield,women,unknown,unknown,unknown
2013-2014,2014-01-18,Team SideOut Polonia (London),3,25 25 25 - -,Team South Wales,0,15 23 21 - -,superleague,women,unknown,unknown,unknown
2013-2014,2014-01-18,Cambridge ARU,0,16 23 21 - -,Nottingham Rockets,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-18,Malory Eagles UEL,2,25 25 14 22 5,Sheffield,3,21 20 25 25 15,superleague,men,unknown,unknown,unknown
2013-2014,2014-01-18,Cambridge ARU,2,13 25 25 16 13,Team Sunderland,3,25 21 16 25 15,division_2,men,unknown,unknown,unknown
2013-2014,2014-01-18,Richmond Docklands,3,25 27 25 - -,Essex Blaze,0,23 25 19 - -,division_1,men,unknown,unknown,unknown
2013-2014,2014-01-18,Nottingham Rockets,1,14 25 20 21 0,Leeds Gorse,3,25 21 25 25 0,division_2,men,unknown,unknown,unknown
2013-2014,2014-01-18,IBB Polonia London,3,25 27 18 25 0,Coventry and Warwick Riga,1,18 25 25 15 0,superleague,men,unknown,unknown,unknown
2013-2014,2014-01-19,Bristol 2,1,25 19 22 14 0,Wessex,3,23 25 25 25 0,division_3,women,unknown,unknown,unknown
2013-2014,2014-01-19,City of Bristol,3,25 25 18 28 17,Sussex Dolphins 1,2,15 15 25 30 15,division_3,women,unknown,unknown,unknown
2013-2014,2014-01-19,Southampton,1,25 24 23 22 0,Southampton 2,3,22 26 25 25 0,division_3,women,unknown,unknown,unknown
2013-2014,2014-01-19,Dartford Chargers,1,18 22 25 23 0,Guildford International,3,25 25 23 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-19,DARKSTAR Derbyshire,3,25 25 25 - -,Cambridge ARU,0,17 11 18 - -,shield,men,unknown,unknown,unknown
2013-2014,2014-01-19,Herts,2,25 12 25 13 11,Bristol,3,18 25 21 25 15,division_1,women,unknown,unknown,unknown
2013-2014,2014-01-19,Plymouth,0,14 18 15 - -,Essex Rebels,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-19,Norwich Spikers,0,19 24 19 - -,DARKSTAR Derbyshire,3,25 26 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2014-01-20,Essex Trinity,0,23 13 19 - -,Essex Rebels,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2014-01-25,Ashcombe Dorking,1,14 25 21 15 0,Team South Wales,3,25 22 25 25 0,superleague,women,unknown,unknown,unknown
2013-2014,2014-01-25,Bristol,3,25 25 25 - -,Portsmouth,0,14 20 22 - -,division_1,women,unknown,unknown,unknown
2013-2014,2014-01-25,Coventry and Warwick Riga,2,25 19 25 23 10,Southampton,3,16 25 23 25 15,superleague,men,unknown,unknown,unknown
