season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2013-2014,2013-09-14,Manchester Marvels Mystics,3,25 25 25 25 0,Northampton,1,17 27 22 16 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-09-14,Manchester Marvels,3,25 16 25 25 0,Team Sunderland,1,19 25 11 13 0,division_2,men,unknown,unknown,unknown
2013-2014,2013-09-14,Richmond 2,3,25 25 25 - -,Guildford International,0,23 17 10 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-09-15,Portsmouth,0,18 14 18 - -,London Inter Orcas,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-09-21,Newcastle Staffs,3,25 21 13 25 15,Essex Blaze,2,23 25 25 22 10,division_1,men,Chadwell Heath School,unknown,unknown
2013-2014,2013-09-21,Manchester Marvels Mystics,1,20 25 23 19 0,Black Country,3,25 18 25 25 0,division_2,women,Sugden Sports Centre,unknown,unknown
2013-2014,2013-09-22,Essex Rebels,2,28 26 21 12 11,MK City,3,26 24 25 25 15,division_3,men,unknown,unknown,unknown
2013-2014,2013-09-22,Essex Rebels,1,11 8 25 4 0,Newmarket,3,25 25 19 25 0,division_3,men,unknown,unknown,unknown
2013-2014,2013-09-22,Newmarket,3,25 25 25 - -,MK City,0,11 17 22 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-09-28,Cambridge ARU,3,25 23 24 25 15,Northampton,2,21 25 26 19 3,division_2,women,unknown,unknown,unknown
2013-2014,2013-09-28,Manchester Marvels,3,25 25 25 - -,Newcastle Staffs 2,0,23 20 20 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-09-28,Southampton,3,25 16 25 20 15,Malory Eagles UEL,2,18 25 20 25 11,superleague,men,unknown,unknown,unknown
2013-2014,2013-09-28,Nottingham Rockets,3,27 25 25 - -,Black Country,0,25 21 15 - -,division_2,women,Sutton Bonington Sports Centre,unknown,unknown
2013-2014,2013-09-29,Ashcombe Dorking,0,18 13 13 - -,Malory Eagles UEL,3,25 25 25 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-09-29,Herts,3,25 25 25 - -,Reading Aces,0,20 17 15 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-09-29,Norwich Spikers,2,21 25 25 20 10,Essex Rebels,3,25 15 22 25 15,division_3,men,unknown,unknown,unknown
2013-2014,2013-09-29,Newmarket,1,20 25 19 22 0,Dartford Crossers,3,25 18 25 25 0,division_3,men,unknown,unknown,unknown
2013-2014,2013-09-29,Portsmouth,3,27 25 25 25 0,Bristol,1,25 27 23 17 0,division_1,women,unknown,unknown,unknown
2013-2014,2013-10-05,Sussex Dolphins 1,0,20 19 17 - -,Wessex,3,25 25 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-05,Coventry and Warwick Riga,1,25 22 20 19 0,IBB Polonia London,3,22 25 25 25 0,superleague,men,unknown,unknown,unknown
2013-2014,2013-10-05,Bristol,3,25 29 25 - -,Essex Estonians,0,23 27 22 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-05,City of Bristol,1,18 23 25 20 0,Essex Blaze,3,25 25 19 25 0,division_1,men,unknown,unknown,unknown
2013-2014,2013-10-05,Newcastle Staffs 2,2,19 25 22 25 12,Cambridge ARU,3,25 22 25 16 15,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-05,Newcastle Staffs,1,26 26 17 17 0,Herts,3,28 24 25 25 0,division_1,women,unknown,unknown,unknown
2013-2014,2013-10-05,Manchester Marvels Mystics,3,21 25 25 25 0,Cambridge ARU,1,25 19 18 22 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-05,Team South Wales,0,19 21 21 - -,Team SideOut Polonia (London),3,25 25 25 - -,superleague,women,unknown,unknown,unknown
2013-2014,2013-10-06,Bristol 2,3,25 25 25 - -,Southampton 2,0,8 15 21 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-06,Ashfield Vipers,0,15 24 14 - -,Norwich Spikers,3,25 26 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-06,Essex Rebels,3,19 25 25 25 0,Richmond 2,1,25 15 15 10 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-06,Norwich Spikers,3,25 17 25 26 15,Newmarket,2,16 25 21 28 7,division_3,men,unknown,unknown,unknown
2013-2014,2013-10-06,Reading Aces,3,25 20 25 25 0,Portsmouth,1,22 25 18 16 0,division_1,women,unknown,unknown,unknown
2013-2014,2013-10-06,Northampton,3,25 25 25 - -,Leeds Gorse,0,0 0 0 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-06,Guildford International,0,13 21 13 - -,Essex Trinity,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-06,Plymouth,1,25 17 16 18 0,Dartford Chargers,3,18 25 25 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-06,Team Sunderland,0,8 13 15 - -,Durham Palatinates,3,25 25 25 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-06,Southampton,3,25 25 25 - -,City of Bristol,0,15 19 12 - -,division_3,women,unknown,unknown,unknown
2013-2014,2013-10-12,Black Country,3,21 25 25 23 15,Northampton,2,25 19 12 25 9,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-12,Exeter Storm,2,25 23 22 25 15,Wiltshire Mavericks,3,21 25 25 18 17,cup,men,Ashmoor Recreation Centre,unknown,unknown
2013-2014,2013-10-12,Durham Palatinates,3,25 25 18 25 0,Newcastle Staffs 2,1,18 19 25 19 0,cup,men,Durham University Sport (Queens Campus),unknown,unknown
2013-2014,2013-10-12,Essex Estonians,1,20 20 25 15 0,London Aces,3,25 25 22 25 0,cup,men,Becket Keys School,unknown,unknown
2013-2014,2013-10-13,Cambridge ARU,3,25 25 25 - -,Loughborough Students,0,21 15 6 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-13,Team Sunderland,3,25 25 25 - -,DARKSTAR Derbyshire,0,13 12 22 - -,cup,men,Sunderland University (Cityspace),unknown,unknown
2013-2014,2013-10-19,Dartford Chargers,0,19 14 16 - -,Richmond 2,3,25 25 25 - -,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-19,Cambridge ARU,0,21 15 20 - -,Leeds Gorse,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-19,Essex Blaze,2,25 9 25 12 12,Newcastle Staffs,3,20 25 23 25 15,division_1,men,unknown,unknown,unknown
2013-2014,2013-10-19,Manchester Marvels,3,25 25 25 - -,Loughborough Students,0,15 13 9 - -,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-19,Team Sunderland,3,25 25 20 18 15,Newcastle Staffs 2,2,18 21 25 25 12,division_2,men,unknown,unknown,unknown
2013-2014,2013-10-19,Sheffield,0,22 20 31 - -,Northumbria University,3,25 25 33 - -,superleague,men,unknown,unknown,unknown
2013-2014,2013-10-19,Southampton,3,26 22 25 25 0,Coventry and Warwick Riga,1,24 25 14 21 0,superleague,men,unknown,unknown,unknown
2013-2014,2013-10-19,Portsmouth,3,26 25 25 - -,Newcastle Staffs,0,24 17 14 - -,division_1,women,unknown,unknown,unknown
2013-2014,2013-10-19,Team South Wales,3,22 25 16 25 15,Ashcombe Dorking,2,25 19 25 16 8,superleague,women,unknown,unknown,unknown
2013-2014,2013-10-20,Loughborough Students,1,17 25 21 18 0,Manchester Marvels Mystics,3,25 13 25 25 0,division_2,women,unknown,unknown,unknown
2013-2014,2013-10-20,Exeter Storm,3,25 25 25 - -,Wiltshire Mavericks,0,15 15 18 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-10-20,Dartford Crossers,3,25 25 25 - -,Essex Rebels,0,11 19 10 - -,division_3,men,unknown,unknown,unknown
2013-2014,2013-10-20,Black Country,2,20 15 25 27 10,City of Bristol,3,25 25 17 25 15,division_1,men,unknown,unknown,unknown
2013-2014,2013-10-20,London Inter Orcas,3,25 25 25 - -,Bristol,0,18 22 22 - -,division_1,women,unknown,unknown,unknown
