season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2018-2019,2018-09-15,00:00,,Manchester Marvels Marauders,0,13 15 21 - -,Black Country,3,25 25 25 - -,cup,men,Dean Trust Ardwick,unknown,unknown
2018-2019,2018-09-15,00:00,,Manchester Marvels,3,26 25 25 - -,Leeds Gorse,0,24 15 23 - -,cup,men,Dean Trust Ardwick,unknown,unknown
2018-2019,2018-09-15,00:00,,Norwich Spikers,3,25 25 25 25 0,Lincoln Cannons,1,21 27 13 18 0,cup,men,UEA Norwich Sportspark,unknown,unknown
2018-2019,2018-09-15,00:00,,Nottingham Rockets,0,24 17 16 - -,DARKSTAR Derbyshire,3,26 25 25 - -,cup,men,Southglade Leisure Centre,unknown,unknown
2018-2019,2018-09-15,00:00,,Onyx London,3,25 25 25 - -,Stowmarket,0,0 0 0 - -,cup,men,JFS School The Mall,unknown,unknown
2018-2019,2018-09-15,00:00,,Stockport,1,18 25 25 25 0,The Miners Doncaster,3,25 27 23 27 0,cup,men,Life Leisure Brinnington Park,unknown,unknown
2018-2019,2018-09-16,00:00,,Ashcombe Dorking,0,17 24 7 - -,Lionhearts Vinarius,3,25 26 25 - -,cup,women,The Ashcombe Volleyball Centre,unknown,unknown
2018-2019,2018-09-16,00:00,,Chester Amazons,0,0 0 0 - -,Newcastle Staffs,3,25 25 25 - -,cup,women,,unknown,unknown
2018-2019,2018-09-16,00:00,,Exeter Storm,0,21 28 21 - -,Weymouth Volleyball Club,3,25 30 25 - -,cup,men,Riverside Leisure Centre,unknown,unknown
2018-2019,2018-09-16,00:00,,Hull Thunder,0,15 24 18 - -,Intervolley Manchester,3,25 26 25 - -,cup,men,Hull Holy Trinity House Academy,unknown,unknown
2018-2019,2018-09-16,00:00,,Lincoln Cannons,3,25 25 25 - -,Leicester Athena Phoenix,0,17 14 21 - -,cup,women,Riseholme College (Showground Campus),unknown,unknown
2018-2019,2018-09-16,00:00,,Manchester Marvels Mayhem,0,13 15 15 - -,University of Nottingham Volleyball,3,25 25 25 - -,cup,women,Dean Trust Ardwick,unknown,unknown
2018-2019,2018-09-16,00:00,,Northampton,0,12 22 21 - -,Tamworth Spartans,3,25 25 25 - -,cup,women,Moulton college,unknown,unknown
2018-2019,2018-09-16,00:00,,Nottingham Rockets,0,16 24 18 - -,Ashfield Vipers,3,25 26 25 - -,cup,women,Vision West Nottinghamshire College,unknown,unknown
2018-2019,2018-09-16,00:00,,Onyx London,3,25 22 25 25 0,Dartford Chargers,1,20 25 18 19 0,cup,women,Harrow Club,unknown,unknown
2018-2019,2018-09-16,00:00,,Southampton,0,0 0 0 - -,London Inter Orcas,3,25 25 25 - -,cup,women,,unknown,unknown
2018-2019,2018-09-16,00:00,,Tamworth Spartans,3,15 25 25 20 15,Coventry and Warwick Riga,2,25 23 20 25 13,cup,men,TBC,unknown,unknown
2018-2019,2018-09-16,00:00,,UK Armed Forces,3,25 25 25 - -,DARKSTAR Derbyshire,0,15 17 17 - -,cup,women,RAF Cranwell,unknown,unknown
2018-2019,2018-09-16,00:00,,Wombourne 1,1,22 25 25 15 0,Newcastle Staffs 2,3,25 27 22 25 0,cup,men,Dudley Evolve,unknown,unknown
2018-2019,2018-09-22,00:00,,Black Country,3,20 25 19 25 15,Team Sunderland,2,25 21 25 22 8,division_1,men,Redhill School Sports Hall,unknown,unknown
2018-2019,2018-09-22,00:00,,Black Country,3,21 25 25 22 15,Team Sunderland,2,25 18 19 25 10,division_2,women,Redhill School Sports Hall,unknown,unknown
2018-2019,2018-09-22,00:00,,MK City,1,25 16 20 13 0,City of Bristol,3,18 25 25 25 0,division_2,men,Cranfield Fitness Centre,unknown,unknown
2018-2019,2018-09-23,00:00,,Bristol 2,0,15 20 24 - -,Richmond 2,3,25 25 26 - -,division_2,women,Steiner Academy Sportshall,unknown,unknown
2018-2019,2018-09-23,00:00,,Bristol,2,25 26 24 14 11,Richmond Bucks,3,22 24 26 25 15,division_2,men,Steiner Academy Sportshall,unknown,unknown
2018-2019,2018-09-23,00:00,,Dartford Crossers,2,23 20 25 25 11,South Hants,3,25 25 21 22 15,division_3,men,Dartford Technology College,unknown,unknown
2018-2019,2018-09-23,00:00,,Dartford Crossers,3,27 25 25 26 0,London Baks,1,29 22 21 24 0,division_3,men,Dartford Technology College,unknown,unknown
2018-2019,2018-09-23,00:00,,Herts,2,29 25 13 22 11,London Inter Orcas,3,27 18 25 25 15,division_1,women,Queens School,unknown,unknown
2018-2019,2018-09-23,00:00,,Hull Thunder,0,19 23 26 - -,Manchester Marvels Mystics,3,25 25 28 - -,division_2,women,Hull Holy Trinity House Academy,unknown,unknown
2018-2019,2018-09-23,00:00,,London Baks,3,25 25 25 - -,South Hants,0,20 15 20 - -,division_3,men,Dartford Technology College,unknown,unknown
2018-2019,2018-09-23,00:00,,Tamworth Spartans,3,25 22 25 25 0,Norwich Spikers,1,20 25 23 18 0,division_2,men,TBC,unknown,unknown
2018-2019,2018-09-23,00:00,,Urbond VC Portsmouth,1,19 25 20 23 0,Weymouth Volleyball Club,3,25 23 25 25 0,division_3,men,Priory Community Sports Centre,unknown,unknown
2018-2019,2018-09-23,00:00,,Wombourne 1,3,27 25 20 25 15,Newcastle Staffs 2,2,29 19 25 23 13,division_3,men,Dudley Evolve,unknown,unknown
2018-2019,2018-09-26,00:00,,Loughborough Students,3,25 26 25 - -,University of Nottingham,0,19 24 17 - -,cup,men,Sir David Wallace Sports Hall,unknown,unknown
2018-2019,2018-09-29,00:00,,Black Country,3,25 25 25 - -,Loughborough Students,0,21 13 19 - -,cup,women,Redhill School Sports Hall,unknown,unknown
2018-2019,2018-09-29,00:00,,Cambridge ARU,0,17 21 24 - -,Herts,3,25 25 26 - -,division_1,women,North Cambridge Academy,unknown,unknown
2018-2019,2018-09-29,00:00,,Cambridge ARU,3,29 25 25 25 0,Intervolley Manchester,1,27 16 27 20 0,division_1,men,North Cambridge Academy,unknown,unknown
2018-2019,2018-09-29,00:00,,Coventry & Warwick Riga,3,25 25 25 - -,Lincoln Cannons,0,17 12 19 - -,division_2,women,Alan Higgs Centre,unknown,unknown
2018-2019,2018-09-29,00:00,,Newcastle Staffs,2,26 17 24 25 8,Leeds Gorse,3,24 25 26 20 15,division_2,women,Keele University Sports Centre,unknown,unknown
2018-2019,2018-09-29,00:00,,Richmond Docklands,1,20 25 16 22 0,Newcastle Staffs,3,25 19 25 25 0,superleague,men,Kingston Arena,unknown,unknown
2018-2019,2018-09-30,00:00,,Ashfield Vipers,1,19 19 25 13 0,Coventry & Warwick Riga 2,3,25 25 15 25 0,division_3,women,UEA Norwich Sportspark,unknown,unknown
2018-2019,2018-09-30,00:00,,Bristol 2,0,10 19 14 - -,Dartford Chargers,3,25 25 25 - -,division_2,women,Steiner Academy Sportshall,unknown,unknown
2018-2019,2018-09-30,00:00,,Bristol,2,15 25 25 23 12,London Inter Orcas,3,25 19 19 25 15,superleague,women,TBC,unknown,unknown
2018-2019,2018-09-30,00:00,,Bristol,3,25 25 19 25 0,MK City,1,17 19 25 20 0,division_2,men,Steiner Academy Sportshall,unknown,unknown
2018-2019,2018-09-30,00:00,,City of Bristol,1,19 17 25 19 0,Wessex,3,25 25 21 25 0,division_3,women,Crestwood College,unknown,unknown
2018-2019,2018-09-30,00:00,,Hull Thunder,1,23 25 26 18 0,Black Country,3,25 22 28 25 0,division_2,women,Hull Holy Trinity House Academy,unknown,unknown
2018-2019,2018-09-30,00:00,,Lincoln Cannons,3,25 26 9 25 0,Newcastle Staffs,1,22 24 25 16 0,division_2,women,Riseholme College (Showground Campus),unknown,unknown
2018-2019,2018-09-30,00:00,,Manchester Marvels Mayhem,0,16 23 23 - -,Chester Amazons,3,25 25 25 - -,division_3,women,The Ruth Gorse Academy,unknown,unknown
2018-2019,2018-09-30,00:00,,Norwich Spikers,3,25 25 29 - -,Ashfield Vipers,0,19 9 27 - -,division_3,women,UEA Norwich Sportspark,unknown,unknown
2018-2019,2018-09-30,00:00,,Norwich Spikers,3,25 25 29 - -,Coventry & Warwick Riga 2,0,20 16 27 - -,division_3,women,UEA Norwich Sportspark,unknown,unknown
