season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2019-2020,2020-02-22,00:00,,Durham Palatinates,3,25 25 20 25 0,Richmond Docklands,1,23 22 25 18 0,cup,men,Graham Sports Centre,110308,110308
2019-2020,2020-02-22,00:00,,IBB Polonia London,3,25 25 25 - -,Malory Eagles UEL,0,14 17 23 - -,cup,men,Brentford Fountain Leisure Centre,110308,110308
2019-2020,2020-02-01,00:00,,Northumbria University,2,25 21 26 14 16,Durham Palatinates,3,20 25 24 25 18,cup,men,Sports Central,110308,110308
2019-2020,2020-01-25,00:00,,Sheffield,0,23 22 12 - -,IBB Polonia London,3,25 25 25 - -,cup,men,Sheffield - U18 Boys,110308,110308
2019-2020,2019-11-09,00:00,,Northumbria University,3,25 25 25 - -,Newcastle Staffs,0,12 15 18 - -,cup,men,Sports Central,110308,110308
2019-2020,2019-11-09,00:00,,Richmond Docklands,3,25 25 25 - -,Black Country,0,21 8 18 - -,cup,men,Kingston Arena,110308,110308
2019-2020,2019-11-09,00:00,,IBB Polonia London,3,25 25 20 25 0,Essex Rebels,1,21 18 25 14 0,cup,men,Brentford Fountain Leisure Centre,110308,110308
2019-2020,2019-11-09,00:00,,Malory Eagles UEL,3,25 25 25 - -,Cambridge,0,14 10 14 - -,cup,men,Ernest Bevin College,110308,110308
2019-2020,2019-11-09,00:00,,Durham Palatinates,3,25 25 25 - -,Team Sunderland,0,22 21 22 - -,cup,men,TBC,110308,110308
2019-2020,2019-10-05,00:00,,Newcastle Staffs,3,25 25 25 - -,Coventry and Warwick Riga,0,20 15 22 - -,cup,men,Keele University Sports Centre,110308,110308
2019-2020,2019-10-05,00:00,,Sheffield,3,25 25 25 - -,University of Nottingham,0,14 18 19 - -,cup,men,Sheffield - U18 Boys,110308,110308
2019-2020,2019-10-05,00:00,,Weymouth Volleyball Club,0,17 12 17 - -,IBB Polonia London,3,25 25 25 - -,cup,men,,110308,110308
2019-2020,2019-10-05,00:00,,Northumbria University,3,25 26 25 - -,Manchester Marvels,0,16 24 8 - -,cup,men,Sports Central,110308,110308
2019-2020,2019-10-05,00:00,,Leeds Gorse,1,25 20 23 16 0,Durham Palatinates,3,21 25 25 25 0,cup,men,The Ruth Gorse Academy,110308,110308
2019-2020,2019-10-05,00:00,,Cambridge,3,25 22 25 24 15,London Aces,2,13 25 22 26 9,cup,men,North Cambridge Academy,110308,110308
2019-2020,2019-10-05,00:00,,Tamworth Spartans,0,23 12 12 - -,Richmond Docklands,3,25 25 25 - -,cup,men,TBC,110308,110308
2019-2020,2019-10-03,00:00,,Black Country,3,25 25 25 - -,Lincoln Cannons,0,0 0 0 - -,cup,men,Redhill School Sports Hall,110308,110308
2019-2020,2019-09-22,00:00,,University of Nottingham,3,25 25 26 - -,Stockport,0,20 18 24 - -,cup,men,TBC,110308,110308
2019-2020,2019-09-15,00:00,,York Vikings,2,17 26 26 26 13,Hull Thunder,3,25 28 24 24 15,cup,men,York Sports Centre,110308,110308
2019-2020,2019-09-15,00:00,,Urbond VC Portsmouth,1,18 25 18 23 0,Guildford International,3,25 22 25 25 0,cup,men,Priory Community Sports Centre,110308,110308
2019-2020,2019-09-15,00:00,,Newcastle Staffs 2,1,25 17 22 23 0,Lincoln Cannons,3,11 25 25 25 0,cup,men,Keele University Sports Centre,110308,110308
2019-2020,2019-09-14,00:00,,Coventry and Warwick Riga,3,25 25 25 - -,Rhinos Volleyball Cambridge,0,0 0 0 - -,cup,men,Alan Higgs Centre,110308,110308
2019-2020,2019-09-14,00:00,,Loughborough Students,0,0 0 0 - -,DARKSTAR Derbyshire,3,25 25 25 - -,cup,men,,110308,110308
2019-2020,2019-09-14,00:00,,Cambridge,3,26 20 13 25 15,Newmarket,2,24 25 25 18 13,cup,men,North Cambridge Academy,110308,110308
2019-2020,2019-09-14,00:00,,The Miners Doncaster,0,23 16 11 - -,Northumbria University,3,25 25 25 - -,cup,men,XP School,110308,110308
2019-2020,2020-04-19,00:00,,Intervolley Manchester,2,23 25 23 25 15,Cambridge ARU,2,25 23 25 23 15,division_1,men,The Y Club,110308,110308
2019-2020,2020-04-18,00:00,,Stockport,2,23 25 23 25 15,Cambridge ARU,2,25 23 25 23 15,division_1,men,Life Leisure Brinnington Park,110308,110308
2019-2020,2020-04-04,00:00,,The Miners Doncaster,2,23 25 23 25 15,Essex Estonians,2,25 23 25 23 15,division_1,men,XP School,110308,110308
2019-2020,2020-03-28,00:00,,London Aces,2,23 25 23 25 15,Intervolley Manchester,2,25 23 25 23 15,division_1,men,Lambeth Academy,110308,110308
2019-2020,2020-03-28,00:00,,Cambridge ARU,2,23 25 23 25 15,Stockport,2,25 23 25 23 15,division_1,men,North Cambridge Academy,110308,110308
2019-2020,2020-03-22,00:00,,Intervolley Manchester,2,23 25 23 25 15,Stockport,2,25 23 25 23 15,division_1,men,The Y Club,110308,110308
2019-2020,2020-03-22,00:00,,Essex Estonians,2,23 25 23 25 15,Leeds Gorse,2,25 23 25 23 15,division_1,men,St John Payne School,110308,110308
2019-2020,2020-03-21,00:00,,London Aces,2,23 25 23 25 15,City of Bristol,2,25 23 25 23 15,division_1,men,Lambeth Academy,110308,110308
2019-2020,2020-03-15,00:00,,Leeds Gorse,3,25 25 25 - -,Stockport,0,16 20 22 - -,division_1,men,The Ruth Gorse Academy,110308,110308
2019-2020,2020-03-14,00:00,,Cambridge ARU,2,23 25 23 25 15,The Miners Doncaster,2,25 23 25 23 15,division_1,men,North Cambridge Academy,110308,110308
2019-2020,2020-03-14,00:00,,Leeds Gorse,2,23 25 23 25 15,Intervolley Manchester,2,25 23 25 23 15,division_1,men,The Ruth Gorse Academy,110308,110308
2019-2020,2020-03-14,00:00,,London Aces,0,18 23 12 - -,Stockport,3,25 25 25 - -,division_1,men,Lambeth Academy,110308,110308
2019-2020,2020-03-08,00:00,,The Miners Doncaster,3,25 15 25 20 18,Cambridge ARU,2,19 25 20 25 16,division_1,men,XP School,110308,110308
2019-2020,2020-03-07,00:00,,Leeds Gorse,3,25 25 25 - -,Cambridge ARU,0,22 15 16 - -,division_1,men,The Ruth Gorse Academy,110308,110308
2019-2020,2020-02-29,00:00,,London Aces,0,20 21 16 - -,Leeds Gorse,3,25 25 25 - -,division_1,men,Lambeth Academy,110308,110308
2019-2020,2020-02-29,00:00,,The Miners Doncaster,2,27 25 19 21 13,City of Bristol,3,25 22 25 25 15,division_1,men,XP School,110308,110308
2019-2020,2020-02-23,00:00,,The Miners Doncaster,3,25 21 26 25 0,Leeds Gorse,1,23 25 24 17 0,division_1,men,XP School,110308,110308
2019-2020,2020-02-23,00:00,,Essex Estonians,1,21 19 28 23 0,Cambridge ARU,3,25 25 26 25 0,division_1,men,St John Payne School,110308,110308
2019-2020,2020-02-16,00:00,,Essex Estonians,2,23 25 23 25 15,London Aces,2,25 23 25 23 15,division_1,men,St John Payne School,110308,110308
