season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2008-2009,2008-10-11,Coventry and Warwick Riga,3,25 25 25 - -,Richmond Docklands,0,20 20 17 - -,division_1,men,Alan Higgs Centre,unknown,unknown
2008-2009,2008-10-11,Northumbria University,2,20 25 25 21 11,Essex Estonians,3,25 17 22 25 15,division_2,men,Middlesbrough College,unknown,unknown
2008-2009,2008-10-11,Portsmouth,3,25 25 25 - -,Dartford Chargers,0,0 0 0 - -,cup,women,unknown,unknown,unknown
2008-2009,2008-10-11,Team SideOut Polonia (London),3,25 19 25 26 0,Loughborough Students,1,10 25 18 24 0,division_1,women,St Benedicts School,unknown,unknown
2008-2009,2008-10-11,Malory Eagles UEL,2,25 29 13 22 12,Leeds Gorse,3,17 27 25 25 15,division_1,women,unknown,unknown,unknown
2008-2009,2008-10-12,Leeds Gorse,3,25 25 24 25 0,Team SideOut Polonia (London),1,21 16 26 23 0,division_1,women,unknown,unknown,unknown
2008-2009,2008-10-12,Newcastle Staffs 2,3,25 27 20 25 0,Nottingham Rockets,1,20 25 25 20 0,division_3,men,York College,unknown,unknown
2008-2009,2008-10-12,Leeds Gorse,3,23 25 10 25 15,Essex Estonians,2,25 22 25 19 13,division_2,men,unknown,unknown,unknown
2008-2009,2008-10-12,York Vikings,3,25 25 21 27 0,Nottingham Rockets,1,17 23 25 25 0,division_3,men,York College,unknown,unknown
2008-2009,2008-10-12,York Vikings,3,26 25 25 22 15,Newcastle Staffs 2,2,28 20 20 25 11,division_3,men,York College,unknown,unknown
2008-2009,2008-10-18,Loughborough Students,1,28 23 22 22 0,Reading Aces,3,26 25 25 25 0,division_1,women,Sir David Wallace Sports Hall,unknown,unknown
2008-2009,2008-10-18,Essex Estonians,3,21 18 26 26 19,Loughborough Students,2,25 25 24 24 17,division_2,men,Boswells School,unknown,unknown
2008-2009,2008-10-18,Richmond Docklands,0,21 16 24 - -,IBB Polonia London,3,25 25 26 - -,division_1,men,Bacons S.C.,unknown,unknown
2008-2009,2008-10-18,Portsmouth,3,15 25 17 25 15,Ashcombe Dorking,2,25 20 25 16 5,division_2,women,Priory Community Sports Centre,unknown,unknown
2008-2009,2008-10-18,Northumbria University,3,12 25 25 25 0,Cambridge ARU,1,25 11 17 20 0,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2008-10-19,Coventry & Warwick Riga,3,25 25 25 - -,Essex Rebels,0,18 21 18 - -,division_3,women,Peckham Academy,unknown,unknown
2008-2009,2008-10-19,Dartford Chargers,1,12 25 23 11 0,Sussex Dolphins 1,3,25 21 25 25 0,division_3,women,Acacia Hall,unknown,unknown
2008-2009,2008-10-19,Leeds Gorse,1,25 23 21 20 0,Northumbria University,3,19 25 25 25 0,division_2,men,unknown,unknown,unknown
2008-2009,2008-10-19,Guildford International,1,20 25 22 18 0,Essex Trinity,3,25 23 25 25 0,division_2,women,unknown,unknown,unknown
2008-2009,2008-10-19,Southampton 2,3,26 17 25 25 0,City of Bristol,1,24 25 22 21 0,division_3,women,Woodlands Community School,unknown,unknown
2008-2009,2008-10-25,Malory Eagles UEL,1,18 25 21 22 0,Sheffield,3,25 22 25 25 0,division_1,men,unknown,unknown,unknown
2008-2009,2008-10-25,Newcastle Staffs,3,23 25 28 21 15,Richmond Docklands,2,25 19 26 25 10,division_1,men,Keele University Sports Centre,unknown,unknown
2008-2009,2008-10-26,Ashcombe Dorking,3,25 10 25 25 0,Plymouth,1,21 25 14 19 0,division_2,women,unknown,unknown,unknown
2008-2009,2008-10-26,Guildford International,1,22 25 23 23 0,Portsmouth,3,25 23 25 25 0,division_2,women,unknown,unknown,unknown
2008-2009,2008-10-26,Black Country,3,25 19 25 25 0,York Vikings,1,11 25 18 23 0,division_3,men,Robin Park Arena,unknown,unknown
2008-2009,2008-10-26,Stowmarket,3,25 8 25 25 0,Essex Blaze,1,14 25 21 14 0,division_3,men,Stowupland Sports Centre,unknown,unknown
2008-2009,2008-10-26,Wiltshire Mavericks,0,15 15 17 - -,Southampton,3,25 25 25 - -,division_3,men,The Olympiad Leisure Centre,unknown,unknown
2008-2009,2008-11-01,Loughborough Students,0,17 22 17 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2008-2009,2008-11-01,Sheffield,3,20 25 25 25 0,Coventry and Warwick Riga,1,25 17 21 17 0,division_1,men,Sheffield - U18 Boys,unknown,unknown
2008-2009,2008-11-02,Plymouth,2,18 20 25 25 9,Guildford International,3,25 25 20 20 15,division_2,women,Coombe Dean School,unknown,unknown
2008-2009,2008-11-02,Northampton,3,25 25 25 - -,Essex Rebels,0,10 22 15 - -,division_3,women,Becket Keys School,unknown,unknown
2008-2009,2008-11-02,Southampton,3,25 25 26 - -,City of Bristol,0,11 20 24 - -,division_3,women,Millbrook Community School,unknown,unknown
2008-2009,2008-11-15,Portsmouth,3,25 16 25 25 0,Team SideOut Polonia (London),1,18 25 22 22 0,cup,women,unknown,unknown,unknown
2008-2009,2008-11-15,Essex Rebels,0,20 20 18 - -,Malory Eagles UEL,3,25 25 25 - -,cup,men,unknown,unknown,unknown
2008-2009,2008-11-15,IBB Polonia London,3,25 25 25 - -,Wiltshire Mavericks,0,18 16 5 - -,cup,men,unknown,unknown,unknown
2008-2009,2008-11-23,City of Bristol,3,26 15 25 25 0,Southampton 2,1,24 25 20 13 0,division_3,women,University of Bristol,unknown,unknown
2008-2009,2008-11-23,Sussex Dolphins 1,3,12 25 14 25 15,Northampton,2,25 21 25 21 9,division_3,women,Dolphins L.C.,unknown,unknown
2008-2009,2008-11-23,Dartford Chargers,1,23 23 26 19 0,Coventry & Warwick Riga,3,25 25 24 25 0,division_3,women,Acacia Hall,unknown,unknown
2008-2009,2008-11-29,Essex Blaze,3,22 25 25 11 15,Stowmarket,2,25 22 19 25 13,division_3,men,Riverside Ice and Leisure Centre,unknown,unknown
2008-2009,2008-11-29,Cambridge ARU,3,25 25 25 - -,Loughborough Students,0,21 22 20 - -,division_2,men,North Cambridge Academy,unknown,unknown
2008-2009,2008-11-29,IBB Polonia London,1,25 15 21 16 0,Sheffield,3,23 25 25 25 0,division_1,men,St Benedicts School,unknown,unknown
2008-2009,2008-11-29,Malory Eagles UEL,3,25 22 25 25 0,Coventry and Warwick Riga,1,21 25 22 17 0,division_1,men,unknown,unknown,unknown
2008-2009,2008-11-30,Nottingham Rockets,3,25 25 25 - -,York Vikings,0,22 15 18 - -,division_3,men,unknown,unknown,unknown
2008-2009,2008-11-30,Reading Aces,0,17 21 19 - -,Leeds Gorse,3,25 25 25 - -,division_1,women,Kendrick School,unknown,unknown
2008-2009,2008-12-06,Ashcombe Dorking,3,26 25 21 25 0,Herts,1,24 21 25 11 0,division_2,women,unknown,unknown,unknown
2008-2009,2008-12-06,Coventry and Warwick Riga,2,25 25 20 24 12,IBB Polonia London,3,23 21 25 26 15,division_1,men,Alan Higgs Centre,unknown,unknown
2008-2009,2008-12-06,Sheffield,3,23 25 25 25 0,Newcastle Staffs,1,25 18 11 11 0,division_1,men,Sheffield - U18 Boys,unknown,unknown
2008-2009,2008-12-06,Richmond Docklands,2,17 25 25 12 12,Malory Eagles UEL,3,25 22 23 25 15,division_1,men,Bacons S.C.,unknown,unknown
2008-2009,2008-12-06,Stowmarket,3,20 28 25 25 0,Southampton,1,25 26 17 22 0,shield,men,unknown,unknown,unknown
2008-2009,2008-12-06,Plymouth,2,25 25 25 20 12,Northumbria University,3,27 17 22 25 15,division_2,women,Coombe Dean School,unknown,unknown
2008-2009,2008-12-07,Coventry & Warwick Riga,1,25 21 16 23 0,Sussex Dolphins 1,3,22 25 25 25 0,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2008-12-07,Dartford Chargers,3,14 22 25 25 15,Essex Rebels,2,25 25 19 17 9,division_3,women,Acacia Hall,unknown,unknown
2008-2009,2008-12-07,Essex Trinity,2,25 18 25 14 13,Herts,3,18 25 17 25 15,division_2,women,Riverside Ice and Leisure Centre,unknown,unknown
2008-2009,2008-12-07,Cambridge ARU,2,11 17 25 25 10,Guildford International,3,25 25 16 20 15,division_2,women,North Cambridge Academy,unknown,unknown
2008-2009,2008-12-13,Malory Eagles UEL,3,25 25 25 - -,Team SideOut Polonia (London),0,12 13 21 - -,division_1,women,unknown,unknown,unknown
2008-2009,2008-12-13,Newcastle Staffs 2,2,24 25 25 21 11,York Vikings,3,26 18 21 25 15,division_3,men,Madeley High School,unknown,unknown
2008-2009,2008-12-13,Newcastle Staffs,1,23 25 22 21 0,Coventry and Warwick Riga,3,25 18 25 25 0,division_1,men,Keele University Sports Centre,unknown,unknown
2008-2009,2008-12-13,Malory Eagles UEL,3,25 25 29 - -,IBB Polonia London,0,23 19 27 - -,division_1,men,unknown,unknown,unknown
2008-2009,2008-12-13,Northumbria University,3,25 25 25 - -,Loughborough Students,0,0 0 0 - -,division_2,men,unknown,unknown,unknown
2008-2009,2008-12-13,Portsmouth,3,25 21 23 25 15,Plymouth,2,19 25 25 13 12,division_2,women,Priory Community Sports Centre,unknown,unknown
2008-2009,2008-12-13,Northumbria University,3,25 25 25 - -,Herts,0,17 22 21 - -,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2008-12-14,Coventry & Warwick Riga 2,1,19 27 25 21 0,Southampton,3,25 29 23 25 0,division_3,men,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2008-12-14,Dartford Crossers,1,14 25 12 12 0,Stowmarket,3,25 20 25 25 0,division_3,men,Acacia Hall,unknown,unknown
2008-2009,2008-12-14,Nottingham Rockets,3,25 25 25 - -,Black Country,0,0 0 0 - -,division_3,men,unknown,unknown,unknown
2008-2009,2008-12-14,Coventry & Warwick Riga 2,0,10 10 22 - -,City of Bristol,3,25 25 25 - -,division_3,men,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2008-12-14,Southampton,3,25 25 14 35 0,City of Bristol,1,17 9 25 33 0,division_3,men,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2008-12-14,Essex Trinity,0,23 11 22 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,Boswells School,unknown,unknown
2008-2009,2009-01-10,Loughborough Students,2,15 25 19 26 13,Stowmarket,3,25 22 25 24 15,shield,men,unknown,unknown,unknown
2008-2009,2009-01-10,Northumbria University,3,25 25 25 - -,Nottingham Rockets,0,11 12 18 - -,shield,men,unknown,unknown,unknown
2008-2009,2009-01-11,Essex Rebels,0,20 21 27 - -,Loughborough Students,3,25 25 29 - -,shield,women,unknown,unknown,unknown
2008-2009,2009-01-11,Portsmouth,3,25 25 25 - -,Northumbria University,0,16 18 23 - -,cup,women,unknown,unknown,unknown
2008-2009,2009-01-11,Malory Eagles UEL,3,25 25 25 - -,Guildford International,0,14 22 13 - -,cup,women,unknown,unknown,unknown
2008-2009,2009-01-17,Newcastle Staffs,2,24 27 25 25 14,IBB Polonia London,3,26 29 23 20 16,division_1,men,Madeley High School,unknown,unknown
2008-2009,2009-01-18,Reading Aces,0,27 18 8 - -,Team SideOut Polonia (London),3,29 25 25 - -,division_1,women,Kendrick School,unknown,unknown
2008-2009,2009-01-18,Guildford International,0,25 23 14 - -,Ashcombe Dorking,3,27 25 25 - -,division_2,women,unknown,unknown,unknown
2008-2009,2009-01-18,Plymouth,1,19 25 20 16 0,Essex Trinity,3,25 22 25 25 0,division_2,women,Coombe Dean School,unknown,unknown
2008-2009,2009-01-18,Sussex Dolphins 1,3,25 25 24 25 0,Dartford Chargers,1,23 17 26 21 0,division_3,women,Becket Keys School,unknown,unknown
2008-2009,2009-01-24,Cambridge ARU,0,17 18 24 - -,Northumbria University,3,25 25 26 - -,division_2,women,North Cambridge Academy,unknown,unknown
2008-2009,2009-01-24,Malory Eagles UEL,3,25 25 23 18 15,Reading Aces,2,21 17 25 25 12,division_1,women,unknown,unknown,unknown
2008-2009,2009-01-24,Cambridge ARU,3,25 25 22 25 0,Essex Estonians,1,21 20 25 22 0,division_2,men,North Cambridge Academy,unknown,unknown
2008-2009,2009-01-24,Malory Eagles UEL,1,25 24 25 22 0,Newcastle Staffs,3,27 26 12 25 0,division_1,men,unknown,unknown,unknown
2008-2009,2009-01-24,Sheffield,3,25 25 25 - -,Richmond Docklands,0,19 12 23 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2008-2009,2009-01-25,Ashcombe Dorking,3,22 25 25 25 0,Portsmouth,1,25 17 19 16 0,division_2,women,unknown,unknown,unknown
2008-2009,2009-01-25,Essex Trinity,0,22 22 20 - -,Guildford International,3,25 25 25 - -,division_2,women,Boswells School,unknown,unknown
2008-2009,2009-01-25,Black Country,1,25 22 23 26 0,Newcastle Staffs 2,3,23 25 25 28 0,division_3,men,unknown,unknown,unknown
2008-2009,2009-01-25,Dartford Crossers,0,9 25 20 - -,Essex Blaze,3,25 27 25 - -,division_3,men,Acacia Hall,unknown,unknown
2008-2009,2009-01-25,Wiltshire Mavericks,0,22 17 13 - -,City of Bristol,3,25 25 25 - -,division_3,men,The Olympiad Leisure Centre,unknown,unknown
2008-2009,2009-01-31,Richmond Docklands,3,25 25 25 - -,Coventry and Warwick Riga,0,21 15 22 - -,division_1,men,Bacons S.C.,unknown,unknown
2008-2009,2009-01-31,Northumbria University,3,25 25 25 - -,Leeds Gorse,0,21 16 19 - -,division_2,men,Middlesbrough College,unknown,unknown
2008-2009,2009-01-31,Loughborough Students,0,18 16 14 - -,Leeds Gorse,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2008-2009,2009-01-31,Portsmouth,3,25 25 17 25 0,Guildford International,1,18 20 25 21 0,division_2,women,Priory Community Sports Centre,unknown,unknown
2008-2009,2009-02-01,City of Bristol,1,25 23 24 11 0,Southampton,3,17 25 26 25 0,division_3,women,University of Bristol,unknown,unknown
2008-2009,2009-02-01,Essex Rebels,2,18 22 25 25 13,Northampton,3,25 25 10 19 15,division_3,women,Tendring Technology College,unknown,unknown
2008-2009,2009-02-01,Leeds Gorse,0,20 15 19 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2008-2009,2009-02-01,Herts,2,25 25 20 20 4,Cambridge ARU,3,20 13 25 25 15,division_2,women,St Albans Girls School,unknown,unknown
2008-2009,2009-02-01,Plymouth,0,22 19 23 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,Coombe Dean School,unknown,unknown
2008-2009,2009-02-14,Ashcombe Dorking,3,28 25 21 25 0,Malory Eagles UEL,1,26 20 25 20 0,cup,women,unknown,unknown,unknown
2008-2009,2009-02-14,Richmond Docklands,2,25 22 25 19 12,IBB Polonia London,3,18 25 21 25 15,cup,men,unknown,unknown,unknown
2008-2009,2009-02-14,Newcastle Staffs,3,19 14 28 25 15,Coventry and Warwick Riga,2,25 25 26 23 10,cup,men,unknown,unknown,unknown
2008-2009,2009-02-14,Team SideOut Polonia (London),3,25 25 25 - -,Sussex Dolphins 1,0,0 13 10 - -,shield,women,unknown,unknown,unknown
2008-2009,2009-02-21,IBB Polonia London,3,25 27 25 - -,Richmond Docklands,0,22 25 19 - -,division_1,men,St Benedicts School,unknown,unknown
2008-2009,2009-02-21,Northumbria University,3,25 21 25 19 20,Cambridge ARU,2,18 25 22 25 18,division_2,men,Middlesbrough College,unknown,unknown
2008-2009,2009-02-22,Coventry & Warwick Riga,3,25 25 19 25 0,Essex Rebels,1,23 22 25 21 0,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2009-02-22,Northampton,3,25 19 25 25 0,Sussex Dolphins 1,1,16 25 18 21 0,division_3,women,Moulton Leisure Centre,unknown,unknown
2008-2009,2009-02-22,Leeds Gorse,0,11 10 17 - -,Cambridge ARU,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2008-2009,2009-02-22,Reading Aces,1,21 20 25 22 0,Loughborough Students,3,25 25 20 25 0,division_1,women,Kendrick School,unknown,unknown
2008-2009,2009-02-28,Cambridge ARU,0,23 14 25 - -,Plymouth,3,25 25 27 - -,division_2,women,North Cambridge Academy,unknown,unknown
2008-2009,2009-02-28,Loughborough Students,0,18 19 15 - -,Northumbria University,3,25 25 25 - -,division_2,men,Sir David Wallace Sports Hall,unknown,unknown
2008-2009,2009-02-28,Sheffield,3,25 26 25 - -,Malory Eagles UEL,0,17 24 19 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2008-2009,2009-02-28,Richmond Docklands,2,23 19 27 25 12,Newcastle Staffs,3,25 25 25 21 15,division_1,men,Bacons S.C.,unknown,unknown
2008-2009,2009-02-28,Newcastle Staffs 2,1,20 25 20 20 0,Black Country,3,25 22 25 25 0,division_3,men,Madeley High School,unknown,unknown
2008-2009,2009-02-28,Portsmouth,3,25 25 25 - -,Herts,0,15 13 19 - -,division_2,women,Priory Community Sports Centre,unknown,unknown
2008-2009,2009-02-28,Northumbria University,0,13 16 23 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2009-03-01,Guildford International,3,25 25 25 - -,Herts,0,15 19 21 - -,division_2,women,unknown,unknown,unknown
2008-2009,2009-03-01,Stowmarket,3,25 25 20 25 0,Dartford Crossers,1,19 18 25 18 0,division_3,men,Stowupland Sports Centre,unknown,unknown
2008-2009,2009-03-01,Southampton,3,25 25 25 - -,City of Bristol,0,18 23 23 - -,division_3,men,Llanishen L.C,unknown,unknown
2008-2009,2009-03-01,Northumbria University,3,25 25 36 - -,Essex Trinity,0,23 20 34 - -,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2009-03-07,Sheffield,3,25 29 25 - -,Newcastle Staffs,0,19 27 20 - -,cup,men,unknown,unknown,unknown
2008-2009,2009-03-07,Malory Eagles UEL,3,25 25 25 - -,IBB Polonia London,0,22 22 20 - -,cup,men,unknown,unknown,unknown
2008-2009,2009-03-08,Coventry & Warwick Riga,3,25 25 16 25 0,Dartford Chargers,1,19 16 25 22 0,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2009-03-08,Dartford Chargers,2,25 19 16 25 7,Northampton,3,23 25 25 19 15,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2009-03-08,Coventry & Warwick Riga,1,21 13 25 18 0,Northampton,3,25 25 23 25 0,division_3,women,St. Nicholas Park L.C.,unknown,unknown
2008-2009,2009-03-08,Sussex Dolphins 1,3,17 25 25 25 0,Essex Rebels,1,25 17 22 23 0,division_3,women,Dolphins L.C.,unknown,unknown
2008-2009,2009-03-15,Portsmouth,3,25 25 25 - -,Essex Trinity,0,13 12 13 - -,division_2,women,Priory Community Sports Centre,unknown,unknown
2008-2009,2009-03-21,Loughborough Students,1,26 22 23 23 0,Team SideOut Polonia (London),3,24 25 25 25 0,division_1,women,unknown,unknown,unknown
2008-2009,2009-03-21,Coventry and Warwick Riga,3,25 19 20 25 15,Sheffield,2,23 25 25 20 13,division_1,men,Alan Higgs Centre,unknown,unknown
2008-2009,2009-03-21,Team SideOut Polonia (London),1,11 25 18 22 0,Leeds Gorse,3,25 19 25 25 0,division_1,women,St Benedicts School,unknown,unknown
2008-2009,2009-03-21,Malory Eagles UEL,3,25 25 25 - -,Loughborough Students,0,0 14 17 - -,division_1,women,unknown,unknown,unknown
2008-2009,2009-03-22,Essex Trinity,2,18 25 21 25 9,Portsmouth,3,25 14 25 23 15,division_2,women,Boswells School,unknown,unknown
2008-2009,2009-03-22,Guildford International,3,25 18 20 26 15,Plymouth,2,12 25 25 24 11,division_2,women,unknown,unknown,unknown
2008-2009,2009-03-22,Black Country,3,15 25 25 25 0,York Vikings,1,25 20 18 23 0,division_3,men,Royston High School,unknown,unknown
2008-2009,2009-03-22,Nottingham Rockets,3,25 25 16 22 15,Newcastle Staffs 2,2,20 17 25 25 13,division_3,men,Southglade Leisure Centre,unknown,unknown
2008-2009,2009-03-28,Coventry and Warwick Riga,3,23 26 25 25 0,Malory Eagles UEL,1,25 24 23 22 0,division_1,men,Alan Higgs Centre,unknown,unknown
2008-2009,2009-03-28,Sheffield,3,25 25 25 - -,IBB Polonia London,0,21 20 13 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2008-2009,2009-03-29,Cambridge ARU,3,22 18 25 25 15,Herts,2,25 25 20 21 11,division_2,women,North Cambridge Academy,unknown,unknown
2008-2009,2009-03-29,Leeds Gorse,3,26 28 25 25 0,Reading Aces,1,24 30 11 11 0,division_1,women,unknown,unknown,unknown
2008-2009,2009-03-29,Leeds Gorse,0,23 22 20 - -,Loughborough Students,3,25 25 25 - -,division_2,men,unknown,unknown,unknown
2008-2009,2009-03-29,Essex Rebels,3,25 27 25 - -,Dartford Chargers,0,16 25 13 - -,division_3,women,Tendring Technology College,unknown,unknown
2008-2009,2009-03-29,Southampton 2,3,25 25 15 25 0,Southampton,1,15 10 25 12 0,division_3,women,The Romsey School,unknown,unknown
2008-2009,2009-04-04,Malory Eagles UEL,3,25 25 20 25 0,Richmond Docklands,1,20 19 25 23 0,division_1,men,unknown,unknown,unknown
2008-2009,2009-04-04,Newcastle Staffs,0,19 24 16 - -,Sheffield,3,25 26 25 - -,division_1,men,Keele University Sports Centre,unknown,unknown
2008-2009,2009-04-04,IBB Polonia London,3,21 25 28 25 0,Coventry and Warwick Riga,1,25 22 26 20 0,division_1,men,St Benedicts School,unknown,unknown
2008-2009,2009-04-05,Ashcombe Dorking,3,27 25 21 26 0,Essex Trinity,1,25 21 25 24 0,division_2,women,unknown,unknown,unknown
2008-2009,2009-04-05,Plymouth,0,25 19 17 - -,Portsmouth,3,27 25 25 - -,division_2,women,Coombe Dean School,unknown,unknown
2008-2009,2009-04-05,Herts,1,11 18 25 15 0,Northumbria University,3,25 25 23 25 0,division_2,women,St Albans Girls School,unknown,unknown
2008-2009,2009-04-05,Coventry & Warwick Riga 2,0,18 19 19 - -,Wiltshire Mavericks,3,25 25 25 - -,division_3,men,Woodlands Community School,unknown,unknown
2008-2009,2009-04-05,Southampton,3,20 28 25 25 0,Wiltshire Mavericks,1,25 26 17 17 0,division_3,men,Woodlands Community School,unknown,unknown
2008-2009,2009-04-05,Black Country,3,25 17 25 27 18,Nottingham Rockets,2,23 25 22 29 16,division_3,men,unknown,unknown,unknown
2008-2009,2009-04-05,Southampton,3,25 25 25 - -,Coventry & Warwick Riga 2,0,16 18 14 - -,division_3,men,Woodlands Community School,unknown,unknown
2008-2009,2009-04-18,Malory Eagles UEL,0,21 16 14 - -,Sheffield,3,25 25 25 - -,cup,men,unknown,unknown,unknown
