season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2008-2009,2008-09-13,IBB Polonia London,3,25 25 25 - -,Malory Eagles UEL,0,0 0 0 - -,division_1,men,unknown,unknown,unknown
2008-2009,2008-09-13,Coventry and Warwick Riga,1,25 25 24 20 0,Newcastle Staffs,3,27 12 26 25 0,division_1,men,Alan Higgs Centre,unknown,unknown
2008-2009,2008-09-13,Team SideOut Polonia (London),0,0 0 0 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,unknown,unknown,unknown
2008-2009,2008-09-14,Southampton,1,23 22 25 15 0,Southampton 2,3,25 25 23 25 0,division_3,women,Millbrook Community School,unknown,unknown
2008-2009,2008-09-14,Ashcombe Dorking,3,25 25 25 - -,Guildford International,0,14 19 14 - -,division_2,women,unknown,unknown,unknown
2008-2009,2008-09-14,Essex Trinity,3,22 25 26 25 0,Plymouth,1,25 19 24 18 0,division_2,women,Boswells School,unknown,unknown
2008-2009,2008-09-14,Leeds Gorse,3,19 19 25 25 15,Loughborough Students,2,25 25 20 16 5,division_1,women,unknown,unknown,unknown
2008-2009,2008-09-14,Northampton,3,25 25 25 - -,Dartford Chargers,0,20 21 13 - -,division_3,women,Moulton Leisure Centre,unknown,unknown
2008-2009,2008-09-14,Sussex Dolphins 1,3,25 25 25 25 0,Coventry & Warwick Riga,1,16 27 20 22 0,division_3,women,Dolphins L.C.,unknown,unknown
2008-2009,2008-09-20,IBB Polonia London,3,25 25 20 25 0,Newcastle Staffs,1,23 15 25 20 0,division_1,men,St Benedicts School,unknown,unknown
2008-2009,2008-09-20,Essex Estonians,0,22 16 22 - -,Cambridge ARU,3,25 25 25 - -,division_2,men,Boswells School,unknown,unknown
2008-2009,2008-09-20,Team SideOut Polonia (London),3,25 25 22 25 0,Reading Aces,1,21 12 25 16 0,division_1,women,St Benedicts School,unknown,unknown
2008-2009,2008-09-21,Dartford Crossers,0,17 19 24 - -,Essex Blaze,3,25 25 26 - -,division_3,men,North Cambridge Academy,unknown,unknown
2008-2009,2008-09-27,Northumbria University,0,16 21 8 - -,Portsmouth,3,25 25 25 - -,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2008-09-27,Herts,3,21 20 25 27 15,Plymouth,2,25 25 22 25 12,division_2,women,St Albans Girls School,unknown,unknown
2008-2009,2008-09-27,Ashcombe Dorking,3,25 25 25 - -,Cambridge ARU,0,20 17 13 - -,division_2,women,unknown,unknown,unknown
2008-2009,2008-09-27,Richmond Docklands,1,25 13 23 11 0,Sheffield,3,20 25 25 25 0,division_1,men,Bacons S.C.,unknown,unknown
2008-2009,2008-09-27,Newcastle Staffs,3,26 20 18 25 17,Malory Eagles UEL,2,24 25 25 18 15,division_1,men,Keele University Sports Centre,unknown,unknown
2008-2009,2008-09-27,Loughborough Students,3,27 8 22 28 15,Leeds Gorse,2,25 25 25 26 10,division_2,men,unknown,unknown,unknown
2008-2009,2008-09-28,Essex Rebels,1,25 10 15 16 0,Sussex Dolphins 1,3,18 25 25 25 0,division_3,women,Tendring Technology College,unknown,unknown
2008-2009,2008-09-28,Coventry & Warwick Riga,1,17 25 14 22 0,Northampton,3,25 17 25 25 0,division_3,women,Hampton Sports & Fitness Centre,unknown,unknown
2008-2009,2008-09-28,City of Bristol,3,25 25 25 - -,Coventry & Warwick Riga 2,0,12 18 20 - -,division_3,men,University of Bristol,unknown,unknown
2008-2009,2008-09-28,Coventry & Warwick Riga 2,1,25 18 22 23 0,Wiltshire Mavericks,3,20 25 25 25 0,division_3,men,University of Bristol,unknown,unknown
2008-2009,2008-09-28,City of Bristol,3,25 22 25 25 0,Wiltshire Mavericks,1,20 25 22 18 0,division_3,men,University of Bristol,unknown,unknown
2008-2009,2008-09-28,York Vikings,2,18 19 25 25 13,Newcastle Staffs 2,3,25 25 20 22 15,cup,men,unknown,unknown,unknown
2008-2009,2008-09-28,Reading Aces,1,25 14 16 16 0,Malory Eagles UEL,3,22 25 25 25 0,division_1,women,Kendrick School,unknown,unknown
2008-2009,2008-09-28,Essex Trinity,3,25 25 25 - -,Cambridge ARU,0,18 23 18 - -,division_2,women,Riverside Ice and Leisure Centre,unknown,unknown
2008-2009,2008-09-28,Northumbria University,2,19 25 25 18 12,Guildford International,3,25 22 7 25 15,division_2,women,Middlesbrough College,unknown,unknown
2008-2009,2008-10-11,Cambridge ARU,0,20 23 14 - -,Portsmouth,3,25 25 25 - -,division_2,women,North Cambridge Academy,unknown,unknown
