season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2022-2023,2022-09-10,00:00,,Ashcombe Dorking Knights,2,13 25 19 25 9,Tonbridge,3,25 20 25 22 15,cup,men,The Ashcombe Volleyball Centre,unknown,unknown
2022-2023,2022-09-10,00:00,,Reading Aces,3,25 25 25 - -,Army Men - 2,0,0 0 0 - -,cup,men,Kendrick School,unknown,unknown
2022-2023,2022-09-10,00:00,,Urmston Grammar 2,3,25 25 25 - -,Bradford Eagles Men,0,14 11 8 - -,cup,men,Urmston Grammar School,unknown,unknown
2022-2023,2022-09-10,00:00,,Weymouth 2,1,24 21 25 20 0,Wessex,3,26 25 23 25 0,cup,men,Redlands Community Sports Hub,unknown,unknown
2022-2023,2022-09-10,00:00,,Wigan Seahawks,2,17 25 20 25 11,Volleyball Isle of Man 1,3,25 22 25 22 15,cup,men,St Edmund Arrowsmith Catholic High School,unknown,unknown
2022-2023,2022-09-10,00:00,,Wimbledon Wolves (London),0,20 17 20 - -,London Bears,3,25 25 25 - -,cup,men,Raynes Park High School Sports Centre,unknown,unknown
2022-2023,2022-09-10,00:00,,Worthing 2,0,12 17 20 - -,Team SideOut (London),3,25 25 25 - -,cup,men,Worthing High School,unknown,unknown
2022-2023,2022-09-11,00:00,,Everton Dugongs,3,25 25 27 - -,Garstang Natives,0,23 19 25 - -,cup,men,Litherland High School,unknown,unknown
2022-2023,2022-09-11,00:00,,Harrogate,3,25 25 21 25 0,Marske Phoenix,1,10 19 25 20 0,cup,men,Rossett Sports Centre,unknown,unknown
2022-2023,2022-09-24,00:00,,Cardiff Panthers,0,17 22 13 - -,Bristol,3,25 25 25 - -,cup,men,TBC,unknown,unknown
2022-2023,2022-09-24,00:00,,Dartford Crossers,1,23 25 18 19 0,London Wildcats,3,25 23 25 25 0,cup,men,Beths Grammar School,unknown,unknown
2022-2023,2022-09-24,00:00,,Guildford International,3,25 9 28 16 15,Army,2,17 25 26 25 13,cup,men,Royal Holloway Sports Centre,unknown,unknown
2022-2023,2022-09-24,00:00,,Harrogate,3,25 25 25 24 15,Volleyball Isle of Man 1,2,11 20 27 26 9,cup,men,Rossett Sports Centre,unknown,unknown
2022-2023,2022-09-24,00:00,,MK City,0,18 13 21 - -,Cambridge ARU,3,25 25 25 - -,cup,men,Venue 360,unknown,unknown
2022-2023,2022-09-24,00:00,,Manchester Moss Side,1,25 16 24 15 0,Everton Dugongs,3,23 25 26 25 0,cup,men,Trinity Sports Centre,unknown,unknown
2022-2023,2022-09-24,00:00,,Newcastle Staffs 2,0,17 18 21 - -,Northampton Polish Crew,3,25 25 25 - -,cup,men,Madeley High School,unknown,unknown
2022-2023,2022-09-24,00:00,,Reading Aces,0,15 15 19 - -,London Bears,3,25 25 25 - -,cup,men,Loddon Valley Leisure Centre,unknown,unknown
2022-2023,2022-09-24,00:00,,Richmond Bucks,3,14 25 25 19 15,London Aces,2,25 22 23 25 10,cup,men,Kingston Arena,unknown,unknown
2022-2023,2022-09-24,00:00,,Spelthorne Lions,3,25 25 25 - -,Wessex,0,21 14 18 - -,cup,men,Egham S.C.,unknown,unknown
2022-2023,2022-09-24,00:00,,Stockport,3,25 25 25 - -,Urmston Grammar 2,0,8 11 16 - -,cup,men,Life Leisure Brinnington Park,unknown,unknown
2022-2023,2022-09-24,00:00,,Tonbridge,2,25 12 20 25 7,UK Armed Forces,3,21 25 25 23 15,cup,men,Angel Centre,unknown,unknown
2022-2023,2022-09-25,00:00,,Ashcombe Dorking,3,25 25 25 - -,UK Armed Forces,0,0 0 0 - -,cup,women,The Ashcombe Volleyball Centre,unknown,unknown
2022-2023,2022-09-25,00:00,,Cambridge,0,20 20 21 - -,Black Country,3,25 25 25 - -,cup,men,North Cambridge Academy,unknown,unknown
2022-2023,2022-09-25,00:00,,Cambridge,3,25 25 25 - -,De Montfort University,0,0 0 0 - -,cup,women,North Cambridge Academy,unknown,unknown
2022-2023,2022-09-25,00:00,,Everton Belugas,3,25 25 25 - -,Stockport,0,13 13 12 - -,cup,women,Litherland High School,unknown,unknown
2022-2023,2022-09-25,00:00,,Everton Narwhals,3,25 25 25 - -,Volleyball Isle of Man,0,10 14 15 - -,cup,women,Litherland High School,unknown,unknown
2022-2023,2022-09-25,00:00,,Hull Thunder,3,25 25 20 25 0,York Vikings,1,14 21 25 23 0,cup,men,Steve Prescott Sports Centre,unknown,unknown
2022-2023,2022-09-25,00:00,,Liverpool,2,20 22 25 25 12,Manchester Marvels Marauders,3,25 25 9 19 15,cup,men,Holly Lodge Girl's College,unknown,unknown
2022-2023,2022-09-25,00:00,,London Bears,0,20 10 17 - -,Richmond 2,3,25 25 25 - -,cup,women,Somers Town Community Centre,unknown,unknown
2022-2023,2022-09-25,00:00,,Newcastle Staffs,2,25 23 26 25 12,Black Country,3,23 25 28 17 15,cup,women,Madeley High School,unknown,unknown
