season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2012-2013,2013-02-23,00:00,,Northumbria University,3,25 25 25 - -,Coventry and Warwick Riga,0,17 18 21 - -,cup,men,Sports Central,110308,110308
2012-2013,2013-02-02,00:00,,Northumbria University,3,25 25 25 - -,Sheffield,0,20 22 21 - -,cup,men,Sports Central,110308,110308
2012-2013,2012-12-09,00:00,,Sheffield,3,22 25 25 25 0,Newcastle Staffs,1,25 20 16 21 0,cup,men,Sheffield - U18 Boys,110308,110308
2012-2013,2012-12-01,00:00,,IBB Polonia London,3,25 25 25 - -,Richmond Docklands,0,21 17 22 - -,cup,men,TBC,110308,110308
2012-2013,2012-12-01,00:00,,Nottingham Rockets,0,8 15 9 - -,Northumbria University,3,25 25 25 - -,cup,men,Southglade Leisure Centre,110308,110308
2012-2013,2012-11-03,00:00,,Newcastle Staffs,3,25 25 25 - -,Team Sunderland,0,22 11 16 - -,cup,men,,110308,110308
2012-2013,2012-11-03,00:00,,Richmond Docklands,3,25 27 25 - -,London Aces,0,17 25 16 - -,cup,men,,110308,110308
2012-2013,2012-11-03,00:00,,Sheffield,3,25 32 24 26 0,Manchester Marvels,1,19 30 26 24 0,cup,men,,110308,110308
2012-2013,2012-10-13,00:00,,Loughborough Students,1,25 15 17 15 0,Team Sunderland,3,23 25 25 25 0,cup,men,Sir David Wallace Sports Hall,110308,110308
2012-2013,2012-10-13,00:00,,Cambridge ARU,3,25 25 25 - -,Dartford Crossers,0,18 17 22 - -,cup,men,Netherall Sports Centre,110308,110308
2012-2013,2012-10-13,00:00,,Newcastle Staffs 2,0,14 15 23 - -,Manchester Marvels,3,25 25 25 - -,cup,men,Madeley High School,110308,110308
2012-2013,2013-03-09,00:00,,Richmond Docklands,3,25 25 25 - -,Nottingham Rockets,0,19 12 20 - -,division_1,men,TBC,110308,110308
2012-2013,2013-03-02,00:00,,Black Country,3,25 23 25 17 15,Richmond Docklands,2,18 25 20 25 10,division_1,men,TBC,110308,110308
2012-2013,2013-01-19,00:00,,Nottingham Rockets,2,29 26 25 22 9,Black Country,3,31 24 21 25 15,division_1,men,TBC,110308,110308
2012-2013,2012-10-27,00:00,,Nottingham Rockets,1,25 21 22 15 0,Richmond Docklands,3,23 25 25 25 0,division_1,men,TBC,110308,110308
2012-2013,2012-10-20,00:00,,Richmond Docklands,3,25 25 25 - -,Black Country,0,8 13 20 - -,division_1,men,TBC,110308,110308
2012-2013,2012-09-22,00:00,,Black Country,2,19 13 25 25 17,Nottingham Rockets,3,25 25 22 22 19,division_1,men,TBC,110308,110308
2012-2013,2013-04-07,00:00,,Newcastle Staffs 2,0,21 18 15 - -,Cambridge ARU,3,25 25 25 - -,division_2,men,TBC,110308,110308
2012-2013,2013-03-24,00:00,,Newcastle Staffs 2,0,10 17 18 - -,Leeds Gorse,3,25 25 25 - -,division_2,men,TBC,110308,110308
2012-2013,2013-03-10,00:00,,Cambridge ARU,2,22 25 25 23 14,Essex Estonians,3,25 20 23 25 16,division_2,men,TBC,110308,110308
2012-2013,2013-03-10,00:00,,Loughborough Students,3,25 25 22 27 0,Newcastle Staffs 2,1,22 21 25 25 0,division_2,men,TBC,110308,110308
2012-2013,2013-03-09,00:00,,Essex Estonians,3,25 25 25 - -,Loughborough Students,0,15 10 12 - -,division_2,men,TBC,110308,110308
2012-2013,2013-03-02,00:00,,Cambridge ARU,1,20 25 17 22 0,Leeds Gorse,3,25 19 25 25 0,division_2,men,TBC,110308,110308
2012-2013,2013-02-10,00:00,,Leeds Gorse,3,25 25 26 - -,Essex Estonians,0,19 19 24 - -,division_2,men,TBC,110308,110308
