season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2009-2010,2009-09-12,00:00,,Coventry and Warwick Riga,3,25 25 25 - -,Cambridge ARU,0,16 12 16 - -,division_1,men,Alan Higgs Centre,unknown,unknown
2009-2010,2009-09-12,00:00,,IBB Polonia London,2,16 25 26 23 9,Richmond Docklands,3,25 19 24 25 15,division_1,men,St Benedicts School,unknown,unknown
2009-2010,2009-09-12,00:00,,Northumbria University,1,28 15 22 29 0,Newcastle Staffs,3,26 25 25 31 0,division_1,men,Nunthorpe School,unknown,unknown
2009-2010,2009-09-13,00:00,,Northampton,3,25 25 25 - -,Dartford Chargers,0,10 7 9 - -,division_3,women,Moulton Leisure Centre,unknown,unknown
2009-2010,2009-09-13,00:00,,Southampton,0,14 12 18 - -,Plymouth,3,25 25 25 - -,division_3,women,Crestwood College,unknown,unknown
2009-2010,2009-09-19,00:00,,Coventry and Warwick Riga,3,25 16 25 22 15,Richmond Docklands,2,23 25 22 25 12,division_1,men,Alan Higgs Centre,unknown,unknown
2009-2010,2009-09-19,00:00,,Malory Eagles UEL,1,23 18 26 18 0,Team SideOut Polonia (London),3,25 25 24 25 0,division_1,women,Ernest Bevin College,unknown,unknown
2009-2010,2009-09-19,00:00,,Malory Eagles UEL,3,25 25 21 25 0,IBB Polonia London,1,23 16 25 20 0,division_1,men,Ernest Bevin College,unknown,unknown
2009-2010,2009-09-19,00:00,,Sheffield,3,25 25 25 - -,Cambridge ARU,0,13 19 14 - -,division_1,men,Sheffield - U18 Boys,unknown,unknown
2009-2010,2009-09-20,00:00,,City of Bristol,3,21 25 25 25 0,Wiltshire Mavericks,1,25 23 22 13 0,division_3,men,University of Bristol,unknown,unknown
2009-2010,2009-09-20,00:00,,Essex Blaze,3,19 23 26 25 15,Dartford Crossers,2,25 25 24 21 12,division_3,men,Becket Keys School,unknown,unknown
2009-2010,2009-09-20,00:00,,Leeds Gorse,3,25 27 18 25 0,York Vikings,1,19 25 25 20 0,division_3,men,Gryphon Sports Centre,unknown,unknown
2009-2010,2009-09-26,00:00,,Ashcombe Dorking,3,25 25 13 25 0,Malory Eagles UEL,1,21 15 25 20 0,division_1,women,TBC,unknown,unknown
2009-2010,2009-09-26,00:00,,Black Country,0,21 24 20 - -,Southampton,3,25 26 25 - -,cup,men,,unknown,unknown
2009-2010,2009-09-26,00:00,,Cambridge ARU,2,25 14 25 18 13,Northumbria University,3,23 25 23 25 15,division_1,men,North Cambridge Academy,unknown,unknown
2009-2010,2009-09-26,00:00,,Dartford Crossers,1,21 20 25 15 0,Newcastle Staffs 2,3,25 25 19 25 0,cup,men,,unknown,unknown
2009-2010,2009-09-26,00:00,,Essex Estonians,3,25 25 17 25 0,Newmarket,1,11 13 25 14 0,cup,men,,unknown,unknown
2009-2010,2009-09-26,00:00,,Essex Trinity,0,16 19 18 - -,Portsmouth,3,25 25 25 - -,division_2,women,Brentwood Centre,unknown,unknown
2009-2010,2009-09-26,00:00,,IBB Polonia London,3,25 28 17 25 0,Coventry and Warwick Riga,1,19 26 25 20 0,division_1,men,St Benedicts School,unknown,unknown
2009-2010,2009-09-26,00:00,,Newcastle Staffs,0,23 23 21 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,men,Keele University Sports Centre,unknown,unknown
