season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2010-2011,2010-09-18,00:00,,Southampton,2,21 14 25 25 9,Cambridge ARU,3,25 25 20 21 15,division_1,men,Itchen College Sports Centre,unknown,unknown
2010-2011,2010-09-19,00:00,,Bristol,2,25 16 16 25 12,Guildford International,3,21 25 25 19 15,division_2,women,Clifton College Sports Centre,unknown,unknown
2010-2011,2010-09-19,00:00,,Essex Trinity,2,17 25 25 13 13,Northampton,3,25 22 18 25 15,division_2,women,Becket Keys School,unknown,unknown
2010-2011,2010-09-19,00:00,,Southampton,0,16 24 18 - -,Reading Aces,3,25 26 25 - -,division_2,women,Crestwood College,unknown,unknown
2010-2011,2010-09-25,00:00,,Ashcombe Dorking,3,25 25 25 - -,Leeds Gorse,0,10 23 8 - -,superleague,women,TBC,unknown,unknown
2010-2011,2010-09-25,00:00,,Malory Eagles UEL,3,25 25 25 - -,Richmond Docklands,0,23 16 19 - -,superleague,men,Ernest Bevin College,unknown,unknown
2010-2011,2010-09-25,00:00,,Sheffield,3,25 25 25 - -,IBB Polonia London,0,18 16 18 - -,superleague,men,Sheffield - U18 Boys,unknown,unknown
2010-2011,2010-09-26,00:00,,City of Bristol,2,16 26 26 19 11,Team South Wales,3,25 24 24 25 15,division_3,women,University of Bristol,unknown,unknown
2010-2011,2010-09-26,00:00,,Northampton,0,9 23 21 - -,Newcastle Staffs,3,25 25 25 - -,division_2,women,Moulton Leisure Centre,unknown,unknown
2010-2011,2010-09-26,00:00,,Sussex Dolphins 1,1,20 25 19 10 0,Reading Aces,3,25 17 25 25 0,division_2,women,TBC,unknown,unknown
2010-2011,2010-10-02,00:00,,Coventry and Warwick Riga,0,20 16 18 - -,Malory Eagles UEL,3,25 25 25 - -,superleague,men,Alan Higgs Centre,unknown,unknown
2010-2011,2010-10-02,00:00,,Leeds Gorse,0,13 17 14 - -,Malory Eagles UEL,3,25 25 25 - -,superleague,women,Gryphon Sports Centre,unknown,unknown
2010-2011,2010-10-02,00:00,,Loughborough Students,3,25 25 22 25 0,York Vikings,1,17 13 25 20 0,division_2,men,Sir David Wallace Sports Hall,unknown,unknown
2010-2011,2010-10-02,00:00,,Richmond Docklands,1,25 23 24 17 0,Sheffield,3,18 25 26 25 0,superleague,men,Whitechapel S.C.,unknown,unknown
2010-2011,2010-10-03,00:00,,Guildford International,2,19 25 25 24 14,Southampton,3,25 14 13 26 16,division_2,women,ACS Cobham International School,unknown,unknown
2010-2011,2010-10-03,00:00,,IBB Polonia London,3,27 14 25 25 0,Northumbria University,1,25 25 22 21 0,superleague,men,St Benedicts School,unknown,unknown
2010-2011,2010-10-03,00:00,,Loughborough Students,0,14 15 9 - -,Northampton,3,25 25 25 - -,division_2,women,Sir David Wallace Sports Hall,unknown,unknown
2010-2011,2010-10-03,00:00,,Northumbria University,3,25 25 25 - -,Portsmouth,0,21 14 22 - -,division_1,women,Sports Central,unknown,unknown
2010-2011,2010-10-09,00:00,,Ashcombe Dorking,0,11 18 22 - -,Team SideOut Polonia (London),3,25 25 25 - -,superleague,women,TBC,unknown,unknown
2010-2011,2010-10-09,00:00,,Loughborough Students,2,18 20 25 25 10,Leeds Gorse,3,25 25 17 22 15,division_2,men,Victory Hall,unknown,unknown
2010-2011,2010-10-09,00:00,,Northumbria University,0,17 20 18 - -,Sheffield,3,25 25 25 - -,superleague,men,Sports Central,unknown,unknown
2010-2011,2010-10-10,00:00,,Loughborough Students,3,20 14 26 25 15,City of Bristol,2,25 25 24 12 0,cup,men,,unknown,unknown
2010-2011,2010-10-10,00:00,,Newcastle Staffs,3,25 25 25 - -,Loughborough Students,0,12 12 7 - -,division_2,women,Madeley High School,unknown,unknown
2010-2011,2010-10-10,00:00,,Southampton 2,3,26 25 18 22 15,Dartford Chargers,2,24 23 25 25 11,division_3,women,Itchen College Sports Centre,unknown,unknown
2010-2011,2010-10-10,00:00,,Southampton,2,15 25 25 20 7,Bristol,3,25 21 22 25 15,division_2,women,Crestwood College,unknown,unknown
2010-2011,2010-10-10,00:00,,Sussex Dolphins 1,0,12 15 16 - -,Guildford International,3,25 25 25 - -,division_2,women,TBC,unknown,unknown
2010-2011,2010-10-10,00:00,,Team South Wales,3,25 25 25 - -,City of Bristol,0,12 22 8 - -,division_3,women,USW Sports Centre Newport,unknown,unknown
2010-2011,2010-10-17,00:00,,Dartford Chargers,3,25 14 25 25 0,Southampton 2,1,12 25 19 22 0,division_3,women,Dartford Technology College,unknown,unknown
2010-2011,2010-10-23,00:00,,Essex Trinity,1,12 13 25 23 0,Cambridge ARU,3,25 25 11 25 0,division_2,women,Becket Keys School,unknown,unknown
2010-2011,2010-10-23,00:00,,IBB Polonia London,3,25 27 25 - -,Malory Eagles UEL,0,21 25 16 - -,superleague,men,St Benedicts School,unknown,unknown
2010-2011,2010-10-23,00:00,,Leeds Gorse,3,25 25 25 - -,York Vikings,0,17 19 13 - -,division_2,men,Gryphon Sports Centre,unknown,unknown
2010-2011,2010-10-23,00:00,,Richmond Docklands,0,20 22 23 - -,Northumbria University,3,25 25 25 - -,superleague,men,Ernest Bevin College,unknown,unknown
2010-2011,2010-10-23,00:00,,Team SideOut Polonia (London),3,25 25 23 25 0,Malory Eagles UEL,1,16 12 25 22 0,superleague,women,St Benedicts School,unknown,unknown
2010-2011,2010-10-24,00:00,,Cambridge ARU,2,26 24 25 18 11,Northampton,3,24 26 15 25 15,division_2,women,North Cambridge Academy,unknown,unknown
2010-2011,2010-10-24,00:00,,Essex Blaze,2,25 25 14 20 12,Dartford Crossers,3,13 22 25 25 15,division_3,men,Boswells School,unknown,unknown
2010-2011,2010-10-24,00:00,,Newcastle Staffs 2,1,20 16 25 16 0,Nottingham Rockets,3,25 25 19 25 0,division_3,men,Madeley High School,unknown,unknown
2010-2011,2010-10-24,00:00,,Reading Aces,3,25 25 25 25 0,Essex Rebels,1,16 21 27 19 0,division_2,women,Kendrick School,unknown,unknown
2010-2011,2010-10-30,00:00,,Coventry and Warwick Riga,1,24 17 30 16 0,IBB Polonia London,3,26 25 28 25 0,superleague,men,Centre AT7,unknown,unknown
2010-2011,2010-10-30,00:00,,Leeds Gorse,0,12 12 15 - -,Team SideOut Polonia (London),3,25 25 25 - -,superleague,women,Gryphon Sports Centre,unknown,unknown
2010-2011,2010-10-30,00:00,,Loughborough Students,1,17 25 20 19 0,Essex Estonians,3,25 23 25 25 0,division_2,men,Victory Hall,unknown,unknown
2010-2011,2010-10-30,00:00,,Malory Eagles UEL,0,21 21 20 - -,Sheffield,3,25 25 25 - -,superleague,men,Ernest Bevin College,unknown,unknown
2010-2011,2010-10-30,00:00,,Newcastle Staffs,0,28 22 16 - -,Black Country,3,30 25 25 - -,division_1,men,Keele University Sports Centre,unknown,unknown
2010-2011,2010-10-30,00:00,,Newcastle Staffs,3,17 25 25 24 15,Cambridge ARU,2,25 13 19 26 5,division_2,women,Keele University Sports Centre,unknown,unknown
2010-2011,2010-10-31,00:00,,Essex Rebels,1,22 25 20 25 0,Southampton,3,25 18 25 27 0,division_2,women,Tendring Technology College,unknown,unknown
2010-2011,2010-10-31,00:00,,Northampton,3,25 25 24 25 0,Essex Trinity,1,22 8 26 23 0,division_2,women,Moulton Leisure Centre,unknown,unknown
2010-2011,2010-11-06,00:00,,Cambridge ARU,3,20 25 25 25 0,London Aces,1,25 21 20 21 0,cup,men,,unknown,unknown
2010-2011,2010-11-06,00:00,,Nottingham Rockets,0,18 21 23 - -,Black Country,3,25 25 25 - -,cup,men,,unknown,unknown
