Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2025-03-02,15:15,MSL 80,Richmond Docklands,0,- - - - -,Malory Eagles UEL,0,- - - - -,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Brendan Fogarty,Gianni Sutton
2025-03-08,13:30,MSL 81,Essex Blaze,0,- - - - -,Stockport,0,- - - - -,Super League Men,men,St John Payne School,Sebastian Widlarz,Herman Prada
2025-03-08,15:15,MSL 83,Richmond Docklands,0,- - - - -,University of Nottingham,0,- - - - -,Super League Men,men,University of Westminster Sports Hall Harrow Campus,Stephen Smith,Anna Justkowska
2025-03-08,16:00,MSL 82,IBB Polonia London,0,- - - - -,Newcastle Knights,0,- - - - -,Super League Men,men,Northolt High school,Richard Burbedge,Ian Cheesbrough
2025-03-09,11:45,MSL 84,Malory Eagles UEL,0,- - - - -,University of Nottingham,0,- - - - -,Super League Men,men,ACS Cobham International School,Giorgio Scatigna-Gianfagna,Ludwik Kowalewski
2025-03-09,13:30,MSL 55,London Giants,0,- - - - -,Newcastle Knights,0,- - - - -,Super League Men,men,Clapham Leisure Centre,Giordano Marchi,Ryszard Dabrowski
2025-03-09,15:00,MSL 85,Essex Rebels,0,- - - - -,Stockport,0,- - - - -,Super League Men,men,University of Essex Sports Centre,Richard Burbedge,Glynn Archibald
2025-03-11,19:30,MSL 26,Essex Blaze,0,- - - - -,Essex Rebels,0,- - - - -,Super League Men,men,Essex Sport Arena,Sebastian Widlarz,Glynn Archibald
2025-03-15,14:15,MSL 87,Stockport,0,- - - - -,Malory Eagles UEL,0,- - - - -,Super League Men,men,Life Leisure Brinnington Park,Paul Fagan,Bryan Youlden
2025-03-15,14:30,MSL 6,Essex Blaze,0,- - - - -,Newcastle Knights,0,- - - - -,Super League Men,men,St John Payne School,Herman Prada,Ian Cheesbrough
2025-03-15,14:45,MSL 86,Durham Palatinates,0,- - - - -,Richmond Docklands,0,- - - - -,Super League Men,men,Graham Sports Centre,David Topacho,
2025-03-15,15:30,MSL 88,University of Nottingham,0,- - - - -,Essex Rebels,0,- - - - -,Super League Men,men,David Ross Sports Village,Pete Whyard,Elia Gironacci
2025-03-16,13:30,MSL 89,Essex Blaze,0,- - - - -,IBB Polonia London,0,- - - - -,Super League Men,men,St John Payne School,Ian Cheesbrough,Herman Prada
2025-02-22,12:30,M1 81,Bristol,0,- - - - -,Tamworth Spartans,0,- - - - -,Division 1 Men,men,Avanti Gardens School,Francesca Bentley,Ignacio Diez
2025-02-22,13:15,M1 83,Black Country,0,- - - - -,Exeter Storm,0,- - - - -,Division 1 Men,men,Redhill School Sports Hall,Elia Gironacci,James Cole
