Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2024-11-30,00:00,,University of Nottingham Volleyball,1,19 25 15 22 -,Lionhearts Vinarius,3,25 23 25 25 -,Super League Women,men,Jubilee Campus Sports Centre,John Boughton,Roberto Rigante
2024-11-23,00:00,,Team SideOut Polonia (London),2,25 19 25 17 12,Malory Eagles UEL,3,16 25 18 25 15,Super League Women,men,UEL (Sports Dock),Dominik Biegajlo,Herman Prada
2024-11-23,00:00,,Cambridge ARU,0,16 17 23 - -,Essex Rebels,3,25 25 25 - -,Super League Women,men,Stephen Perse Foundation,Ryszard Dabrowski,Aliaksandr Siarheyeu
2024-11-23,00:00,,Durham Palatinates,3,23 24 25 25 15,University of Nottingham Volleyball,2,25 26 22 23 9,Super League Women,men,Graham Sports Centre,Diane Hollows,Stivan Kolev
2024-11-23,00:00,,DARKSTAR Derbyshire,0,0 22 16 - -,Leeds Gorse,3,25 25 25 - -,Super League Women,men,Derby University Sports Centre,Phil Cobb,Ben Hill
2024-11-17,00:00,,University of Nottingham Volleyball,0,21 17 23 - -,Cambridge ARU,3,25 25 25 - -,Super League Women,men,David Ross Sports Village,Roberto Rigante,Pete Whyard
2024-11-17,00:00,,Leeds Gorse,0,23 14 21 - -,Team SideOut Polonia (London),3,25 25 25 - -,Super League Women,men,The Stephen Longfellow Academy,Simon Cowie,
2024-11-17,00:00,,Durham Palatinates,3,25 25 25 - -,Wessex,0,14 15 9 - -,Super League Women,men,Graham Sports Centre,David Topacho,Joshua Tang
2024-11-16,00:00,,Lionhearts Vinarius,2,16 25 30 23 12,Malory Eagles UEL,3,25 19 28 25 15,Super League Women,men,Mulberry Shoreditch Academy,Herman Prada,Carl Padayachee
2024-11-16,00:00,,Leeds Gorse,3,25 25 25 - -,Wessex,0,11 9 21 - -,Super League Women,men,The Stephen Longfellow Academy,Debra Smart,Simon Cowie
2024-11-16,00:00,,Durham Palatinates,3,19 25 25 15 15,Team SideOut Polonia (London),2,25 15 22 25 11,Super League Women,men,Graham Sports Centre,Diane Hollows,David Topacho
2024-11-16,00:00,,DARKSTAR Derbyshire,3,25 25 25 - -,University of Nottingham Volleyball,0,19 20 21 - -,Super League Women,men,Derby University Sports Centre,Phil Cobb,Ana Pal
2024-11-10,00:00,,Essex Rebels,3,25 19 20 25 17,Lionhearts Vinarius,2,16 25 25 19 15,Super League Women,men,Essex Sport Arena,Giordano Marchi,Sebastian Widlarz
2024-11-10,00:00,,Team SideOut Polonia (London),3,25 25 25 25 -,DARKSTAR Derbyshire,1,12 19 27 11 -,Super League Women,men,Moberly Sports Centre,Anna Justkowska,Francesca Hossain
2024-11-09,00:00,,Lionhearts Vinarius,3,25 25 25 - -,DARKSTAR Derbyshire,0,11 19 15 - -,Super League Women,men,Mulberry Shoreditch Academy,Patrick Koroma,Andres Hernandez
2024-11-09,00:00,,University of Nottingham Volleyball,0,18 13 14 - -,Leeds Gorse,3,25 25 25 - -,Super League Women,men,Jubilee Campus Sports Centre,John Boughton,William Perugini
2024-11-09,00:00,,Essex Rebels,3,25 26 25 25 15,Cambridge ARU,2,22 28 27 22 8,Super League Women,men,University of Essex Sports Centre,Ian Cheesbrough,Maya Stancheva
2024-11-03,00:00,,Leeds Gorse,2,19 21 25 25 8,Lionhearts Vinarius,3,25 25 23 23 15,Super League Women,men,Ruth Gorse Academy,Simon Cowie,Diane Hollows
2024-11-02,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Cambridge ARU,0,7 22 23 - -,Super League Women,men,UEL (Sports Dock),Ryszard Dabrowski,Carl Padayachee
2024-11-02,00:00,,Durham Palatinates,0,21 23 24 - -,Lionhearts Vinarius,3,25 25 26 - -,Super League Women,men,Graham Sports Centre,Debra Smart,Lenny Barry
2024-10-27,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Wessex,0,21 9 12 - -,Super League Women,men,Moberly Sports Centre,Katarina Cepinova,Giordano Marchi
2024-10-26,00:00,,University of Nottingham Volleyball,3,25 22 25 25 -,Durham Palatinates,1,23 25 21 18 -,Super League Women,men,David Ross Sports Village,Stephen Smith,William Perugini
2024-10-26,00:00,,Cambridge ARU,1,0 25 16 18 -,Leeds Gorse,3,25 20 25 25 -,Super League Women,men,Stephen Perse Foundation,Sebastian Widlarz,Domitilla Di Stefano
2024-10-20,00:00,,Essex Rebels,3,25 25 25 - -,DARKSTAR Derbyshire,0,18 19 15 - -,Super League Women,men,University of Essex Sports Centre,Sebastian Widlarz,
