season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2017-2018,2018-04-14,00:00,,IBB Polonia London,0,23 23 25 - -,Northumbria University,3,25 25 27 - -,cup,men,National Volleyball Centre,110308,110308
2017-2018,2018-02-24,00:00,,Sheffield,0,25 13 20 - -,Northumbria University,3,27 25 25 - -,cup,men,Sheffield - U18 Boys,110308,110308
2017-2018,2018-01-27,00:00,,Durham Palatinates,0,13 24 25 - -,Northumbria University,3,25 26 27 - -,cup,men,TBC,110308,110308
2017-2018,2018-01-27,00:00,,Sheffield,3,25 25 25 - -,Richmond Docklands,0,17 19 17 - -,cup,men,Sheffield - U18 Boys,110308,110308
2017-2018,2017-11-11,00:00,,Newcastle Staffs,2,25 23 25 18 10,Sheffield,3,15 25 21 25 15,cup,men,Keele University Sports Centre,110308,110308
2017-2018,2017-11-11,00:00,,Richmond Docklands,3,25 25 25 - -,Wombourne 1,0,9 6 10 - -,cup,men,Kingston Arena,110308,110308
2017-2018,2017-11-11,00:00,,Cambridge ARU,0,15 17 16 - -,Malory Eagles UEL,3,25 25 25 - -,cup,men,North Cambridge Academy,110308,110308
2017-2018,2017-11-09,00:00,,Northumbria University,3,25 25 25 - -,Sheffield 2,0,0 0 0 - -,cup,men,Sports Central,110308,110308
2017-2018,2017-10-29,00:00,,Tamworth Spartans,0,18 23 31 - -,Cambridge ARU,3,25 25 33 - -,cup,men,TBC,110308,110308
2017-2018,2017-10-08,00:00,,DARKSTAR Derbyshire,3,27 22 25 25 0,UK Armed Forces,1,25 25 23 20 0,cup,men,Derbyshire Volleyball Centre (Derby Moor),110308,110308
2017-2018,2017-10-07,00:00,,Manchester Marvels Marauders,0,9 15 7 - -,Richmond Docklands,3,25 25 25 - -,cup,men,TBC,110308,110308
2017-2018,2017-10-07,00:00,,Loughborough Students,0,15 17 21 - -,Newcastle Staffs,3,25 25 25 - -,cup,men,Loughborough University Netball Centre,110308,110308
2017-2018,2017-10-07,00:00,,Sheffield,3,25 25 25 - -,Intervolley Manchester,0,15 15 17 - -,cup,men,Sheffield - U18 Boys,110308,110308
2017-2018,2017-10-07,00:00,,Black Country,1,22 25 18 19 0,Wombourne 1,3,25 19 25 25 0,cup,men,Redhill School Sports Hall,110308,110308
2017-2018,2017-10-07,00:00,,Sheffield 2,3,25 25 26 - -,The Miners Doncaster,0,15 17 24 - -,cup,men,Sheffield - U18 Boys,110308,110308
2017-2018,2017-10-07,00:00,,Essex Blaze,3,25 25 25 - -,London Baks,0,11 15 8 - -,cup,men,University of Essex Sports Centre,110308,110308
2017-2018,2017-10-07,00:00,,Durham Palatinates,3,25 25 25 - -,Hull Thunder,0,15 19 18 - -,cup,men,Durham University Sport (Queens Campus),110308,110308
2017-2018,2017-09-24,00:00,,Lincoln Cannons,1,23 25 19 21 0,Loughborough Students,3,25 11 25 25 0,cup,men,Riseholme College (Showground Campus),110308,110308
2017-2018,2017-09-17,00:00,,Intervolley Manchester,3,25 25 27 - -,York Vikings,0,20 18 25 - -,cup,men,The Y Club,110308,110308
2017-2018,2017-09-16,00:00,,Newcastle Staffs,3,25 25 25 - -,Stockport,0,15 20 21 - -,cup,men,Madeley High School,110308,110308
2017-2018,2017-09-16,00:00,,Southampton,3,23 25 25 25 0,Weymouth Volleyball Club,1,25 20 16 19 0,cup,men,Itchen College Sports Centre,110308,110308
2017-2018,2017-09-16,00:00,,Wombourne 1,3,25 25 16 25 0,Coventry and Warwick Riga,1,19 23 25 22 0,cup,men,Dudley Evolve,110308,110308
2017-2018,2017-09-16,00:00,,Essex Rebels,2,25 20 25 27 11,Cambridge ARU,3,15 25 14 29 15,cup,men,Tendring Technology College,110308,110308
2017-2018,2017-09-16,00:00,,Durham Palatinates,3,25 25 25 - -,Team Sunderland,0,19 19 23 - -,cup,men,Durham University Sport (Queens Campus),110308,110308
2017-2018,2017-09-16,00:00,,London Aces,0,21 24 21 - -,UK Armed Forces,3,25 26 25 - -,cup,men,Lambeth Academy,110308,110308
2017-2018,2017-09-16,00:00,,University of Nottingham,0,18 21 17 - -,DARKSTAR Derbyshire,3,25 25 25 - -,cup,men,TBC,110308,110308
2017-2018,2017-09-16,00:00,,Black Country,3,25 25 25 - -,Newcastle Staffs 2,0,21 22 21 - -,cup,men,Redhill School Sports Hall,110308,110308
