season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2006-2007,2007-04-21,00:00,,Malory Eagles UEL,1,25 22 20 27 0,Richmond Docklands,3,17 25 25 29 0,cup,men,,110308,110308
2006-2007,2007-03-17,00:00,,Malory Eagles UEL,3,25 25 25 - -,Sheffield,0,20 15 20 - -,cup,men,,110308,110308
2006-2007,2007-02-10,00:00,,Sheffield,3,26 25 27 25 19,IBB Polonia London,2,28 16 29 17 17,cup,men,,110308,110308
2006-2007,2007-01-13,00:00,,Essex Blaze,0,13 20 20 - -,Richmond Docklands,3,25 25 25 - -,cup,men,,110308,110308
2006-2007,2006-11-11,00:00,,IBB Polonia London,3,25 25 16 25 0,Newcastle Staffs,1,19 19 25 22 0,cup,men,,110308,110308
2006-2007,2006-11-11,00:00,,Richmond Docklands,3,25 25 25 - -,Newcastle Staffs 2,0,13 6 17 - -,cup,men,,110308,110308
2006-2007,2006-11-11,00:00,,Essex Blaze,3,25 23 24 25 15,Leeds Gorse,2,23 25 26 23 12,cup,men,,110308,110308
2006-2007,2006-10-08,00:00,,Cambridge ARU,3,25 25 25 - -,Bristol,0,15 11 7 - -,cup,men,TBC,110308,110308
2006-2007,2007-04-15,00:00,,Sheffield,3,20 25 25 20 21,Coventry and Warwick Riga,2,25 21 17 25 19,division_1,men,Sheffield - U18 Boys,110308,110308
2006-2007,2007-04-14,00:00,,Richmond Docklands,1,17 31 22 17 0,Malory Eagles UEL,3,25 29 25 25 0,division_1,men,Bacons S.C.,110308,110308
2006-2007,2007-03-31,00:00,,Newcastle Staffs,1,25 24 15 9 0,IBB Polonia London,3,23 26 25 25 0,division_1,men,Keele University Sports Centre,110308,110308
2006-2007,2007-03-24,00:00,,Sheffield,3,25 25 25 - -,Malory Eagles UEL,0,20 20 18 - -,division_1,men,Sheffield - U18 Boys,110308,110308
2006-2007,2007-03-24,00:00,,IBB Polonia London,3,25 25 20 20 15,Coventry and Warwick Riga,2,21 15 25 25 11,division_1,men,St Benedicts School,110308,110308
2006-2007,2007-03-03,00:00,,Newcastle Staffs,0,19 23 20 - -,Richmond Docklands,3,25 25 25 - -,division_1,men,Keele University Sports Centre,110308,110308
2006-2007,2007-02-24,00:00,,Newcastle Staffs,1,25 17 21 14 0,Coventry and Warwick Riga,3,21 25 25 25 0,division_1,men,Keele University Sports Centre,110308,110308
2006-2007,2007-02-24,00:00,,IBB Polonia London,0,13 18 18 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,men,St Benedicts School,110308,110308
2006-2007,2007-02-24,00:00,,Richmond Docklands,3,25 25 25 - -,Sheffield,0,20 15 19 - -,division_1,men,Bacons S.C.,110308,110308
2006-2007,2007-02-03,00:00,,Coventry and Warwick Riga,2,20 25 17 25 9,Richmond Docklands,3,25 17 25 23 15,division_1,men,Alan Higgs Centre,110308,110308
2006-2007,2007-01-27,00:00,,Newcastle Staffs,1,14 25 17 25 0,Malory Eagles UEL,3,25 21 25 27 0,division_1,men,Keele University Sports Centre,110308,110308
2006-2007,2007-01-27,00:00,,IBB Polonia London,2,23 25 25 22 15,Sheffield,3,25 22 19 25 17,division_1,men,St Benedicts School,110308,110308
2006-2007,2007-01-20,00:00,,Malory Eagles UEL,3,28 20 25 25 0,Coventry and Warwick Riga,1,26 25 14 22 0,division_1,men,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-12-09,00:00,,Sheffield,3,25 25 21 25 0,Newcastle Staffs,1,11 18 25 22 0,division_1,men,Sheffield - U18 Boys,110308,110308
2006-2007,2006-12-09,00:00,,Richmond Docklands,3,25 25 27 - -,IBB Polonia London,0,18 21 25 - -,division_1,men,Bacons S.C.,110308,110308
2006-2007,2006-12-02,00:00,,Coventry and Warwick Riga,3,21 25 17 25 15,Sheffield,2,25 19 25 20 13,division_1,men,Alan Higgs Centre,110308,110308
2006-2007,2006-12-02,00:00,,Malory Eagles UEL,1,23 25 17 23 0,Richmond Docklands,3,25 23 25 25 0,division_1,men,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-11-25,00:00,,IBB Polonia London,3,27 25 25 - -,Newcastle Staffs,0,25 22 14 - -,division_1,men,St Benedicts School,110308,110308
2006-2007,2006-11-18,00:00,,Coventry and Warwick Riga,0,22 20 25 - -,IBB Polonia London,3,25 25 27 - -,division_1,men,Alan Higgs Centre,110308,110308
2006-2007,2006-11-18,00:00,,Malory Eagles UEL,3,25 25 25 - -,Sheffield,0,14 16 21 - -,division_1,men,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-10-28,00:00,,Richmond Docklands,3,25 30 25 - -,Newcastle Staffs,0,19 28 13 - -,division_1,men,Bacons S.C.,110308,110308
2006-2007,2006-10-22,00:00,,Coventry and Warwick Riga,1,15 25 22 14 0,Malory Eagles UEL,3,25 18 25 25 0,division_1,men,Alan Higgs Centre,110308,110308
2006-2007,2006-10-21,00:00,,Coventry and Warwick Riga,3,25 25 30 25 0,Newcastle Staffs,1,27 18 28 20 0,division_1,men,Alan Higgs Centre,110308,110308
2006-2007,2006-10-21,00:00,,Malory Eagles UEL,3,25 25 17 16 15,IBB Polonia London,2,20 19 25 25 12,division_1,men,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-10-21,00:00,,Sheffield,3,25 25 27 - -,Richmond Docklands,0,18 20 25 - -,division_1,men,Sheffield - U18 Boys,110308,110308
2006-2007,2006-10-15,00:00,,Richmond Docklands,3,25 23 25 25 0,Coventry and Warwick Riga,1,21 25 17 21 0,division_1,men,Bacons S.C.,110308,110308
2006-2007,2006-10-07,00:00,,Malory Eagles UEL,3,25 25 25 - -,Newcastle Staffs,0,17 22 21 - -,division_1,men,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-10-07,00:00,,Sheffield,1,25 21 23 21 0,IBB Polonia London,3,16 25 25 25 0,division_1,men,Sheffield - U18 Boys,110308,110308
2006-2007,2006-09-16,00:00,,Newcastle Staffs,1,20 23 25 19 0,Sheffield,3,25 25 20 25 0,division_1,men,Keele University Sports Centre,110308,110308
2006-2007,2006-09-16,00:00,,IBB Polonia London,3,25 25 25 - -,Richmond Docklands,0,20 23 16 - -,division_1,men,St Benedicts School,110308,110308
2006-2007,2007-01-27,00:00,,Leeds Gorse,1,19 25 19 26 0,Loughborough Students,3,25 20 25 28 0,division_2,men,TBC,110308,110308
2006-2007,2006-12-10,00:00,,Essex Blaze,2,12 25 14 25 8,Loughborough Students,3,25 21 25 16 15,division_2,men,Boswells School,110308,110308
2006-2007,2006-11-04,00:00,,Loughborough Students,3,25 25 18 25 0,Leeds Gorse,1,23 23 25 18 0,division_2,men,TBC,110308,110308
2006-2007,2006-10-15,00:00,,Leeds Gorse,3,22 25 25 22 15,Essex Blaze,2,25 19 19 25 9,division_2,men,TBC,110308,110308
2006-2007,2007-03-25,00:00,,Stowmarket,0,19 19 27 - -,Essex Estonians,3,25 25 29 - -,division_3,men,Angel Centre,110308,110308
