Date,Time,ID,Home,Away,Category,Division,Venue,Ref1, Ref2
2024-12-15,13:30,WSL 11,Cambridge ARU,Durham Palatinates,Super League Women,Stephen Perse Foundation,,
2025-01-18,14:15,WSL 51,Malory Eagles UEL,Team SideOut Polonia (London),Super League Women,University of East London (Sports Dock),,
2025-01-18,15:00,WSL 42,Cambridge ARU,Lionhearts Vinarius,Super League Women,Cambridge University Sports Centre,,
2025-01-18,15:00,WSL 16,Leeds Gorse,University of Nottingham Volleyball,Super League Women,Ruth Gorse Academy,,
2025-01-19,14:30,WSL 53,DARKSTAR Derbyshire,Essex Rebels,Super League Women,Derby University Sports Centre,,
2025-01-25,12:30,WSL 57,Essex Rebels,Durham Palatinates,Super League Women,Essex Sport Arena,,
2025-01-25,12:30,WSL 14,Wessex,Team SideOut Polonia (London),Super League Women,Parkstone Grammar School,,
2025-01-25,12:40,WSL 55,DARKSTAR Derbyshire,Cambridge ARU,Super League Women,Derby University Sports Centre,,
2025-01-25,13:00,WSL 56,University of Nottingham Volleyball,Malory Eagles UEL,Super League Women,Jubilee Campus Sports Centre,,
2025-01-25,18:00,WSL 49,Lionhearts Vinarius,Leeds Gorse,Super League Women,Mulberry Shoreditch Academy,,
2025-01-26,09:45,WSL 58,Lionhearts Vinarius,Durham Palatinates,Super League Women,Mulberry Shoreditch Academy,,
2025-01-26,12:00,WSL 60,DARKSTAR Derbyshire,Malory Eagles UEL,Super League Women,Derby University Sports Centre,,
2025-01-26,13:15,WSL 67,Team SideOut Polonia (London),Leeds Gorse,Super League Women,University of East London (Sports Dock),,
2025-02-01,12:00,WSL 61,Durham Palatinates,Cambridge ARU,Super League Women,Graham Sports Centre,,
2025-02-01,12:00,WSL 64,Leeds Gorse,Malory Eagles UEL,Super League Women,Ruth Gorse Academy,,
2025-02-01,12:30,WSL 62,University of Nottingham Volleyball,Team SideOut Polonia (London),Super League Women,David Ross Sports Village,,
2025-02-01,14:00,WSL 63,Wessex,DARKSTAR Derbyshire,Super League Women,Parkstone Grammar School,,
2025-02-02,12:00,WSL 65,Durham Palatinates,Malory Eagles UEL,Super League Women,Graham Sports Centre,,
2025-02-08,12:00,WSL 40,Durham Palatinates,DARKSTAR Derbyshire,Super League Women,Graham Sports Centre,,
2025-02-08,12:30,WSL 25,Wessex,Essex Rebels,Super League Women,Parkstone Grammar School,,
2025-02-08,14:15,WSL 39,Malory Eagles UEL,Leeds Gorse,Super League Women,Ernest Bevin College,,
2025-02-08,17:15,WSL 78,Team SideOut Polonia (London),University of Nottingham Volleyball,Super League Women,University of East London (Sports Dock),,
2025-02-09,11:40,WSL 84,Team SideOut Polonia (London),Lionhearts Vinarius,Super League Women,Moberly Sports Centre,,
2025-02-09,12:30,WSL 43,Wessex,Leeds Gorse,Super League Women,Parkstone Grammar School,,
2025-02-15,12:45,WSL 50,Cambridge ARU,DARKSTAR Derbyshire,Super League Women,Stephen Perse Foundation,,
2025-02-16,12:30,WSL 31,Wessex,Lionhearts Vinarius,Super League Women,Parkstone Grammar School,,
2025-02-22,12:00,WSL 70,Durham Palatinates,Essex Rebels,Super League Women,Graham Sports Centre,,
2025-02-22,12:30,WSL 71,Cambridge ARU,Malory Eagles UEL,Super League Women,Stephen Perse Foundation,,
2025-02-22,15:30,WSL 69,University of Nottingham Volleyball,Wessex,Super League Women,David Ross Sports Village,,
2025-02-23,12:00,WSL 74,Leeds Gorse,Essex Rebels,Super League Women,Ruth Gorse Academy,,
2025-02-23,14:40,WSL 73,DARKSTAR Derbyshire,Wessex,Super League Women,Derby University Sports Centre,,
2025-03-01,12:00,WSL 36,Essex Rebels,Malory Eagles UEL,Super League Women,Essex Sport Arena,,
2025-03-01,14:30,WSL 75,Wessex,Cambridge ARU,Super League Women,Parkstone Grammar School,,
2025-03-01,14:45,WSL 89,DARKSTAR Derbyshire,Durham Palatinates,Super League Women,Derby University Sports Centre,,
2025-03-01,18:00,WSL 76,Lionhearts Vinarius,University of Nottingham Volleyball,Super League Women,Mulberry Shoreditch Academy,,
2025-03-02,12:00,WSL 34,Leeds Gorse,DARKSTAR Derbyshire,Super League Women,The Ruth Gorse Academy,,
2025-03-08,12:00,WSL 87,Durham Palatinates,Leeds Gorse,Super League Women,Graham Sports Centre,,
2025-03-08,12:45,WSL 85,Cambridge ARU,University of Nottingham Volleyball,Super League Women,Stephen Perse Foundation,,
2025-03-08,13:00,WSL 81,Essex Rebels,Team SideOut Polonia (London),Super League Women,University of Essex Sports Centre,,
2025-03-08,14:00,WSL 82,Malory Eagles UEL,Lionhearts Vinarius,Super League Women,Ernest Bevin College,,
2025-03-09,13:00,WSL 83,Essex Rebels,Wessex,Super League Women,University of Essex Sports Centre,,
2025-03-09,14:30,WSL 15,Malory Eagles UEL,DARKSTAR Derbyshire,Super League Women,Ernest Bevin College,,
2025-03-15,12:30,WSL 52,University of Nottingham Volleyball,Essex Rebels,Super League Women,David Ross Sports Village,,
2025-03-15,13:00,WSL 90,Cambridge ARU,Team SideOut Polonia (London),Super League Women,Stephen Perse Foundation,,
2025-03-15,15:00,WSL 86,Lionhearts Vinarius,Wessex,Super League Women,Mulberry Shoreditch Academy,,
2025-03-22,13:00,WSL 23,University of Nottingham Volleyball,DARKSTAR Derbyshire,Super League Women,Jubilee Campus Sports Centre,,
2024-10-12,10:30,MSL 4,University of Nottingham,Essex Blaze,Super League Men,National Volleyball Centre,William Perugini,Martin Shakespeare
2024-10-12,12:30,MSL 1,Essex Rebels,IBB Polonia London,Super League Men,National Volleyball Centre,Herman Prada,Anna Justkowska
2024-10-12,14:30,MSL 3,Richmond Docklands,Stockport,Super League Men,National Volleyball Centre,Katarina Cepinova,Klaudia French
2024-10-12,16:30,MSL 2,London Giants,Durham Palatinates,Super League Men,National Volleyball Centre,Richard Burbedge,Domenico De Mattia
2024-10-12,18:30,MSL 5,Malory Eagles UEL,Newcastle Knights,Super League Men,National Volleyball Centre,Dominik Biegajlo,Katarina Cepinova
2024-10-19,12:15,MSL 7,Malory Eagles UEL,Durham Palatinates,Super League Men,Ernest Bevin College,Giorgio Scatigna-Gianfagna,Glynn Archibald
2024-10-20,13:30,MSL 8,Essex Blaze,Richmond Docklands,Super League Men,St John Payne School,Glynn Archibald,Herman Prada
2024-10-26,13:00,MSL 10,Essex Rebels,Richmond Docklands,Super League Men,University of Essex Sports Centre,Herman Prada,Klaudia French
2024-10-26,14:00,MSL 12,Stockport,London Giants,Super League Men,Life Leisure Brinnington Park,Lenny Barry,Sarah Hanrahan
2024-10-26,15:30,MSL 13,University of Nottingham,Durham Palatinates,Super League Men,David Ross Sports Village,William Perugini,Stephen Smith (Pending)
2024-10-27,15:30,MSL 14,London Giants,IBB Polonia London,Super League Men,Clapham Leisure Centre,Patrick Koroma,Ryszard Dabrowski
2024-11-03,15:00,MSL 41,Newcastle Knights,London Giants,Super League Men,Northumbria University,Debra Smart,David Topacho
2024-11-09,16:00,MSL 16,University of Nottingham,Richmond Docklands,Super League Men,Jubilee Campus Sports Centre,,
2024-11-10,11:30,MSL 17,Essex Blaze,Durham Palatinates,Super League Men,St John Payne School,,
2024-11-10,15:00,MSL 18,Essex Rebels,London Giants,Super League Men,Essex Sport Arena,,
2024-11-16,14:30,MSL 19,Stockport,Richmond Docklands,Super League Men,Life Leisure Brinnington Park,,
2024-11-16,15:30,MSL 36,London Giants,Essex Blaze,Super League Men,Brixton Recreation Centre,,
2024-11-17,15:00,MSL 21,Newcastle Knights,IBB Polonia London,Super League Men,Newcastle University Sports Centre,,
