season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2023-2024,2023-09-09,00:00,,Army,3,25 25 25 - -,Wombourne 2,0,10 16 13 - -,cup,men,Aldershot Garrison Sports Centre,,Hiroko Turner
2023-2024,2023-09-09,00:00,,Ashcombe Dorking Knights,0,17 20 16 - -,Wimbledon Wolves (London),3,25 25 25 - -,cup,men,The Ashcombe Volleyball Centre,Brendan Fogarty,Eleni Blana
2023-2024,2023-09-09,00:00,,Brazukas,3,25 25 25 - -,KS Osemka Ealing,0,0 0 0 - -,cup,men,Somers Town Community Centre,Gianni Sutton,unknown
2023-2024,2023-09-09,00:00,,DARKSTAR Derbyshire 2,3,25 25 25 - -,Newcastle Staffs 2,0,19 14 21 - -,cup,men,Derby University Sports Centre,Phil Cobb,Gary Cross
2023-2024,2023-09-09,00:00,,Kent Invicta,3,25 25 25 - -,Maidstone Rocks,0,18 14 18 - -,cup,men,Maidstone Grammar School for Girls,Tim Bown,unknown
2023-2024,2023-09-09,00:00,,Kings Langley,2,19 30 25 22 13,Watford,3,25 28 15 25 15,cup,men,Kings Langley Secondary School,Stephen Smith,Marzena Wisniewska
2023-2024,2023-09-09,00:00,,Kings of Court Boston 1,3,27 21 25 23 15,Leicester,2,25 25 14 25 10,cup,men,Vivacity Werrington Leisure Centre,,
2023-2024,2023-09-09,00:00,,London Bears 2,0,11 14 8 - -,Team SideOut (London),3,25 25 25 - -,cup,men,Somers Town Community Centre,Herman Prada,Nicolas Vecchione
2023-2024,2023-09-09,00:00,,London Wildcats,3,- - - - -,London Bears,2,- - - - -,cup,men,London Nautical School,Mark Trelfa,Fiona Cotterill
2023-2024,2023-09-09,00:00,,Oxford Bulls,3,25 25 26 - -,Northampton,0,16 16 24 - -,cup,men,Ferry Leisure Centre,Sam Yip,unknown
2023-2024,2023-09-09,00:00,,Preston Panthers VC,3,18 26 17 25 15,Volleyball Isle of Man 1,2,25 24 25 23 13,cup,men,Garstang Community Academy,Paul Fagan,unknown
2023-2024,2023-09-09,00:00,,Reading Aces,3,25 25 21 25 -,South Hants,1,23 17 25 21 -,cup,men,Loddon Valley Leisure Centre,Richard Burbedge,Geoff Collier
2023-2024,2023-09-09,00:00,,Sheffield 2,0,0 0 0 - -,Nottingham Rockets,3,25 25 25 - -,cup,men,All Saints Sports Centre,,
2023-2024,2023-09-09,00:00,,Tonbridge 2,0,19 19 15 - -,S.Q.U.A.D Men,3,25 25 25 - -,cup,men,Angel Centre,Ian Hetherington,Michelle Piscina
2023-2024,2023-09-09,00:00,,Wigan Seahawks,3,25 25 25 - -,Preston Panthers B,0,9 15 17 - -,cup,men,St Edmund Arrowsmith Catholic High School,Lenny Barry,Boriss Bovkuns
2023-2024,2023-09-09,00:00,,Worthing,3,25 25 25 - -,Urbond VC Portsmouth,0,15 17 23 - -,cup,men,Worthing High School,Clive Cooper,Grant Eager
2023-2024,2023-09-10,00:00,,Barnsley VC,3,22 25 13 25 15,Marske Phoenix,2,25 14 25 15 12,cup,men,The Ruth Gorse Academy,Stivan Kolev,unknown
2023-2024,2023-09-10,00:00,,GNG Bedford 1,3,25 25 25 - -,Tendring 1,0,19 13 16 - -,cup,men,Trinity Arts & Leisure,Albain Venel,Satinder Sangha
2023-2024,2023-09-10,00:00,,Maidstone Diamonds,0,7 6 5 - -,Waterloo Thunder Volleyball Club,3,25 25 25 - -,cup,women,Maidstone Leisure Centre,Ian Ruddock,Paula A'Bear
2023-2024,2023-09-10,00:00,,Manchester Marvels Marauders,3,27 22 25 23 15,Manchester Moss Side,2,25 25 17 25 12,cup,men,Dean Trust Ardwick,Abdul Salam Safadi,Ashley Smith
2023-2024,2023-09-10,00:00,,Men,1,23 24 25 21 -,Cardiff Panthers,3,25 26 22 25 -,cup,men,Newbury Trinity School,Martin Shakespeare,unknown
2023-2024,2023-09-10,00:00,,Preston Panthers VC,1,18 4 25 22 -,Manchester Liberators,3,25 25 19 25 -,cup,women,Preston College,Ghulam Mehdi,Lenny Barry
2023-2024,2023-09-10,00:00,,Reading Aces,1,- - - - -,London Bears,3,- - - - -,cup,women,Kendrick School,Sam Yip,Richard Burbedge
2023-2024,2023-09-10,00:00,,S.Q.U.A.D Women,3,25 25 25 - -,Tonbridge Women 1,0,9 12 18 - -,cup,women,Bacons S.C.,Anna Justkowska,Marcelo Radovan
2023-2024,2023-09-10,00:00,,Wigan Seahawks,0,17 30 12 - -,Manchester Moss Side Jaguars,3,25 32 25 - -,cup,women,St Edmund Arrowsmith Catholic High School,Lenny Barry,unknown
2023-2024,2023-09-10,00:00,,Wombourne,0,14 11 15 - -,Cheltenham & Gloucester,3,25 25 25 - -,cup,women,Dudley Evolve,Rita Grimes,unknown
2023-2024,2023-09-14,00:00,,Exeter Storm,3,25 25 25 - -,Weymouth,0,16 20 3 - -,cup,men,Weymouth College Sports Hall,Alistair Mitchell,Nick Heckford
2023-2024,2023-09-16,00:00,,MK City,3,25 25 27 - -,Tendring 1,0,13 16 25 - -,cup,women,Glebe Farm School,Patrick Koroma,unknown
2023-2024,2023-09-23,00:00,,Barnsley VC,2,21 27 25 23 10,York Vikings,3,25 25 17 25 15,cup,men,The Ruth Gorse Academy,Roger Kittle,David Potter
2023-2024,2023-09-23,00:00,,Bristol,0,20 8 19 - -,Exeter Storm,3,25 25 25 - -,cup,men,Avanti Gardens School,Ignacio Diez,Francesca Bentley
2023-2024,2023-09-23,00:00,,Cambridge ARU,3,25 25 25 - -,MK City,0,12 14 14 - -,cup,men,North Cambridge Academy,Maya Stancheva,Rachel Fallow
2023-2024,2023-09-23,00:00,,Cardiff Panthers,2,21 26 25 16 9,Reading Aces,3,25 24 14 25 15,cup,men,Eastern Community Campus,Cheryl Whittles,Jayne Jones
2023-2024,2023-09-23,00:00,,Harrogate,3,25 25 27 - -,Preston Panthers VC,0,20 23 25 - -,cup,men,Rossett Sports Centre,Martyn Quick,Kostas Lopsaitis
2023-2024,2023-09-23,00:00,,Liverpool,0,0 0 0 - -,Urmston Grammar 2,3,25 25 25 - -,cup,men,Holly Lodge Girl's College,,
2023-2024,2023-09-23,00:00,,London Aces,3,25 19 25 25 -,Spelthorne Lions,1,23 25 21 17 -,cup,men,Lambeth Academy,Katarina Cepinova,unknown
2023-2024,2023-09-23,00:00,,London Wildcats,3,25 25 25 - -,Kent Invicta,0,22 22 20 - -,cup,men,Leigh Academy Blackheath,,
2023-2024,2023-09-23,00:00,,Loughborough Students,1,22 25 21 18 -,Cambridge,3,25 22 25 25 -,cup,men,Sir David Wallace Sports Hall,Daniel Harrison,Phil Cobb
2023-2024,2023-09-23,00:00,,S.Q.U.A.D Men,3,25 25 25 - -,Wimbledon Wolves (London),0,18 10 22 - -,cup,men,Bacons S.C.,Giordano Marchi,Mark Trelfa
2023-2024,2023-09-23,00:00,,Sheffield,3,24 25 25 25 -,DARKSTAR Derbyshire,1,26 19 21 20 -,cup,men,All Saints Sports Centre,Clark Antcliff,Lucas Fayd’herbe
2023-2024,2023-09-23,00:00,,Stockport,3,25 25 25 - -,Manchester Marvels Mayhem,0,15 10 20 - -,cup,women,Life Leisure Brinnington Park,Abdul Salam Safadi,Jamie Hollick
2023-2024,2023-09-23,00:00,,Team SideOut (London),3,- - - - -,Army,0,- - - - -,cup,men,Moberly Sports Centre,Ryszard Dabrowski,Fiona Cotterill
2023-2024,2023-09-23,00:00,,Watford,1,19 18 25 18 -,Oxford Bulls,3,25 25 12 25 -,cup,men,Kings Langley Secondary School,,
